Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S2,DynaMixEMATent,64,0.08980993926525116,0.9955358505249023,0.9955358505249023,0.90572589635849,0.2597427435793487,0.4415965012631806,0.2986607551574707,0.6296474987113143,127.14240264892578,0.19999999999999996,1.0,0.5782145261764526,0.2,0.0,1.0,35.0,0.546875,29.0,0.453125,0.546875,2.0,1,37,0.578125,27.0,0.421875,0.578125,2,0.078125,,,,,,,
S2,DynaMixEMATent,64,0.08854294568300247,0.9475318789482117,0.9475318789482117,0.8589889407157898,0.16505052216196614,0.5506899141535704,0.2842595636844635,0.7693989136458359,187.78444290161133,0.19999999999999996,1.0,0.5632617473602295,0.2,0.0,1.0,60.0,0.9375,4.0,0.0625,0.9375,2.0,2,54,0.84375,10.0,0.15625,0.84375,2,0.34375,,,,,,,
S2,DynaMixEMATent,61,0.13985198736190796,0.999871015548706,0.999871015548706,0.8600190281867981,0.10024013141092178,0.5997985639244664,0.2999613046646118,0.8568077278029655,248.7765748500824,0.19999999999999996,1.0,0.49557697772979736,0.2,0.0,1.0,32.0,0.5245901639344263,29.0,0.47540983606557374,0.5245901639344263,2.0,3,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,0.139344262295082,,,,,,,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,
S2,TEMA,61,,,,,,,,,,,,,,,,,,,,,,3,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,,
S2,DUA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,0.099,,,,,,
S2,DUA,64,,,,,,,,,,,,,,,,,,,,,,1,37,0.578125,27.0,0.421875,0.578125,2,,0.09336,,,,,,
S2,DUA,64,,,,,,,,,,,,,,,,,,,,,,2,54,0.84375,10.0,0.15625,0.84375,2,,0.0880584,,,,,,
