Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S1,EMATentSafe,0.9807478189468384,0.9807478189468384,0.6112732887268066,1,0.5019252181053162,0.4,0.09807478189468384,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EMATentSafe,0.9571649432182312,0.9571649432182312,0.6449819207191467,1,0.5042835056781769,0.4,0.09571649432182312,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EMATentSafe,0.9002621173858643,0.9002621173858643,0.714053213596344,1,0.5099737882614136,0.4,0.09002621173858644,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EMATentSafe,0.9992603063583374,0.9992603063583374,0.6154199838638306,1,0.5000739693641663,0.4,0.09992603063583375,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EMATentSafe,0.9779698848724365,0.9779698848724365,0.6003783345222473,1,0.5022030115127564,0.4,0.09779698848724366,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentGridS40E50B10M085,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.4019251883029938,0.5,0.09807481169700623,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentGridS40E50B10M085,0.9706829786300659,0.9706829786300659,0.6297897696495056,1,0.4029317021369934,0.5,0.0970682978630066,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS40E50B10M085,0.7983896136283875,0.7983896136283875,0.770703136920929,1,0.42016103863716125,0.5,0.07983896136283875,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentGridS40E50B10M085,0.9975593090057373,0.9975593090057373,0.6720055937767029,1,0.4002440690994263,0.5,0.09975593090057373,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentGridS40E50B10M085,0.9220049977302551,0.9220049977302551,0.6629118919372559,1,0.40779950022697453,0.5,0.09220049977302552,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentGridS30E50B20M085,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.30385037660598757,0.5000000000000001,0.19614962339401248,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentGridS30E50B20M085,0.9682784080505371,0.9682784080505371,0.632094144821167,1,0.30634431838989257,0.5,0.19365568161010743,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS30E50B20M085,0.8333499431610107,0.8333499431610107,0.7520970106124878,1,0.33333001136779783,0.5,0.16666998863220217,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentGridS30E50B20M085,0.997808575630188,0.997808575630188,0.6530019044876099,1,0.3004382848739624,0.5,0.1995617151260376,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentGridS30E50B20M085,0.9530202150344849,0.9530202150344849,0.6269031763076782,1,0.309395956993103,0.5,0.19060404300689698,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentGridS20E50B30M075,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentGridS20E50B30M075,0.9808760285377502,0.9808760285377502,0.6216474771499634,1,0.20573719143867494,0.5,0.2942628085613251,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS20E50B30M075,0.7852017283439636,0.7852017283439636,0.7802162170410156,1,0.2644394814968109,0.5,0.23556051850318907,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentGridS20E50B30M075,0.9818060994148254,0.9818060994148254,0.7127703428268433,1,0.20545817017555237,0.5,0.2945418298244476,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentGridS20E50B30M075,0.8652995824813843,0.8652995824813843,0.7126300930976868,1,0.24041012525558472,0.5,0.25958987474441525,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EMATent,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EMATent,0.9736644625663757,0.9736644625663757,0.6277356147766113,1,0.2079006612300873,0.5,0.29209933876991273,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EMATent,0.8201050162315369,0.8201050162315369,0.7597371339797974,1,0.25396849513053893,0.5,0.24603150486946104,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EMATent,0.9938268661499023,0.9938268661499023,0.672234296798706,1,0.2018519401550293,0.5,0.29814805984497067,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EMATent,0.9315522909164429,0.9315522909164429,0.6527892351150513,1,0.22053431272506716,0.5,0.2794656872749329,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EMATentAdaptive,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EMATentAdaptive,0.9659168124198914,0.9659168124198914,0.635051429271698,1,0.2102249562740326,0.5,0.2897750437259674,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EMATentAdaptive,0.8598708510398865,0.8598708510398865,0.7369750738143921,1,0.24203874468803407,0.5,0.25796125531196595,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EMATentAdaptive,0.9981224536895752,0.9981224536895752,0.6357136964797974,1,0.20056326389312745,0.5,0.29943673610687255,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EMATentAdaptive,0.9670125246047974,0.9670125246047974,0.6115781664848328,1,0.2098962426185608,0.5,0.2901037573814392,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentGridS20E50B30M090,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentGridS20E50B30M090,0.958134114742279,0.958134114742279,0.6447421312332153,1,0.2125597655773163,0.5,0.2874402344226837,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS20E50B30M090,0.9057905077934265,0.9057905077934265,0.7111855745315552,1,0.22826284766197205,0.5,0.2717371523380279,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentGridS20E50B30M090,0.9984767436981201,0.9984767436981201,0.6120574474334717,1,0.20045697689056396,0.5,0.29954302310943604,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentGridS20E50B30M090,0.9808855056762695,0.9808855056762695,0.5978299975395203,1,0.20573434829711915,0.5,0.2942656517028808,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentGridS20E50B30M095,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentGridS20E50B30M095,0.9509420990943909,0.9509420990943909,0.6542907953262329,1,0.21471737027168275,0.5,0.28528262972831725,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS20E50B30M095,0.9521993398666382,0.9521993398666382,0.6868577003479004,1,0.21434019804000856,0.5,0.28565980195999147,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentGridS20E50B30M095,0.9959717988967896,0.9959717988967896,0.6047953963279724,1,0.20120846033096315,0.5,0.2987915396690369,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentGridS20E50B30M095,0.9850533604621887,0.9850533604621887,0.5976749658584595,1,0.2044839918613434,0.5,0.2955160081386566,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentGridS10E50B40M085,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.1077007532119751,0.5,0.3922992467880249,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentGridS10E50B40M085,0.9638649225234985,0.9638649225234985,0.63865065574646,1,0.11445403099060059,0.5,0.3855459690093994,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS10E50B40M085,0.8770079016685486,0.8770079016685486,0.7277886271476746,1,0.14919683933258057,0.5,0.35080316066741946,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentGridS10E50B40M085,0.9985254406929016,0.9985254406929016,0.6224480271339417,1,0.10058982372283937,0.5,0.3994101762771607,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentGridS10E50B40M085,0.9746502637863159,0.9746502637863159,0.605548083782196,1,0.11013989448547364,0.5,0.3898601055145264,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S2,EMATentSafe,0.9914034605026245,0.9914034605026245,0.6842598915100098,1,0.5008596539497375,0.4,0.09914034605026245,0.0,0.0,0,64,50,0.78125,14.0,0.21875,0.78125,2
S2,EMATentSafe,0.9942334294319153,0.9942334294319153,0.640486478805542,1,0.5005766570568084,0.4,0.09942334294319154,0.0,0.0,1,64,37,0.578125,27.0,0.421875,0.578125,2
S2,EMATentSafe,0.9628795981407166,0.9628795981407166,0.6822807788848877,1,0.5037120401859283,0.4,0.09628795981407166,0.0,0.0,2,64,54,0.84375,10.0,0.15625,0.84375,2
S2,EMATentSafe,0.9997559785842896,0.9997559785842896,0.6796172857284546,1,0.5000244021415711,0.4,0.09997559785842897,0.0,0.0,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2
S2,EmaTentGridS40E50B10M085,0.9914031624794006,0.9914031624794006,0.6842595338821411,1,0.40085968375205994,0.5,0.09914031624794006,0.0,0.0,0,64,50,0.78125,14.0,0.21875,0.78125,2
S2,EmaTentGridS40E50B10M085,0.9928352236747742,0.9928352236747742,0.6426938772201538,1,0.4007164776325226,0.5,0.09928352236747742,0.0,0.0,1,64,37,0.578125,27.0,0.421875,0.578125,2
S2,EmaTentGridS40E50B10M085,0.9651855230331421,0.9651855230331421,0.6822711229324341,1,0.4034814476966858,0.5,0.09651855230331421,0.0,0.0,2,64,54,0.84375,10.0,0.15625,0.84375,2
