Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATentSafe_Acc,EMATentSafe_F1_0,EMATentSafe_F1_1,EMATentSafe_MacroF1,EmaTentGridS40E50B10M085_Acc,EmaTentGridS40E50B10M085_F1_0,EmaTentGridS40E50B10M085_F1_1,EmaTentGridS40E50B10M085_MacroF1,EmaTentGridS30E50B20M085_Acc,EmaTentGridS30E50B20M085_F1_0,EmaTentGridS30E50B20M085_F1_1,EmaTentGridS30E50B20M085_MacroF1,EmaTentGridS20E50B30M075_Acc,EmaTentGridS20E50B30M075_F1_0,EmaTentGridS20E50B30M075_F1_1,EmaTentGridS20E50B30M075_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,EMATentAdaptive_Acc,EMATentAdaptive_F1_0,EMATentAdaptive_F1_1,EMATentAdaptive_MacroF1,EmaTentGridS20E50B30M090_Acc,EmaTentGridS20E50B30M090_F1_0,EmaTentGridS20E50B30M090_F1_1,EmaTentGridS20E50B30M090_MacroF1,EmaTentGridS20E50B30M095_Acc,EmaTentGridS20E50B30M095_F1_0,EmaTentGridS20E50B30M095_F1_1,EmaTentGridS20E50B30M095_MacroF1,EmaTentGridS10E50B40M085_Acc,EmaTentGridS10E50B40M085_F1_0,EmaTentGridS10E50B40M085_F1_1,EmaTentGridS10E50B40M085_MacroF1
S1,0.49624060150375937,0.6298342541436464,0.21176470588235294,0.42079948001299966,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.5451127819548872,0.5898305084745763,0.48945147679324896,0.5396409926339126,0.5338345864661654,0.5694444444444444,0.4918032786885246,0.5306238615664844,0.5488721804511278,0.5683453237410072,0.5275590551181102,0.5479521894295587,0.6240601503759399,0.6551724137931034,0.5867768595041323,0.6209746366486179,0.6165413533834586,0.6458333333333334,0.5819672131147541,0.6139002732240437,0.6165413533834586,0.6458333333333334,0.5819672131147541,0.6139002732240437,0.631578947368421,0.6573426573426573,0.6016260162601627,0.62948433680141,0.6165413533834586,0.6330935251798561,0.5984251968503937,0.6157593610151249,0.6090225563909775,0.6438356164383562,0.5666666666666667,0.6052511415525115
S2,0.6007905138339921,0.6576271186440678,0.5213270142180095,0.5894770664310387,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.7628458498023716,0.8235294117647058,0.6385542168674698,0.7310418143160878,0.6679841897233202,0.732484076433121,0.5625,0.6474920382165605,0.6758893280632411,0.7388535031847133,0.5729166666666666,0.65588508492569,0.7035573122529645,0.7619047619047619,0.6073298429319371,0.6846173024183495,0.7193675889328063,0.7731629392971247,0.6321243523316062,0.7026436458143654,0.7272727272727273,0.7795527156549521,0.6424870466321243,0.7110198811435382,0.7233201581027668,0.7770700636942676,0.6354166666666666,0.7062433651804672,0.7154150197628458,0.7735849056603774,0.6170212765957447,0.6953030911280611,0.7114624505928854,0.7711598746081505,0.6096256684491979,0.6903927715286742,0.7312252964426877,0.7806451612903226,0.6530612244897959,0.7168531928900592
S3,0.45318352059925093,0.0,0.6237113402061856,0.3118556701030928,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6404494382022472,0.673469387755102,0.6,0.636734693877551,0.4606741573033708,0.1,0.6149732620320856,0.3574866310160428,0.4943820224719101,0.21965317919075145,0.6260387811634349,0.4228459801770932,0.5056179775280899,0.27472527472527475,0.625,0.4498626373626374,0.5805243445692884,0.4954954954954955,0.6410256410256411,0.5682605682605683,0.5468164794007491,0.41545893719806765,0.6299694189602446,0.5227141780791561,0.5056179775280899,0.3125,0.6140350877192983,0.46326754385964913,0.5056179775280899,0.26666666666666666,0.6271186440677966,0.44689265536723166,0.4756554307116105,0.17647058823529413,0.6153846153846154,0.3959276018099548,0.5205992509363296,0.38461538461538464,0.6073619631901841,0.49598867390278434
S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3146067415730337,0.3487544483985765,0.2766798418972332,0.31271714514790483,0.5767790262172284,0.25165562913907286,0.7049608355091384,0.4783082323241056,0.6067415730337079,0.3225806451612903,0.7229551451187335,0.5227678951400119,0.6067415730337079,0.3712574850299401,0.7138964577656676,0.5425769713978038,0.5655430711610487,0.44761904761904764,0.6419753086419753,0.5447971781305114,0.5955056179775281,0.46,0.6766467065868264,0.5683233532934132,0.5805243445692884,0.3978494623655914,0.6781609195402298,0.5380051909529107,0.5917602996254682,0.3699421965317919,0.6980609418282548,0.5340015691800234,0.550561797752809,0.22077922077922077,0.6842105263157895,0.4524948735475051,0.5655430711610487,0.4368932038834951,0.6463414634146342,0.5416173336490646
S5,0.6564625850340136,0.7262872628726287,0.5388127853881278,0.6325500241303783,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.7312925170068028,0.7584097859327217,0.6973180076628352,0.7278638967977784,0.6462585034013606,0.6790123456790124,0.6060606060606061,0.6425364758698092,0.6394557823129252,0.6748466257668712,0.5954198473282443,0.6351332365475577,0.6462585034013606,0.6923076923076923,0.584,0.6381538461538461,0.6360544217687075,0.6707692307692308,0.5931558935361216,0.6319625621526762,0.6428571428571429,0.6808510638297872,0.5945945945945946,0.6377228292121909,0.6496598639455783,0.6850152905198776,0.6053639846743295,0.6451896375971036,0.6530612244897959,0.6946107784431138,0.5984251968503937,0.6465179876467537,0.6564625850340136,0.7020648967551623,0.5943775100401606,0.6482212033976614,0.6598639455782312,0.6987951807228916,0.609375,0.6540850903614458
S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.49606299212598426,0.0,0.6631578947368421,0.33157894736842103,0.47244094488188976,0.22093023255813954,0.6011904761904762,0.4110603543743079,0.452755905511811,0.38222222222222224,0.508833922261484,0.44552807224185315,0.4330708661417323,0.5294117647058824,0.2871287128712871,0.4082702387885847,0.421259842519685,0.4280155642023346,0.41434262948207173,0.42117909684220317,0.4251968503937008,0.4016393442622951,0.44696969696969696,0.424304520615996,0.484251968503937,0.22485207100591717,0.6135693215339233,0.41921069626992025,0.5,0.0,0.6666666666666666,0.3333333333333333,0.41338582677165353,0.4063745019920319,0.42023346303501946,0.4133039825135257
S7,0.7086956521739131,0.8295165394402035,0.0,0.41475826972010177,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.49130434782608695,0.6422018348623854,0.12030075187969924,0.3812512933710423,0.6478260869565218,0.7828418230563002,0.06896551724137931,0.4259036701488398,0.6391304347826087,0.7675070028011205,0.1941747572815534,0.48084088004133696,0.6173913043478261,0.75,0.18518518518518517,0.46759259259259256,0.46956521739130436,0.6139240506329114,0.1527777777777778,0.3833509142053446,0.5173913043478261,0.6605504587155964,0.16541353383458646,0.4129819962750914,0.5826086956521739,0.7209302325581395,0.1724137931034483,0.4466720128307939,0.6304347826086957,0.7605633802816901,0.19047619047619047,0.4755197853789403,0.6565217391304348,0.7859078590785907,0.13186813186813187,0.4588879954733613,0.5347826086956522,0.6786786786786787,0.15748031496062992,0.4180794968196543
S8,0.43014705882352944,0.5481049562682215,0.22885572139303484,0.38848033883062816,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.43014705882352944,0.5230769230769231,0.2922374429223744,0.40765718299964876,0.41544117647058826,0.49842271293375395,0.29955947136563876,0.39899109214969636,0.4117647058823529,0.49044585987261147,0.30434782608695654,0.397396842979784,0.4117647058823529,0.4838709677419355,0.3162393162393162,0.40005514199062586,0.4117647058823529,0.48717948717948717,0.3103448275862069,0.39876215738284704,0.41911764705882354,0.5,0.30701754385964913,0.4035087719298246,0.4227941176470588,0.5078369905956113,0.3022222222222222,0.4050296064089167,0.43014705882352944,0.5171339563862928,0.30493273542600896,0.41103334590615087,0.4411764705882353,0.525,0.32142857142857145,0.42321428571428577
S9,0.31007751937984496,0.011111111111111112,0.47023809523809523,0.24067460317460318,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.36046511627906974,0.1708542713567839,0.4794952681388013,0.3251747697477926,0.3682170542635659,0.2048780487804878,0.4758842443729904,0.34038114657673907,0.39147286821705424,0.2559241706161137,0.4852459016393443,0.370585036127729,0.46511627906976744,0.4609375,0.46923076923076923,0.4650841346153846,0.4689922480620155,0.44081632653061226,0.4944649446494465,0.4676406355900294,0.43410852713178294,0.3706896551724138,0.4859154929577465,0.42830257406508015,0.41472868217054265,0.30414746543778803,0.49498327759197325,0.39956537151488064,0.38372093023255816,0.20100502512562815,0.49842271293375395,0.34971386902969104,0.4844961240310077,0.46153846153846156,0.5055762081784386,0.4835573348584501
S10,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.46830985915492956,0.5746478873239437,0.29107981220657275,0.4328638497652582,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.3415492957746479,0.010582010582010581,0.5065963060686016,0.2585891583253061,0.352112676056338,0.0707070707070707,0.5027027027027027,0.2867048867048867,0.35563380281690143,0.2591093117408907,0.42990654205607476,0.34450792689848275,0.323943661971831,0.16521739130434782,0.4319526627218935,0.2985850270131206,0.35563380281690143,0.08955223880597014,0.5013623978201635,0.2954573183130668,0.3485915492957746,0.0,0.5169712793733682,0.2584856396866841,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.36971830985915494,0.14354066985645933,0.5013927576601671,0.3224667137583132
