Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1,EMATentSafe_Acc,EMATentSafe_F1_0,EMATentSafe_F1_1,EMATentSafe_F1_2,EMATentSafe_MeanF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7570754716981132,0.9223529411764706,0.580952380952381,0.6009389671361502,0.701414763088334,0.7264150943396226,0.9422632794457275,0.39263803680981596,0.5714285714285714,0.6354432958947049,0.5377358490566038,0.7223113964686998,0.0,0.058823529411764705,0.2603783086268215
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7587006960556845,0.9280742459396751,0.7607361963190185,0.05714285714285714,0.5819844331338503,0.7540603248259861,0.9270588235294117,0.7687687687687688,0.0,0.5652758640993935,0.7053364269141531,0.8539325842696629,0.6007905138339921,0.0,0.48490769936788497
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.6889400921658986,0.8049792531120332,0.8192771084337349,0.043795620437956206,0.5560173273279081,0.7511520737327189,0.8329979879275654,0.8981132075471698,0.0,0.5770370651582452,0.7373271889400922,0.8848758465011287,0.7416413373860182,0.041666666666666664,0.5560612835179379
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.835214446952596,0.8986175115207373,0.8797250859106529,0.5838509316770186,0.7873978430361364,0.9232505643340858,0.9448123620309051,0.9662921348314607,0.7951807228915663,0.9020950732513108,0.8577878103837472,0.9714285714285714,0.7685185185185185,0.6555555555555556,0.7985008818342152
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.8027210884353742,0.9312638580931264,0.717948717948718,0.6091370558375635,0.7527832106264692,0.8140589569160998,0.9356984478935698,0.7433628318584071,0.624390243902439,0.767817174551472,0.6689342403628118,0.9521739130434783,0.20253164556962025,0.45454545454545453,0.5364170043861843
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8,0.8517110266159695,0.921875,0.20408163265306123,0.6592225530896769,0.8227272727272728,0.8633879781420765,0.9881422924901185,0.0,0.6171767568773984,0.8045454545454546,0.8745387453874539,0.9243697478991597,0.14,0.646302831095538
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.4502262443438914,0.6045454545454545,0.5196850393700787,0.0,0.3747434979718444,0.7330316742081447,0.7630522088353414,0.9337979094076655,0.0,0.5656167060810023,0.7352941176470589,0.7682926829268293,0.9888475836431226,0.04878048780487805,0.60197358479161
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.7061503416856492,0.89749430523918,0.7151898734177216,0.0,0.5375613928856339,0.6947608200455581,0.8564593301435407,0.7659574468085106,0.0,0.5408055923173505,0.8154897494305239,0.985200845665962,0.7598784194528876,0.0,0.5816930883729499
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6359649122807017,0.6648199445983379,0.554016620498615,0.7368421052631579,0.6518928901200369,0.6864035087719298,0.6815642458100558,0.6186666666666667,0.8379888268156425,0.712739913097455,0.5964912280701754,0.8708133971291866,0.14018691588785046,0.5357142857142857,0.515571532910441
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6860986547085202,0.8761904761904762,0.5693430656934306,0.4444444444444444,0.6299926621094504,0.5964125560538116,0.8946135831381733,0.011299435028248588,0.5138888888888888,0.4732673023517702,0.6838565022421524,0.9076620825147348,0.0,0.5991902834008097,0.5022841219718481
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6696629213483146,0.9440715883668904,0.5309090909090909,0.16666666666666666,0.5472157819808826,0.6561797752808989,0.9978768577494692,0.3598326359832636,0.15555555555555556,0.504421683096096,0.5887640449438202,0.9694323144104804,0.3137254901960784,0.0,0.42771926820218625
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.7191011235955056,0.9671772428884027,0.6282051282051282,0.01652892561983471,0.5373037655711218,0.6606741573033708,0.980561555075594,0.4575645756457565,0.0641025641025641,0.5007428982746381,0.6651685393258427,0.980561555075594,0.47101449275362317,0.052980132450331126,0.5015187267598494
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7874720357941835,0.8738317757009346,0.7753846153846153,0.5531914893617021,0.734135960149084,0.8187919463087249,0.9170506912442397,0.7621951219512195,0.6363636363636364,0.7718698165196985,0.8926174496644296,0.9957264957264957,0.84,0.6349206349206349,0.8235490435490435
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.7905405405405406,0.9557522123893806,0.7859237536656891,0.021052631578947368,0.587576199211339,0.8018018018018018,0.9694323144104804,0.783625730994152,0.0,0.5843526818015441,0.8378378378378378,1.0,0.788235294117647,0.05263157894736842,0.6136222910216718
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.8618421052631579,0.962800875273523,0.8421052631578947,0.5606060606060606,0.7885040663458261,0.9210526315789473,0.9871794871794872,0.8787878787878788,0.8111111111111111,0.8923594923594923,0.7916666666666666,0.9893390191897654,0.6,0.5633802816901409,0.717573100293302
