Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S3,EMATent,0.688866376876831,0.688866376876831,0.8281863927841187,1.0,0.2933400869369507,0.5,0.20665991306304932,0.0,0.0,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.4901903569698334,0.4901903569698334,0.8956398963928223,1.0,0.35294289290905,0.5,0.14705710709095002,0.0,0.0,1,64,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.7598853707313538,0.7598853707313538,0.792535126209259,1.0,0.2720343887805939,0.5,0.22796561121940612,0.0,0.0,2,64,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.8526715636253357,0.8526715636253357,0.7999535202980042,1.0,0.2441985309123993,0.5,0.2558014690876007,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.6330710649490356,0.6330710649490356,0.8405171036720276,1.0,0.3100786805152893,0.5,0.1899213194847107,0.0,0.0,4,11,11,1.0,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,
S3,DynaMixEMATent,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,0.09876877814531326,0.688866376876831,0.688866376876831,0.5900976061820984,0.5621781555789839,0.23116193135796678,0.20665991306304932,0.2913781052593375,44.08744812011719,0.19999999999999996,1.0,0.5773622989654541,0.2,0.0,1.0,8.0,0.125,56.0,0.875,0.875,2.0,0.28125
S3,DynaMixEMATent,,,,,,,,,,1,64,6,0.09375,58.0,0.90625,0.90625,2,0.06719177216291428,0.4328676462173462,0.4328676462173462,0.3656758666038513,0.49660094150470174,0.37353876463009444,0.12986029386520384,0.42928596637587335,71.79097747802734,0.19999999999999996,1.0,0.4249105155467987,0.2,0.0,1.0,1.0,0.015625,63.0,0.984375,0.984375,2.0,0.40625
S3,DynaMixEMATent,,,,,,,,,,2,64,43,0.671875,21.0,0.328125,0.671875,2,0.07265372574329376,0.5391700863838196,0.5391700863838196,0.4665163457393646,0.3653526701673333,0.4728963039175208,0.16175102591514587,0.5641477872773997,106.2978630065918,0.19999999999999996,1.0,0.6228742003440857,0.2,0.0,1.0,7.0,0.109375,57.0,0.890625,0.890625,2.0,0.171875
S3,DynaMixEMATent,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,0.07827149331569672,0.43542400002479553,0.43542400002479553,0.3571524918079376,0.3047854167504649,0.5645873832420965,0.13062720000743866,0.6494191942132619,134.1649990081787,0.19999999999999996,1.0,0.5431926250457764,0.2,0.0,1.0,26.0,0.40625,38.0,0.59375,0.59375,2.0,0.0625
S3,DynaMixEMATent,,,,,,,,,,4,11,11,1.0,,,1.0,1,0.016380207613110542,0.2940891683101654,0.2940891683101654,0.2777089774608612,0.3116728208851377,0.6001004286218127,0.08822675049304962,0.658168496329896,137.39997985959053,0.19999999999999996,1.0,0.6296858191490173,0.2,0.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0
