Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1
S1,0.4924812030075188,0.6260387811634349,0.21052631578947367,0.4182825484764543,0.6541353383458647,0.7125,0.5660377358490566,0.6392688679245283,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.6278195488721805,0.6621160409556314,0.5857740585774058,0.6239450497665187,0.6390977443609023,0.6756756756756757,0.5932203389830508,0.6344480073293632
S2,0.5968379446640316,0.6506849315068494,0.5233644859813084,0.5870247087440789,0.6403162055335968,0.7092651757188498,0.5284974093264249,0.6188812925226373,0.7549407114624506,0.8187134502923976,0.6219512195121951,0.7203323349022963,0.7193675889328063,0.7801857585139319,0.6120218579234973,0.6961038082187145,0.7193675889328063,0.778816199376947,0.6162162162162163,0.6975162077965816
S3,0.45318352059925093,0.0,0.6237113402061856,0.3118556701030928,0.6479400749063671,0.6866666666666666,0.5982905982905983,0.6424786324786325,0.6367041198501873,0.6711864406779661,0.5941422594142259,0.632664350046096,0.5243445692883895,0.3804878048780488,0.6139817629179332,0.497234783897991,0.49812734082397003,0.2872340425531915,0.6127167630057804,0.44997540277948594
S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.33707865168539325,0.2948207171314741,0.3745583038869258,0.33468951050919993,0.31835205992509363,0.3546099290780142,0.2777777777777778,0.31619385342789597,0.5842696629213483,0.463768115942029,0.6605504587155964,0.5621592873288127,0.599250936329588,0.44559585492227977,0.6862170087976539,0.5659064318599668
S5,0.6496598639455783,0.7223719676549866,0.5253456221198156,0.623858794887401,0.6972789115646258,0.6983050847457627,0.6962457337883959,0.6972754092670793,0.7346938775510204,0.7621951219512195,0.7,0.7310975609756097,0.6462585034013606,0.6867469879518072,0.59375,0.6402484939759037,0.6292517006802721,0.6666666666666666,0.5823754789272031,0.6245210727969348
S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.44881889763779526,0.49640287769784175,0.391304347826087,0.44385361276196433,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.41732283464566927,0.4351145038167939,0.3983739837398374,0.41674424377831565,0.5,0.0,0.6666666666666666,0.3333333333333333
S7,0.7086956521739131,0.8295165394402035,0.0,0.41475826972010177,0.3217391304347826,0.45454545454545453,0.10344827586206896,0.27899686520376177,0.49130434782608695,0.6422018348623854,0.12030075187969924,0.3812512933710423,0.5,0.6483180428134556,0.13533834586466165,0.39182819433905863,0.6565217391304348,0.7904509283819628,0.04819277108433735,0.4193218497331501
S8,0.43014705882352944,0.5481049562682215,0.22885572139303484,0.38848033883062816,0.5441176470588235,0.5947712418300654,0.4789915966386555,0.5368814192343604,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.43014705882352944,0.5079365079365079,0.3231441048034934,0.41554030637000067,0.41911764705882354,0.4968152866242038,0.3130434782608696,0.40492938244253673
S9,0.3178294573643411,0.03296703296703297,0.47305389221556887,0.25301046259130094,0.627906976744186,0.7037037037037037,0.5,0.6018518518518519,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.47674418604651164,0.43983402489626555,0.509090909090909,0.4744624669935873,0.46124031007751937,0.41841004184100417,0.4981949458483754,0.4583024938446898
S10,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.47183098591549294,0.576271186440678,0.29906542056074764,0.43766830350071284,0.46830985915492956,0.5746478873239437,0.29107981220657275,0.4328638497652582,0.323943661971831,0.16521739130434782,0.4319526627218935,0.2985850270131206,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243
S11,0.41333333333333333,0.5849056603773585,0.0,0.29245283018867924,0.5733333333333334,0.5460992907801419,0.5974842767295597,0.5717917837548507,0.54,0.5576923076923077,0.5208333333333334,0.5392628205128205,0.53,0.5087108013937283,0.549520766773163,0.5291157840834456,0.47333333333333333,0.41911764705882354,0.5182926829268293,0.46870516499282644
