Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S2,EMATentProbe050,0.8209985494613647,0.8209985494613647,0.832410991191864,1,0.2537004351615906,0.5,0.24629956483840942,0.5,0.0,6,40,17,0.425,13,0.325,10,0.25,0.425,3
S2,EMATentProbe100,0.5623162388801575,0.5623162388801575,0.8800739049911499,1,0.33130512833595277,0.5,0.16869487166404723,1.0,0.0,0,64,42,0.65625,13,0.203125,9,0.140625,0.65625,3
S2,EMATentProbe100,0.6777222752571106,0.6777222752571106,0.852679967880249,1,0.2966833174228668,0.5,0.20331668257713317,1.0,0.0,1,64,34,0.53125,22,0.34375,8,0.125,0.53125,3
S2,EMATentProbe100,0.735930860042572,0.735930860042572,0.8625234365463257,1,0.2792207419872284,0.5,0.2207792580127716,1.0,0.0,2,64,40,0.625,14,0.21875,10,0.15625,0.625,3
S2,EMATentProbe100,0.7950236201286316,0.7950236201286316,0.8799028992652893,1,0.2614929139614105,0.5,0.23850708603858947,1.0,0.0,3,64,34,0.53125,20,0.3125,10,0.15625,0.53125,3
S2,EMATentProbe100,0.8452083468437195,0.8452083468437195,0.8391183614730835,1,0.24643749594688416,0.5,0.2535625040531158,1.0,0.0,4,64,26,0.40625,22,0.34375,16,0.25,0.40625,3
S2,EMATentProbe100,0.8748811483383179,0.8748811483383179,0.8631926774978638,1,0.23753565549850464,0.5,0.26246434450149536,1.0,0.0,5,64,36,0.5625,19,0.296875,9,0.140625,0.5625,3
S2,EMATentProbe100,0.904719889163971,0.904719889163971,0.8347988128662109,1,0.22858403325080873,0.5,0.2714159667491913,1.0,0.0,6,40,17,0.425,13,0.325,10,0.25,0.425,3
S2,EMATentMinGate025,0.1494554877281189,0.3620916157960892,0.9649808406829834,1,0.3913725152611732,0.5,0.10862748473882675,0.0,0.25,0,64,42,0.65625,13,0.203125,9,0.140625,0.65625,3
S2,EMATentMinGate025,0.31431132555007935,0.4857334941625595,0.9325498342514038,1,0.35427995175123217,0.5,0.14572004824876786,0.0,0.25,1,64,34,0.53125,22,0.34375,8,0.125,0.53125,3
S2,EMATentMinGate025,0.36421096324920654,0.5231582224369049,0.9418579339981079,1,0.34305253326892854,0.5,0.15694746673107146,0.0,0.25,2,64,40,0.625,14,0.21875,10,0.15625,0.625,3
S2,EMATentMinGate025,0.40725183486938477,0.5554388761520386,0.9272432327270508,1,0.3333683371543884,0.5,0.16663166284561157,0.0,0.25,3,64,34,0.53125,20,0.3125,10,0.15625,0.53125,3
S2,EMATentMinGate025,0.5128934979438782,0.6346701234579086,0.8798620104789734,1,0.3095989629626274,0.5,0.19040103703737257,0.0,0.25,4,64,26,0.40625,22,0.34375,16,0.25,0.40625,3
S2,EMATentMinGate025,0.5584073662757874,0.6688055247068405,0.9091924428939819,1,0.29935834258794786,0.5,0.20064165741205214,0.0,0.25,5,64,36,0.5625,19,0.296875,9,0.140625,0.5625,3
S2,EMATentMinGate025,0.6773451566696167,0.7580088675022125,0.842326819896698,1,0.27259733974933625,0.5,0.22740266025066375,0.0,0.25,6,40,17,0.425,13,0.325,10,0.25,0.425,3
S2,EMATentMinGate050,0.1494554877281189,0.5747277438640594,0.9649808406829834,1,0.3275816768407822,0.5,0.17241832315921782,0.0,0.5,0,64,42,0.65625,13,0.203125,9,0.140625,0.65625,3
S2,EMATentMinGate050,0.3058447241783142,0.6529223620891571,0.9341157674789429,1,0.3041232913732529,0.5,0.19587670862674714,0.0,0.5,1,64,34,0.53125,22,0.34375,8,0.125,0.53125,3
S2,EMATentMinGate050,0.3536129891872406,0.6768064945936203,0.9424067735671997,1,0.2969580516219139,0.5,0.2030419483780861,0.0,0.5,2,64,40,0.625,14,0.21875,10,0.15625,0.625,3
S2,EMATentMinGate050,0.39358216524124146,0.6967910826206207,0.9334216713905334,1,0.2909626752138138,0.5,0.20903732478618622,0.0,0.5,3,64,34,0.53125,20,0.3125,10,0.15625,0.53125,3
S2,EMATentMinGate050,0.4920695126056671,0.7460347563028336,0.891292929649353,1,0.27618957310914993,0.5,0.22381042689085007,0.0,0.5,4,64,26,0.40625,22,0.34375,16,0.25,0.40625,3
S2,EMATentMinGate050,0.5425074100494385,0.7712537050247192,0.9107987880706787,1,0.26862388849258423,0.5,0.23137611150741577,0.0,0.5,5,64,36,0.5625,19,0.296875,9,0.140625,0.5625,3
S2,EMATentMinGate050,0.6582530736923218,0.8291265368461609,0.8446194529533386,1,0.25126203894615173,0.5,0.24873796105384827,0.0,0.5,6,40,17,0.425,13,0.325,10,0.25,0.425,3
S3,EMATent,0.4866589307785034,0.4866589307785034,0.9399929642677307,1,0.354002320766449,0.5,0.14599767923355103,0.0,0.0,0,64,37,0.578125,16,0.25,11,0.171875,0.578125,3
S3,EMATent,0.624828577041626,0.624828577041626,0.894330620765686,1,0.3125514268875122,0.5,0.18744857311248778,0.0,0.0,1,64,32,0.5,22,0.34375,10,0.15625,0.5,3
S3,EMATent,0.5855026245117188,0.5855026245117188,0.9104012846946716,1,0.32434921264648436,0.5,0.1756507873535156,0.0,0.0,2,64,32,0.5,21,0.328125,11,0.171875,0.5,3
S3,EMATent,0.6559411287307739,0.6559411287307739,0.9173872470855713,1,0.30321766138076783,0.5,0.19678233861923217,0.0,0.0,3,64,34,0.53125,21,0.328125,9,0.140625,0.53125,3
S3,EMATent,0.6756784915924072,0.6756784915924072,0.8896458745002747,1,0.2972964525222778,0.5,0.20270354747772215,0.0,0.0,4,64,31,0.484375,22,0.34375,11,0.171875,0.484375,3
S3,EMATent,0.6637094616889954,0.6637094616889954,0.9178920984268188,1,0.3008871614933014,0.5,0.19911283850669861,0.0,0.0,5,64,38,0.59375,13,0.203125,13,0.203125,0.59375,3
S3,EMATent,0.699683666229248,0.699683666229248,0.9097835421562195,1,0.2900949001312256,0.5,0.2099050998687744,0.0,0.0,6,47,24,0.5106382978723404,13,0.2765957446808511,10,0.2127659574468085,0.5106382978723404,3
S3,EMATentProbe025,0.5417110919952393,0.5417110919952393,0.934262752532959,1,0.33748667240142827,0.5,0.16251332759857176,0.25,0.0,0,64,37,0.578125,16,0.25,11,0.171875,0.578125,3
S3,EMATentProbe025,0.657904326915741,0.657904326915741,0.9000860452651978,1,0.3026287019252777,0.5,0.19737129807472228,0.25,0.0,1,64,32,0.5,22,0.34375,10,0.15625,0.5,3
S3,EMATentProbe025,0.6343423128128052,0.6343423128128052,0.9096255302429199,1,0.3096973061561584,0.5,0.19030269384384155,0.25,0.0,2,64,32,0.5,21,0.328125,11,0.171875,0.5,3
S3,EMATentProbe025,0.7187578678131104,0.7187578678131104,0.9007865190505981,1,0.2843726396560669,0.5,0.2156273603439331,0.25,0.0,3,64,34,0.53125,21,0.328125,9,0.140625,0.53125,3
