Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5117924528301887,0.6052009456264775,0.4425531914893617,0.3894736842105263,0.4790759404421219,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737
Average,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5117924528301887,0.6052009456264775,0.4425531914893617,0.3894736842105263,0.4790759404421219,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
