Subject,Method,batch_size,g_mi,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance
S2,MIDynamicEMATent,64,0.10788311809301376,0.23981109261512756,0.1319279670715332,0.9546737193990573,0.012961345173038562,0.032364935427904126,0.013394869251426189,6.904519557952881,0.02157662361860275,1,0.20373128354549408,0.05,1,1,62,0.96875,0,0.0,2,0.03125,0.96875,2,0,16,0.25,16,0.25,32,0.5,0.5,3,0.16666666666666669
S2,MIDynamicEMATent,64,0.058256085962057114,0.14891256392002106,0.09065648168325424,0.9623291365559434,0.020194037655439426,0.017476825788617135,0.020553243104569074,10.632909059524536,0.01165121719241142,1,0.09212330728769302,0.05,1,1,62,0.96875,0,0.0,2,0.03125,0.96875,2,1,32,0.5,32,0.5,0,0.0,0.5,2,0.16666666666666669
S2,MIDynamicEMATent,64,0.09118959307670593,0.2290761023759842,0.13788650929927826,0.9418548110060184,0.030788311070969836,0.02735687792301178,0.031654273157480706,16.469043016433716,0.018237918615341183,1,0.17967043817043304,0.05,1,1,62,0.96875,0,0.0,2,0.03125,0.96875,2,2,16,0.25,16,0.25,32,0.5,0.5,3,0.16666666666666669
S2,MIDynamicEMATent,64,0.11048950254917145,0.2125641405582428,0.10207463055849075,0.9234063014601802,0.043446847775068395,0.033146850764751434,0.04493634613429509,23.54037117958069,0.022097900509834286,1,0.12027747929096222,0.05,1,1,61,0.953125,0,0.0,3,0.046875,0.953125,2,3,32,0.5,24,0.375,8,0.125,0.5,3,0.16666666666666669
S2,MIDynamicEMATent,64,0.07809218019247055,0.21524427831172943,0.13715209066867828,0.9236285831786234,0.052943762763635424,0.023427654057741165,0.054213866472485384,28.538270711898804,0.015618436038494107,1,0.1824759840965271,0.05,1,1,59,0.921875,0,0.0,5,0.078125,0.921875,2,4,29,0.453125,35,0.546875,0,0.0,0.546875,2,0.21354166666666669
S2,MIDynamicEMATent,64,0.011460385285317898,0.05488916113972664,0.043428774923086166,0.9411851522138491,0.05537673220055552,0.0034381155855953693,0.0555677806532765,29.27173537015915,0.002292077057063579,0,0.04651729017496109,0.05,1,1,63,0.984375,0,0.0,1,0.015625,0.984375,2,5,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
S2,MIDynamicEMATent,40,0.039048172533512115,0.08598638325929642,0.0469382144510746,0.9305256818952862,0.05775986634466028,0.011714451760053634,0.05844451175829268,30.833662271499634,0.0078096345067024215,0,0.048677753657102585,0.05,1,1,39,0.975,0,0.0,1,0.025,0.975,2,6,40,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
