Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_F1_2,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1,EmaTentGridS20E50B30M080_Acc,EmaTentGridS20E50B30M080_F1_0,EmaTentGridS20E50B30M080_F1_1,EmaTentGridS20E50B30M080_F1_2,EmaTentGridS20E50B30M080_MacroF1
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.47368421052631576,0.4792626728110599,0.5235294117647059,0.3333333333333333,0.445375139303033,0.47368421052631576,0.4792626728110599,0.5235294117647059,0.3333333333333333,0.445375139303033,0.36403508771929827,0.35359116022099446,0.35435435435435436,0.39631336405529954,0.3680862928768828,0.6008771929824561,0.5432098765432098,0.5591939546599496,0.7853403141361257,0.6292480484464283
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.35650224215246634,0.43914081145584727,0.3931034482758621,0.1092896174863388,0.3138446257393494,0.35650224215246634,0.43914081145584727,0.3931034482758621,0.1092896174863388,0.3138446257393494,0.38789237668161436,0.5873417721518988,0.14345991561181434,0.3076923076923077,0.34616466515200695,0.5224215246636771,0.803030303030303,0.0,0.43023255813953487,0.411087620389946
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.43820224719101125,0.5485232067510548,0.43986254295532645,0.016,0.3347952499021271,0.43820224719101125,0.5473684210526316,0.43986254295532645,0.016129032258064516,0.3344533320886742,0.47191011235955055,0.6480186480186481,0.41543026706231456,0.016129032258064516,0.3598593157796757,0.6022471910112359,0.9393258426966292,0.4233576642335766,0.011695906432748537,0.45812647112098476
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.3955056179775281,0.5318681318681319,0.34057971014492755,0.10062893081761007,0.32435892427688984,0.3955056179775281,0.5318681318681319,0.34057971014492755,0.10062893081761007,0.32435892427688984,0.4696629213483146,0.7015706806282722,0.3729903536977492,0.17258883248730963,0.4157166222711104,0.550561797752809,0.7772020725388601,0.5306122448979592,0.049689440993788817,0.45250125281020276
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.465324384787472,0.49876543209876545,0.40939597315436244,0.4816753926701571,0.46327893264109504,0.465324384787472,0.5,0.40939597315436244,0.4791666666666667,0.4628542132736764,0.5570469798657718,0.5490196078431373,0.5808219178082191,0.5232558139534884,0.5510324465349483,0.738255033557047,0.8190954773869347,0.7082152974504249,0.5874125874125874,0.7049077874166491
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.5135135135135135,0.6014319809069213,0.5730337078651685,0.0,0.3914885629240299,0.5135135135135135,0.6014319809069213,0.5730337078651685,0.0,0.3914885629240299,0.5608108108108109,0.6666666666666666,0.6263736263736264,0.0,0.431013431013431,0.9797297297297297,0.980561555075594,0.9816849816849816,0.9736842105263158,0.9786435824289638
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.46271929824561403,0.5673469387755102,0.4,0.19672131147540983,0.38802275008364,0.46271929824561403,0.5673469387755102,0.4,0.19672131147540983,0.38802275008364,0.5614035087719298,0.7210884353741497,0.4918032786885246,0.26506024096385544,0.49265065167550987,0.7390350877192983,0.8467153284671532,0.7087087087087087,0.5357142857142857,0.6970461076300491
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5165094339622641,0.6062052505966588,0.4406779661016949,0.41450777202072536,0.4871303295730263,0.5165094339622641,0.6062052505966588,0.4406779661016949,0.41450777202072536,0.4871303295730263,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737,0.660377358490566,0.9118279569892473,0.032,0.5116279069767442,0.4851519546553305
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.531322505800464,0.645021645021645,0.43703703703703706,0.3230769230769231,0.4683785350452017,0.531322505800464,0.645021645021645,0.43703703703703706,0.3230769230769231,0.4683785350452017,0.5939675174013921,0.7505070993914807,0.5,0.13675213675213677,0.4624197453812058,0.7842227378190255,0.9421487603305785,0.7308970099667774,0.0,0.5576819234324519
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.5299539170506913,0.6359832635983264,0.5480427046263345,0.01834862385321101,0.40079153069262397,0.5299539170506913,0.6359832635983264,0.5480427046263345,0.01834862385321101,0.40079153069262397,0.5944700460829493,0.6497695852534562,0.7076923076923077,0.03669724770642202,0.4647197135507286,0.576036866359447,0.6855524079320113,0.6150121065375302,0.0392156862745098,0.4465934002480172
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.4966139954853273,0.5789473684210527,0.4377104377104377,0.3458646616541353,0.4541741559285419,0.4966139954853273,0.5789473684210527,0.4377104377104377,0.3458646616541353,0.4541741559285419,0.5688487584650113,0.6809421841541756,0.48201438848920863,0.36879432624113473,0.5105836329615063,0.8555304740406321,0.9234234234234234,0.8913043478260869,0.6144578313253012,0.809728534191604
