Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_F1_2,DynaMixEMATent_MacroF1,RealisticTTA_Acc,RealisticTTA_F1_0,RealisticTTA_F1_1,RealisticTTA_F1_2,RealisticTTA_MacroF1
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.4934210526315789,0.5170068027210885,0.5185185185185185,0.3673469387755102,0.4676240866717057,0.36403508771929827,0.35359116022099446,0.35435435435435436,0.39631336405529954,0.3680862928768828,0.6513157894736842,0.5952380952380952,0.6256410256410256,0.8064516129032258,0.6757769112607823,0.6008771929824561,0.44224422442244227,0.6153846153846154,0.8333333333333334,0.6303207243801303
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.36995515695067266,0.47641509433962265,0.3732394366197183,0.11956521739130435,0.3230732494502151,0.38789237668161436,0.5873417721518988,0.14345991561181434,0.3076923076923077,0.34616466515200695,0.5874439461883408,0.8543689320388349,0.15853658536585366,0.4620253164556962,0.49164361128679496,0.48878923766816146,0.7513227513227513,0.02531645569620253,0.4157303370786517,0.3974565146992018
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.43595505617977526,0.5283018867924528,0.46366782006920415,0.016129032258064516,0.3360329130399072,0.47191011235955055,0.6480186480186481,0.41543026706231456,0.016129032258064516,0.3598593157796757,0.5910112359550562,0.9417040358744395,0.3895131086142322,0.011299435028248588,0.44750552650564007,0.5348314606741573,0.8735083532219571,0.39285714285714285,0.0,0.42212183202636666
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.40898876404494383,0.5324675324675324,0.3563636363636364,0.13071895424836602,0.33985004102651156,0.4696629213483146,0.7015706806282722,0.3729903536977492,0.17258883248730963,0.4157166222711104,0.550561797752809,0.7835051546391752,0.5278592375366569,0.037267080745341616,0.4495438243070579,0.45617977528089887,0.6436781609195402,0.49171270718232046,0.022222222222222223,0.38587103010802765
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.4697986577181208,0.5012406947890818,0.4280936454849498,0.46875,0.46602811342467726,0.5570469798657718,0.5490196078431373,0.5808219178082191,0.5232558139534884,0.5510324465349483,0.7986577181208053,0.8967136150234741,0.7706422018348624,0.5673758865248227,0.7449105677943865,0.6375838926174496,0.6980609418282548,0.6185567010309279,0.5379310344827586,0.6181828924473137
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.5112612612612613,0.6009615384615384,0.5706214689265536,0.01694915254237288,0.3961773866434883,0.5608108108108109,0.6666666666666666,0.6263736263736264,0.0,0.431013431013431,0.8716216216216216,0.9936034115138592,0.8297213622291022,0.4166666666666667,0.7466638134698761,0.963963963963964,0.9649122807017544,0.9781021897810219,0.9367088607594937,0.9599077770807566
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.4605263157894737,0.563894523326572,0.39057239057239057,0.21311475409836064,0.3891938893324411,0.5614035087719298,0.7210884353741497,0.4918032786885246,0.26506024096385544,0.49265065167550987,0.793859649122807,0.9276018099547512,0.7428571428571429,0.5578947368421052,0.7427845632179997,0.756578947368421,0.7292225201072386,0.7576601671309192,0.8111111111111111,0.7659979327830898
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5070754716981132,0.5995203836930456,0.4388185654008439,0.3917525773195876,0.47669717547115903,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737,0.6084905660377359,0.7692307692307693,0.0,0.49673202614379086,0.4219875984581867,0.6745283018867925,0.9592760180995475,0.032,0.5124555160142349,0.5012438447045942
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.5150812064965197,0.6347826086956522,0.4163568773234201,0.3007518796992481,0.45063045523944006,0.5939675174013921,0.7505070993914807,0.5,0.13675213675213677,0.4624197453812058,0.8167053364269141,0.987012987012987,0.7630769230769231,0.0,0.5833633033633033,0.7587006960556845,0.9128630705394191,0.7205387205387206,0.0,0.5444672636927131
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.5092165898617511,0.6179540709812108,0.5089605734767025,0.03636363636363636,0.3877594269405166,0.5944700460829493,0.6497695852534562,0.7076923076923077,0.03669724770642202,0.4647197135507286,0.6175115207373272,0.7493261455525606,0.649616368286445,0.03773584905660377,0.47889278763186977,0.5668202764976958,0.670487106017192,0.625615763546798,0.035398230088495575,0.4438336998841619
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.5033860045146726,0.5826086956521739,0.45791245791245794,0.32558139534883723,0.4553675163044897,0.5688487584650113,0.6809421841541756,0.48201438848920863,0.36879432624113473,0.5105836329615063,0.8939051918735892,0.9540481400437637,0.9022556390977443,0.7116564417177914,0.8559867402864332,0.7923250564334086,0.8284313725490197,0.9175627240143369,0.542713567839196,0.7629025548008509
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.43537414965986393,0.5318181818181819,0.4028776978417266,0.23170731707317074,0.38880106557769306,0.5124716553287982,0.6167400881057269,0.4435483870967742,0.34444444444444444,0.4682443065489818,0.746031746031746,0.9377777777777778,0.656,0.3956043956043956,0.6631273911273912,0.7029478458049887,0.8405797101449275,0.6589147286821705,0.4857142857142857,0.6617362415137946
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.42727272727272725,0.4909090909090909,0.44787644787644787,0.2430939226519337,0.3939598204791575,0.5840909090909091,0.6452991452991453,0.6614173228346457,0.27848101265822783,0.5283991602640062,0.9340909090909091,0.9556451612903226,0.9718875502008032,0.7851851851851852,0.9042392988921036,0.9931818181818182,0.9936305732484076,0.9884169884169884,1.0,0.9940158538884654
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.2986425339366516,0.4428904428904429,0.2716049382716049,0.03773584905660377,0.2507437434062172,0.4004524886877828,0.5788336933045356,0.36752136752136755,0.0,0.31545168694196773,0.5361990950226244,0.5779036827195467,0.7309941520467836,0.10582010582010581,0.47157264686214534,0.38687782805429866,0.5224719101123596,0.5217391304347826,0.0,0.3480703468490474
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.48291571753986334,0.5700712589073634,0.46496815286624205,0.26573426573426573,0.43359122583595705,0.5968109339407744,0.6966292134831461,0.5945945945945946,0.2773722627737226,0.5228653569504877,0.8041002277904328,0.9761388286334056,0.764179104477612,0.0,0.5801059777036724,0.7403189066059226,0.9074074074074074,0.7435158501440923,0.0,0.5503077525171666
Average,0.6915270213306569,0.8789767322451361,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.4552580443703993,0.5460561870963366,0.4340301751682945,0.21101965950408413,0.39703534058957174,0.5231010410659246,0.6421059414786667,0.462885329564048,0.2447299628692697,0.4499070779706615,0.7201004234164269,0.8599879031029173,0.6321853600843459,0.35944764924626527,0.6172069708111764,0.6703003466717413,0.7825397600428147,0.605859592322736,0.4088878999095856,0.5990957507583786
Std,0.1126448217055062,0.12828442985838678,0.3313761924072551,0.2862109358845466,0.1393546905968598,0.059209001452660594,0.05368727639816942,0.0699270060237444,0.14145634282418687,0.062069208473934254,0.08145602133398097,0.09894351429902551,0.15534298841443778,0.17440306706278758,0.07159253304018302,0.12965817966407503,0.13169520258461198,0.2579123535429825,0.2913096937644958,0.1521901862139019,0.1674709641066747,0.15950118236598124,0.2795824965719868,0.3632212238006696,0.19418236914708475
