Subject,num_batches,num_samples,mean_max_class_ratio,std_max_class_ratio,mean_imbalance,std_imbalance,single_class_batch_ratio,mean_missing_classes,overall_class_0_ratio,overall_class_1_ratio,overall_class_2_ratio,Source_MacroF1,Tent_MacroF1,Tent_delta_vs_source,OFTTA_MacroF1,OFTTA_delta_vs_source,EmaTentGridS20E50B30M080_MacroF1,EmaTentGridS20E50B30M080_delta_vs_source,Tent_shuffle_gain,OFTTA_shuffle_gain,EmaTentGridS20E50B30M080_shuffle_gain
S2,7,424,0.8683035714285714,0.20927455327382538,0.8213282101429981,0.28252064088133017,0.7142857142857143,1.7142857142857142,0.5400943396226415,0.29009433962264153,0.16981132075471697,0.2352336928608115,0.47669717547115903,0.24146348261034753,0.5113991416574737,0.27616544879666216,0.48540219462513967,0.25016850176432814,0.22471758761717492,0.12404415423723125,-0.07261095727249883
S3,7,431,0.875,0.19764235376052372,0.8217714645635122,0.2818040580076669,0.7142857142857143,1.7142857142857142,0.5290023201856149,0.29698375870069604,0.1740139211136891,0.43841437503794084,0.45063045523944006,0.012216080201499224,0.4624197453812058,0.024005370343264942,0.5562276689196878,0.11781329388174694,0.13135397789441022,0.10285611871818767,-0.020663750220614285
S4,7,434,0.9174107142857143,0.13842885476530048,0.848345376352667,0.24280434307642718,0.7142857142857143,1.7142857142857142,0.5345622119815668,0.2926267281105991,0.1728110599078341,0.4716138943522232,0.3877594269405166,-0.08385446741170655,0.4647197135507286,-0.006894180801494565,0.4473396041911995,-0.02427429016102367,0.16825790038739147,0.11231735160751655,0.12436771288197129
S5,7,443,0.9486607142857143,0.09327045721328651,0.8842711706355438,0.1942291221192806,0.7142857142857143,1.7142857142857142,0.5395033860045146,0.291196388261851,0.16930022573363432,0.7342131701322474,0.4553675163044897,-0.2788456538277577,0.5105836329615063,-0.22362953717074108,0.8213735476608104,0.08716037752856298,0.3320303267316467,0.39151144028980445,0.05684314722856587
S6,7,441,0.9151785714285714,0.13437425842225367,0.8419803380507893,0.24993706718625097,0.7142857142857143,1.7142857142857142,0.5351473922902494,0.2947845804988662,0.17006802721088435,0.4898240775533851,0.38880106557769306,-0.10102301197569202,0.4682443065489818,-0.02157977100440328,0.6316485136321675,0.14182443607878237,0.3639821450487762,0.2995728680024902,0.022210889707287018
S7,7,440,0.9397321428571429,0.10578567509886415,0.8719211019059554,0.21019050963161523,0.7142857142857143,1.7142857142857142,0.5386363636363637,0.2909090909090909,0.17045454545454544,0.5735102784283111,0.3939598204791575,-0.17955045794915364,0.5283991602640062,-0.04511111816430491,0.8893263844180795,0.3158161059897684,0.2652627326105194,0.08877759661339213,-0.20408137842059482
S8,7,442,0.9241071428571429,0.12705579884605095,0.8535725309606619,0.23480822807408946,0.7142857142857143,1.7142857142857142,0.5294117647058824,0.3031674208144796,0.167420814479638,0.46128687214527275,0.2507437434062172,-0.21054312873905556,0.31545168694196773,-0.14583518520330502,0.4968108777838618,0.03552400563858904,0.12399975456562723,0.2501650191390346,0.06878967641020639
S9,7,439,0.9129464285714286,0.13770711442131411,0.8401516446137405,0.25276190320228115,0.7142857142857143,1.7142857142857142,0.5375854214123007,0.2938496583143508,0.16856492027334852,0.5884925201380898,0.43359122583595705,-0.15490129430213279,0.5228653569504877,-0.06562716318760209,0.5715794626065899,-0.016913057531499964,0.10397016704967682,0.017940235366862733,0.0003006000710188417
S10,8,456,0.943359375,0.10710179586605621,0.8831272408083621,0.2082575149195273,0.75,1.75,0.5175438596491229,0.31798245614035087,0.16447368421052633,0.4597626578001243,0.4676240866717057,0.007861428871581366,0.3680862928768828,-0.0916763649232415,0.6320103050957481,0.17224764729562375,0.18426880344833124,0.34465362022057217,-0.028177789099446016
S11,7,446,0.9285714285714286,0.1177759460560082,0.8564859698631687,0.22940371238721596,0.7142857142857143,1.7142857142857142,0.5291479820627802,0.30493273542600896,0.16591928251121077,0.5206943218593704,0.3230732494502151,-0.19762107240915527,0.34616466515200695,-0.17452965670736342,0.4206209401053654,-0.10007338175400499,0.3069194126592353,0.12710263719976328,0.07721584643111157
S13,7,445,0.9375,0.11080065755348979,0.8702445483654628,0.21359713839481403,0.7142857142857143,1.7142857142857142,0.5303370786516854,0.298876404494382,0.1707865168539326,0.4099908405552033,0.3360329130399072,-0.07395792751529612,0.3598593157796757,-0.05013152477552757,0.4614812003304276,0.051490359775224315,0.21118286894097543,0.1445623673164203,-0.006763695612922893
S14,7,445,0.9263392857142857,0.12008015764564968,0.8536087519272433,0.23319003130215832,0.7142857142857143,1.7142857142857142,0.5303370786516854,0.30337078651685395,0.1662921348314607,0.46035902631647313,0.33985004102651156,-0.12050898528996157,0.4157166222711104,-0.04464240404536274,0.45024946350994194,-0.010109562806531192,0.19745372454461024,0.08502627600352775,0.05868879399974419
S15,7,447,0.9308035714285714,0.11866101660716083,0.8613521394166591,0.22452655225196397,0.7142857142857143,1.7142857142857142,0.5257270693512305,0.30648769574944074,0.16778523489932887,0.8415877545054115,0.46602811342467726,-0.3755596410807342,0.5510324465349483,-0.29055530797046314,0.7121969605088676,-0.12939079399654385,0.26810784672440674,0.22083736998475023,0.08732005428550027
S16,7,444,0.9241071428571429,0.12258509122987482,0.8509278210214146,0.23685234441445865,0.7142857142857143,1.7142857142857142,0.5315315315315315,0.30180180180180183,0.16666666666666666,0.594541910331384,0.3961773866434883,-0.19836452368789576,0.431013431013431,-0.16352847931795306,0.9742576175166832,0.3797157071852991,0.19139881256785068,0.1533392507881131,-0.33732199866823576
S17,8,456,0.9453125,0.10245997694221876,0.8845942251562933,0.20511088768392632,0.75,1.75,0.5197368421052632,0.31798245614035087,0.16228070175438597,0.6473452357729368,0.3891938893324411,-0.2581513464404957,0.49265065167550987,-0.15469458409742692,0.6533019060271085,0.005956670254171681,0.39931017701338506,0.39970884068398244,0.13720476201082987
