Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1
S1,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.31954887218045114,0.2788844621513944,0.35587188612099646,0.3173781741361954,0.31954887218045114,0.2788844621513944,0.35587188612099646,0.3173781741361954,0.37969924812030076,0.5103857566765578,0.15384615384615385,0.33211595526135584,0.41729323308270677,0.5584045584045584,0.143646408839779,0.3510254836221687
S2,0.2648221343873518,0.41875,0.0,0.209375,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6284584980237155,0.5648148148148148,0.6758620689655173,0.6203384418901661,0.2648221343873518,0.41875,0.0,0.209375
S3,0.4756554307116105,0.5953757225433526,0.2553191489361702,0.4253474357397614,0.6928838951310862,0.6371681415929203,0.7337662337662337,0.685467187679577,0.6891385767790262,0.6311111111111111,0.7313915857605178,0.6812513484358145,0.599250936329588,0.5560165975103735,0.6348122866894198,0.5954144420998966,0.5580524344569289,0.556390977443609,0.5597014925373134,0.5580462349904611
S4,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.5168539325842697,0.44635193133047213,0.5714285714285714,0.5088902513795217,0.5168539325842697,0.44635193133047213,0.5714285714285714,0.5088902513795217,0.41947565543071164,0.4709897610921502,0.35684647302904565,0.4139181170605979,0.6329588014981273,0.4235294117647059,0.7307692307692307,0.5771493212669683
S5,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.47619047619047616,0.5304878048780488,0.4076923076923077,0.46909005628517825,0.5884353741496599,0.6591549295774648,0.48068669527896996,0.5699208124282173
S6,0.4094488188976378,0.3181818181818182,0.4791666666666667,0.39867424242424243,0.452755905511811,0.505338078291815,0.3876651982378855,0.44650163826485023,0.4566929133858268,0.5106382978723404,0.3893805309734513,0.4500094144228959,0.4645669291338583,0.5853658536585366,0.24444444444444444,0.4149051490514905,0.5236220472440944,0.5535055350553506,0.48945147679324896,0.5214785059242998
S7,0.5565217391304348,0.7102272727272727,0.05555555555555555,0.38289141414141414,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.43478260869565216,0.48,0.38095238095238093,0.43047619047619046,0.4608695652173913,0.5664335664335665,0.28735632183908044,0.42689494413632345
S8,0.5036764705882353,0.5392491467576792,0.46215139442231074,0.500700270589995,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.7279411764705882,0.6782608695652174,0.7643312101910829,0.72129603987815,0.5404411764705882,0.5614035087719298,0.5173745173745173,0.5393890130732235
S9,0.5426356589147286,0.46846846846846846,0.5986394557823129,0.5335539621253906,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5116279069767442,0.5625,0.4473684210526316,0.5049342105263158,0.5465116279069767,0.6377708978328174,0.39378238341968913,0.5157766406262533
S10,0.5387323943661971,0.700228832951945,0.0,0.3501144164759725,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.426056338028169,0.5459610027855153,0.22009569377990432,0.3830283482827098,0.4119718309859155,0.5474254742547425,0.16080402010050251,0.35411474717762254
