Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1
S1,0.49624060150375937,0.6298342541436464,0.21176470588235294,0.42079948001299966,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.6165413533834586,0.6458333333333334,0.5819672131147541,0.6139002732240437
S2,0.6007905138339921,0.6576271186440678,0.5213270142180095,0.5894770664310387,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.7628458498023716,0.8235294117647058,0.6385542168674698,0.7310418143160878,0.7272727272727273,0.7795527156549521,0.6424870466321243,0.7110198811435382
S3,0.45318352059925093,0.0,0.6237113402061856,0.3118556701030928,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6404494382022472,0.673469387755102,0.6,0.636734693877551,0.5468164794007491,0.41545893719806765,0.6299694189602446,0.5227141780791561
S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3146067415730337,0.3487544483985765,0.2766798418972332,0.31271714514790483,0.5955056179775281,0.46,0.6766467065868264,0.5683233532934132
S5,0.6564625850340136,0.7262872628726287,0.5388127853881278,0.6325500241303783,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.7312925170068028,0.7584097859327217,0.6973180076628352,0.7278638967977784,0.6428571428571429,0.6808510638297872,0.5945945945945946,0.6377228292121909
S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.421259842519685,0.4280155642023346,0.41434262948207173,0.42117909684220317
S7,0.7086956521739131,0.8295165394402035,0.0,0.41475826972010177,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.49130434782608695,0.6422018348623854,0.12030075187969924,0.3812512933710423,0.5173913043478261,0.6605504587155964,0.16541353383458646,0.4129819962750914
S8,0.43014705882352944,0.5481049562682215,0.22885572139303484,0.38848033883062816,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.4117647058823529,0.48717948717948717,0.3103448275862069,0.39876215738284704
S9,0.31007751937984496,0.011111111111111112,0.47023809523809523,0.24067460317460318,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.4689922480620155,0.44081632653061226,0.4944649446494465,0.4676406355900294
S10,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.46830985915492956,0.5746478873239437,0.29107981220657275,0.4328638497652582,0.323943661971831,0.16521739130434782,0.4319526627218935,0.2985850270131206
