Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S4,EMATent,0.6542725563049316,0.6542725563049316,0.8544729351997375,1,0.30371823310852053,0.5,0.1962817668914795,0.0,0.0,1,64,20,0.3125,44.0,0.6875,0.6875,2
S4,EMATent,0.8507832884788513,0.8507832884788513,0.7236484289169312,1,0.2447650134563446,0.5,0.2552349865436554,0.0,0.0,2,64,35,0.546875,29.0,0.453125,0.546875,2
S4,EMATent,0.9660083055496216,0.9660083055496216,0.7617323398590088,1,0.21019750833511353,0.5,0.2898024916648865,0.0,0.0,3,64,10,0.15625,54.0,0.84375,0.84375,2
S4,EMATent,0.911170244216919,0.911170244216919,0.7157402634620667,1,0.22664892673492432,0.5,0.2733510732650757,0.0,0.0,4,11,0,0.0,11.0,1.0,1.0,1
S5,EMATent,0.8513361215591431,0.8513361215591431,0.772223711013794,1,0.24459916353225708,0.5,0.2554008364677429,0.0,0.0,0,64,37,0.578125,27.0,0.421875,0.578125,2
S5,EMATent,0.9938839673995972,0.9938839673995972,0.7192894220352173,1,0.20183480978012086,0.5,0.29816519021987914,0.0,0.0,1,64,33,0.515625,31.0,0.484375,0.515625,2
S5,EMATent,0.9959190487861633,0.9959190487861633,0.7512577176094055,1,0.20122428536415102,0.5,0.298775714635849,0.0,0.0,2,64,24,0.375,40.0,0.625,0.625,2
S5,EMATent,0.9935988187789917,0.9935988187789917,0.6569825410842896,1,0.2019203543663025,0.5,0.2980796456336975,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S5,EMATent,0.9542375802993774,0.9542375802993774,0.6491833925247192,1,0.21372872591018677,0.5,0.28627127408981323,0.0,0.0,4,38,11,0.2894736842105263,27.0,0.7105263157894737,0.7105263157894737,2
S6,EMATent,0.004454898647964001,0.004454898647964001,0.9996559023857117,0,0.4986635304056108,0.5,0.0013364695943892003,0.0,0.0,0,64,41,0.640625,23.0,0.359375,0.640625,2
S6,EMATent,0.4114377498626709,0.4114377498626709,0.917353093624115,1,0.37656867504119873,0.5,0.12343132495880127,0.0,0.0,1,64,35,0.546875,29.0,0.453125,0.546875,2
S6,EMATent,0.8946917653083801,0.8946917653083801,0.6963344812393188,1,0.23159247040748598,0.5,0.268407529592514,0.0,0.0,2,64,22,0.34375,42.0,0.65625,0.65625,2
S6,EMATent,0.9177044034004211,0.9177044034004211,0.6674846410751343,1,0.22468867897987366,0.5,0.27531132102012634,0.0,0.0,3,62,29,0.46774193548387094,33.0,0.532258064516129,0.532258064516129,2
S7,EMATent,0.002560202032327652,0.002560202032327652,0.9998149871826172,0,0.4992319393903017,0.5,0.0007680606096982955,0.0,0.0,0,64,52,0.8125,12.0,0.1875,0.8125,2
S7,EMATent,0.15895988047122955,0.15895988047122955,0.9820894598960876,0,0.4523120358586311,0.5,0.04768796414136887,0.0,0.0,1,64,31,0.484375,33.0,0.515625,0.515625,2
