Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,EmaTent_Acc,EmaTent_F1_0,EmaTent_F1_1,EmaTent_F1_2,EmaTent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1
S2,0.6698113207547169,0.9464285714285714,0.0,0.51985559566787,0.48876138903214716,0.5330188679245284,0.6474226804123712,0.39662447257383965,0.3492063492063492,0.4644178340641867,0.8183962264150944,0.9519450800915332,0.7323943661971831,0.6161616161616161,0.7668336874834442,0.6061320754716981,0.722117202268431,0.2981366459627329,0.5316455696202531,0.5172998059504723
S3,0.5406032482598608,0.6972477064220184,0.07518796992481203,0.0,0.2574785587822768,0.5475638051044084,0.6733466933867736,0.4163568773234201,0.2553191489361702,0.44834090654878794,0.8352668213457076,0.963963963963964,0.7876923076923077,0.3870967741935484,0.7129176819499401,0.5893271461716937,0.7333333333333333,0.4738955823293173,0.1553398058252427,0.45418957382929775
S4,0.6152073732718893,0.7493261455525606,0.6684210526315789,0.017094017094017096,0.4782804050927189,0.49539170506912444,0.5811965811965812,0.541095890410959,0.0,0.37409749053584673,0.5506912442396313,0.6472303206997084,0.6381909547738693,0.015748031496062992,0.43372310232321354,0.5875576036866359,0.6511627906976745,0.7491638795986622,0.04316546762589928,0.48116404597407864
S5,0.7065462753950339,0.8722627737226277,0.696969696969697,0.07142857142857142,0.5468870140402987,0.49209932279909707,0.6107784431137725,0.4014336917562724,0.16981132075471697,0.39400781854158723,0.7155756207674944,0.8197530864197531,0.8231511254019293,0.27058823529411763,0.6378308157052667,0.5846501128668171,0.6747967479674797,0.5891472868217055,0.25,0.504648011596395
S6,0.5351473922902494,0.9936034115138592,0.019417475728155338,0.00966183574879227,0.3408942409969356,0.4988662131519274,0.6160337552742616,0.43356643356643354,0.19672131147540983,0.4154405001053683,0.6848072562358276,0.8551724137931035,0.7009063444108762,0.0,0.5186929194013266,0.5578231292517006,0.6774847870182555,0.43410852713178294,0.3511450381679389,0.48757945077265913
S7,0.6909090909090909,0.8464285714285714,0.6871794871794872,0.0,0.5112026862026862,0.48409090909090907,0.5034324942791762,0.4742268041237113,0.4473684210526316,0.4750092398185064,0.9295454545454546,0.9300225733634312,0.89198606271777,1.0,0.9406695453604005,0.6227272727272727,0.7071129707112971,0.5503875968992248,0.4722222222222222,0.5765742632775814
S8,0.5407239819004525,0.5134474327628362,0.6683291770573566,0.0,0.3939255366067309,0.4343891402714932,0.5681818181818182,0.4049079754601227,0.01694915254237288,0.3300129820614379,0.5067873303167421,0.5313432835820896,0.6096997690531177,0.05172413793103448,0.3975890635220806,0.5294117647058824,0.6469135802469136,0.5722222222222222,0.0,0.4063786008230452
S9,0.8200455580865603,0.9892933618843683,0.7701492537313432,0.0,0.5864808718719039,0.4988610478359909,0.6216216216216216,0.48125,0.07017543859649122,0.391015686739371,0.6902050113895216,0.848780487804878,0.6807387862796834,0.0,0.5098397580281872,0.5535307517084282,0.7104072398190046,0.5167173252279635,0.018691588785046728,0.4152720512773383
S10,0.6600877192982456,0.6436781609195402,0.8113879003558719,0.5300353356890459,0.6617004656548194,0.45394736842105265,0.5060728744939271,0.5109034267912772,0.0,0.3389921004284015,0.6776315789473685,0.5476923076923077,0.7923497267759563,0.6787330316742082,0.6729250220474907,0.48464912280701755,0.4924406047516199,0.6729559748427673,0.0,0.3884655265314623
S11,0.6883408071748879,0.8780487804878049,0.0,0.6636363636363637,0.5138950480413895,0.46860986547085204,0.570230607966457,0.45751633986928103,0.05504587155963303,0.36093093979845703,0.6569506726457399,0.7869674185463659,0.5488721804511278,0.5550660792951542,0.630301892764216,0.4820627802690583,0.6181818181818182,0.41605839416058393,0.08130081300813008,0.37184700845017743
S13,0.6629213483146067,0.9827586206896551,0.48375451263537905,0.0,0.4888377111083447,0.40898876404494383,0.5147679324894515,0.37012987012987014,0.05555555555555555,0.3134844527249591,0.5370786516853933,0.7888040712468194,0.5045045045045045,0.0,0.4311028585837746,0.4449438202247191,0.6047619047619047,0.3837837837837838,0.0,0.3295152295152295
S14,0.7101123595505618,0.960352422907489,0.6049382716049383,0.0,0.5217635648374758,0.40898876404494383,0.5458422174840085,0.334384858044164,0.019230769230769232,0.29981928158631393,0.5707865168539326,0.7403598971722365,0.5510204081632653,0.03669724770642202,0.4426925176806413,0.5146067415730337,0.7242798353909465,0.3321554770318021,0.09917355371900827,0.38520295538058563
S15,0.7695749440715883,0.9120370370370371,0.7906976744186046,0.1864406779661017,0.6297251298072478,0.41387024608501116,0.5714285714285714,0.3081967213114754,0.11940298507462686,0.3330094259382245,0.5413870246085011,0.6494252873563219,0.5739130434782609,0.29850746268656714,0.5072819311737167,0.4720357941834452,0.5083798882681564,0.5269121813031161,0.29508196721311475,0.44345801226146236
