Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_F1_2,EMATent_MacroF1,EMATentProbe025_Acc,EMATentProbe025_F1_0,EMATentProbe025_F1_1,EMATentProbe025_F1_2,EMATentProbe025_MacroF1,EMATentProbe050_Acc,EMATentProbe050_F1_0,EMATentProbe050_F1_1,EMATentProbe050_F1_2,EMATentProbe050_MacroF1,EMATentProbe100_Acc,EMATentProbe100_F1_0,EMATentProbe100_F1_1,EMATentProbe100_F1_2,EMATentProbe100_MacroF1,EMATentMinGate025_Acc,EMATentMinGate025_F1_0,EMATentMinGate025_F1_1,EMATentMinGate025_F1_2,EMATentMinGate025_MacroF1,EMATentMinGate050_Acc,EMATentMinGate050_F1_0,EMATentMinGate050_F1_1,EMATentMinGate050_F1_2,EMATentMinGate050_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7570754716981132,0.9223529411764706,0.580952380952381,0.6009389671361502,0.701414763088334,0.6014150943396226,0.8045112781954887,0.0,0.43386243386243384,0.41279123735264084,0.6061320754716981,0.8169556840077071,0.0,0.44554455445544555,0.4208334128210509,0.6132075471698113,0.828125,0.0,0.45933014354066987,0.4291517145135566,0.6179245283018868,0.836,0.0,0.4796380090497738,0.43854600301659125,0.6061320754716981,0.8153846153846154,0.0,0.44776119402985076,0.42104860313815534,0.6155660377358491,0.8300395256916996,0.0,0.4744186046511628,0.4348193767809541
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7587006960556845,0.9280742459396751,0.7607361963190185,0.05714285714285714,0.5819844331338503,0.7517401392111369,0.9311064718162839,0.6755852842809364,0.0,0.5355639186990735,0.7517401392111369,0.9311064718162839,0.6755852842809364,0.0,0.5355639186990735,0.7470997679814385,0.9288702928870293,0.6711409395973155,0.0,0.5333370774947815,0.7494199535962877,0.9324894514767933,0.6777408637873754,0.0,0.5367434384213895,0.7470997679814385,0.9288702928870293,0.6711409395973155,0.0,0.5333370774947815,0.7494199535962877,0.9324894514767933,0.6777408637873754,0.0,0.5367434384213895
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.6889400921658986,0.8049792531120332,0.8192771084337349,0.043795620437956206,0.5560173273279081,0.7557603686635944,0.8617886178861789,0.8333333333333334,0.02,0.5717073170731708,0.7580645161290323,0.8617886178861789,0.8375451263537906,0.020202020202020204,0.5731785881473298,0.7580645161290323,0.8600405679513184,0.8405797101449275,0.020202020202020204,0.5736074327660886,0.7580645161290323,0.8617886178861789,0.8375451263537906,0.020202020202020204,0.5731785881473298,0.7534562211981567,0.8600405679513184,0.8321167883211679,0.019801980198019802,0.5706531121568353,0.7534562211981567,0.8600405679513184,0.8321167883211679,0.019801980198019802,0.5706531121568353
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.835214446952596,0.8986175115207373,0.8797250859106529,0.5838509316770186,0.7873978430361364,0.909706546275395,0.9743589743589743,0.8627450980392157,0.7975460122699386,0.8782166948893763,0.909706546275395,0.9743589743589743,0.8627450980392157,0.7975460122699386,0.8782166948893763,0.909706546275395,0.9764453961456103,0.859375,0.7975460122699386,0.877788802805183,0.909706546275395,0.9764453961456103,0.859375,0.7975460122699386,0.877788802805183,0.909706546275395,0.9764453961456103,0.859375,0.7975460122699386,0.877788802805183,0.90744920993228,0.9742489270386266,0.859375,0.7926829268292683,0.875435617955965
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.8027210884353742,0.9312638580931264,0.717948717948718,0.6091370558375635,0.7527832106264692,0.7346938775510204,0.9473684210526315,0.5077720207253886,0.5064377682403434,0.6538594033394545,0.7346938775510204,0.9473684210526315,0.5077720207253886,0.5064377682403434,0.6538594033394545,0.7369614512471655,0.9473684210526315,0.5154639175257731,0.5086206896551724,0.6571510094111923,0.7392290249433107,0.9473684210526315,0.5181347150259067,0.5150214592274678,0.660174865102002,0.7369614512471655,0.9473684210526315,0.5154639175257731,0.5086206896551724,0.6571510094111923,0.7392290249433107,0.9473684210526315,0.5181347150259067,0.5150214592274678,0.660174865102002
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8,0.8517110266159695,0.921875,0.20408163265306123,0.6592225530896769,0.8227272727272728,0.88268156424581,0.9377593360995851,0.23529411764705882,0.6852450059974847,0.8227272727272728,0.88268156424581,0.9377593360995851,0.23529411764705882,0.6852450059974847,0.8227272727272728,0.88268156424581,0.9377593360995851,0.23529411764705882,0.6852450059974847,0.8227272727272728,0.88268156424581,0.9377593360995851,0.23529411764705882,0.6852450059974847,0.8227272727272728,0.88268156424581,0.9377593360995851,0.23529411764705882,0.6852450059974847,0.825,0.8843283582089553,0.9377593360995851,0.2524271844660194,0.6915049595915198
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.4502262443438914,0.6045454545454545,0.5196850393700787,0.0,0.3747434979718444,0.7104072398190046,0.8093385214007782,0.8559670781893004,0.031496062992125984,0.5656005541940682,0.7126696832579186,0.8070175438596491,0.8653061224489796,0.031746031746031744,0.5680232326848867,0.7104072398190046,0.8070175438596491,0.860655737704918,0.031496062992125984,0.5663897815188976,0.7081447963800905,0.8070175438596491,0.8559670781893004,0.03125,0.5647448740163165,0.7081447963800905,0.8070175438596491,0.8524590163934426,0.031496062992125984,0.5636575410817392,0.7013574660633484,0.8023483365949119,0.8373983739837398,0.031496062992125984,0.5570809245235925
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.7061503416856492,0.89749430523918,0.7151898734177216,0.0,0.5375613928856339,0.785876993166287,0.961038961038961,0.754601226993865,0.0,0.5718800626776087,0.785876993166287,0.961038961038961,0.754601226993865,0.0,0.5718800626776087,0.785876993166287,0.961038961038961,0.754601226993865,0.0,0.5718800626776087,0.785876993166287,0.961038961038961,0.754601226993865,0.0,0.5718800626776087,0.785876993166287,0.961038961038961,0.754601226993865,0.0,0.5718800626776087,0.785876993166287,0.961038961038961,0.754601226993865,0.0,0.5718800626776087
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6359649122807017,0.6648199445983379,0.554016620498615,0.7368421052631579,0.6518928901200369,0.6206140350877193,0.7772020725388601,0.4013840830449827,0.6329113924050633,0.603832515996302,0.625,0.7772020725388601,0.41237113402061853,0.6382978723404256,0.6092903596333014,0.625,0.7772020725388601,0.41237113402061853,0.6382978723404256,0.6092903596333014,0.6228070175438597,0.7708333333333334,0.41496598639455784,0.6410256410256411,0.6089416535845107,0.625,0.7772020725388601,0.41237113402061853,0.6382978723404256,0.6092903596333014,0.625,0.7772020725388601,0.41237113402061853,0.6382978723404256,0.6092903596333014
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6860986547085202,0.8761904761904762,0.5693430656934306,0.4444444444444444,0.6299926621094504,0.6547085201793722,0.9230769230769231,0.02631578947368421,0.5441176470588235,0.49783678653647695,0.6547085201793722,0.9250535331905781,0.02631578947368421,0.5421245421245421,0.4978312882629348,0.6569506726457399,0.9290322580645162,0.0392156862745098,0.5401459854014599,0.5027979765801619,0.6591928251121076,0.9310344827586207,0.05194805194805195,0.5401459854014599,0.5077095067027108,0.6547085201793722,0.9290322580645162,0.02631578947368421,0.5381818181818182,0.4978432885733395,0.6569506726457399,0.9310344827586207,0.0392156862745098,0.5381818181818182,0.502810662404983
