Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5094339622641509,0.6033254156769596,0.42677824267782427,0.40425531914893614,0.4781196591679067,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.5081206496519721,0.6420824295010846,0.40293040293040294,0.25,0.43167094414382917,0.5939675174013921,0.7505070993914807,0.5,0.13675213675213677,0.4624197453812058
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.5161290322580645,0.6218487394957983,0.524822695035461,0.03636363636363636,0.39434502363163193,0.5944700460829493,0.6497695852534562,0.7076923076923077,0.03669724770642202,0.4647197135507286
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.4762979683972912,0.5802197802197803,0.41471571906354515,0.25757575757575757,0.417503752286361,0.5688487584650113,0.6809421841541756,0.48201438848920863,0.36879432624113473,0.5105836329615063
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.43537414965986393,0.5260770975056689,0.38235294117647056,0.28402366863905326,0.39748456910706426,0.5124716553287982,0.6167400881057269,0.4435483870967742,0.34444444444444444,0.4682443065489818
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.42954545454545456,0.4954545454545455,0.4409448818897638,0.25806451612903225,0.39815464782444715,0.5840909090909091,0.6452991452991453,0.6614173228346457,0.27848101265822783,0.5283991602640062
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.2986425339366516,0.45023696682464454,0.28346456692913385,0.009615384615384616,0.24777230612305434,0.4004524886877828,0.5788336933045356,0.36752136752136755,0.0,0.31545168694196773
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.4806378132118451,0.5645933014354066,0.4591194968553459,0.28169014084507044,0.43513431304527433,0.5968109339407744,0.6966292134831461,0.5945945945945946,0.2773722627737226,0.5228653569504877
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.5021929824561403,0.509090909090909,0.5508982035928144,0.36231884057971014,0.47410265108781124,0.36403508771929827,0.35359116022099446,0.35435435435435436,0.39631336405529954,0.3680862928768828
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.3834080717488789,0.4788732394366197,0.3972602739726027,0.12643678160919541,0.3341900983394726,0.38789237668161436,0.5873417721518988,0.14345991561181434,0.3076923076923077,0.34616466515200695
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.4337078651685393,0.5355648535564853,0.4507042253521127,0.015625,0.33396469296953263,0.47191011235955055,0.6480186480186481,0.41543026706231456,0.016129032258064516,0.3598593157796757
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.4044943820224719,0.5300668151447662,0.3611111111111111,0.11764705882352941,0.3362749950264689,0.4696629213483146,0.7015706806282722,0.3729903536977492,0.17258883248730963,0.4157166222711104
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.4519015659955257,0.472636815920398,0.40955631399317405,0.4723618090452261,0.4515183129862661,0.5570469798657718,0.5490196078431373,0.5808219178082191,0.5232558139534884,0.5510324465349483
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.5112612612612613,0.5942028985507246,0.5842696629213483,0.0,0.3928241871573577,0.5608108108108109,0.6666666666666666,0.6263736263736264,0.0,0.431013431013431
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.45614035087719296,0.5616161616161616,0.3931034482758621,0.1889763779527559,0.3812319959482598,0.5614035087719298,0.7210884353741497,0.4918032786885246,0.26506024096385544,0.49265065167550987
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.4531525362303536,0.5443926646286635,0.4321354790517981,0.20433028608848586,0.3936194765896492,0.5231010410659246,0.6421059414786668,0.46288532956404804,0.2447299628692697,0.44990707797066154
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.057500766295758024,0.05540873879635801,0.07350797705224645,0.14473410421283214,0.05919031348073764,0.08145602133398099,0.09894351429902552,0.15534298841443778,0.17440306706278758,0.07159253304018304
