Subject,Method,batch_size,g_mi,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance
S2,MIDynamicEMATent,64,0.0032719303853809834,0.023137448355555534,0.01986551843583584,0.9986099145869848,0.000408506297401015,0.000981579115614295,0.0004089076726326857,0.20940354466438293,0.0006543860770761965,0,0.021610556170344353,0.05,1,1,64,1.0,0,0.0,0,0.0,1.0,1,0,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
S2,MIDynamicEMATent,64,0.004838692955672741,0.03802860900759697,0.033189915120601654,0.9975365488803947,0.0010118432329034865,0.0014516078867018222,0.0010133141677410862,0.5190798938274384,0.000967738591134548,0,0.028403449803590775,0.05,1,1,64,1.0,0,0.0,0,0.0,1.0,1,1,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
S2,MIDynamicEMATent,64,0.006053311750292778,0.05874742195010185,0.052694108337163925,0.9964182933419234,0.001765713132988725,0.0018159935250878334,0.001768925490225337,0.9064918458461761,0.0012106623500585554,0,0.04909306764602661,0.05,1,1,64,1.0,0,0.0,0,0.0,1.0,1,2,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
S2,MIDynamicEMATent,64,0.138914093375206,0.25291645526885986,0.11400236189365387,0.9401627709643263,0.018163001023111816,0.0416742280125618,0.018952846259622347,9.79699382185936,0.027782818675041194,1,0.1414308249950409,0.05,1,1,59,0.921875,0,0.0,5,0.078125,0.921875,2,3,37,0.578125,27,0.421875,0,0.0,0.578125,2,0.24479166666666669
S2,MIDynamicEMATent,64,0.0113977687433362,0.07644961774349213,0.0650518462061882,0.9763006816577628,0.02027998771923633,0.00341933062300086,0.020349569625822794,10.526451021432877,0.0022795537486672394,0,0.10060437023639679,0.05,1,1,64,1.0,0,0.0,0,0.0,1.0,1,4,0,0.0,64,1.0,0,0.0,1.0,1,0.6666666666666667
S2,MIDynamicEMATent,64,0.13508693873882294,0.41022446751594543,0.2751375436782837,0.9242104362501897,0.03526348212816343,0.04052608162164688,0.03675293455372264,19.172015100717545,0.02701738774776458,1,0.38876020908355713,0.05,1,1,53,0.828125,0,0.0,11,0.171875,0.828125,2,5,0,0.0,32,0.5,32,0.5,0.5,2,0.16666666666666669
S2,MIDynamicEMATent,40,0.02285601757466793,0.1388917863368988,0.11603577435016632,0.9549355864273998,0.03820760830019977,0.006856805272400379,0.038471399193023115,20.086255803704262,0.004571203514933585,0,0.17230549454689026,0.05,1,1,40,1.0,0,0.0,0,0.0,1.0,1,6,0,0.0,0,0.0,40,1.0,1.0,1,0.6666666666666667
