Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1,EMATentAdaptive_Acc,EMATentAdaptive_F1_0,EMATentAdaptive_F1_1,EMATentAdaptive_F1_2,EMATentAdaptive_MeanF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7570754716981132,0.9223529411764706,0.580952380952381,0.6009389671361502,0.701414763088334,0.7264150943396226,0.9422632794457275,0.39263803680981596,0.5714285714285714,0.6354432958947049,0.5801886792452831,0.7673179396092362,0.0,0.375,0.3807726465364121
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7587006960556845,0.9280742459396751,0.7607361963190185,0.05714285714285714,0.5819844331338503,0.7540603248259861,0.9270588235294117,0.7687687687687688,0.0,0.5652758640993935,0.7517401392111369,0.9262295081967213,0.6666666666666666,0.0,0.5309653916211293
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.6889400921658986,0.8049792531120332,0.8192771084337349,0.043795620437956206,0.5560173273279081,0.7511520737327189,0.8329979879275654,0.8981132075471698,0.0,0.5770370651582452,0.7603686635944701,0.8629856850715747,0.8357142857142857,0.04040404040404041,0.5797013370633003
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.835214446952596,0.8986175115207373,0.8797250859106529,0.5838509316770186,0.7873978430361364,0.9232505643340858,0.9448123620309051,0.9662921348314607,0.7951807228915663,0.9020950732513108,0.927765237020316,0.985200845665962,0.8835341365461847,0.8292682926829268,0.8993344249650245
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.8027210884353742,0.9312638580931264,0.717948717948718,0.6091370558375635,0.7527832106264692,0.8140589569160998,0.9356984478935698,0.7433628318584071,0.624390243902439,0.767817174551472,0.7278911564625851,0.9473684210526315,0.4842105263157895,0.5,0.643859649122807
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8,0.8517110266159695,0.921875,0.20408163265306123,0.6592225530896769,0.8227272727272728,0.8633879781420765,0.9881422924901185,0.0,0.6171767568773984,0.8227272727272728,0.8810408921933085,0.9421487603305785,0.22,0.6810632175079624
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.4502262443438914,0.6045454545454545,0.5196850393700787,0.0,0.3747434979718444,0.7330316742081447,0.7630522088353414,0.9337979094076655,0.0,0.5656167060810023,0.7217194570135747,0.8093385214007782,0.8861788617886179,0.03225806451612903,0.575925149235175
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.7061503416856492,0.89749430523918,0.7151898734177216,0.0,0.5375613928856339,0.6947608200455581,0.8564593301435407,0.7659574468085106,0.0,0.5408055923173505,0.7904328018223234,0.9655172413793104,0.754601226993865,0.0,0.5733728227910585
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6359649122807017,0.6648199445983379,0.554016620498615,0.7368421052631579,0.6518928901200369,0.6864035087719298,0.6815642458100558,0.6186666666666667,0.8379888268156425,0.712739913097455,0.6118421052631579,0.7835051546391752,0.3701067615658363,0.6172839506172839,0.5902986222740986
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6860986547085202,0.8761904761904762,0.5693430656934306,0.4444444444444444,0.6299926621094504,0.5964125560538116,0.8946135831381733,0.011299435028248588,0.5138888888888888,0.4732673023517702,0.6547085201793722,0.9256900212314225,0.0,0.5421245421245421,0.4892715211186549
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6696629213483146,0.9440715883668904,0.5309090909090909,0.16666666666666666,0.5472157819808826,0.6561797752808989,0.9978768577494692,0.3598326359832636,0.15555555555555556,0.504421683096096,0.6022471910112359,0.9626373626373627,0.3769230769230769,0.0,0.44652014652014654
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.7191011235955056,0.9671772428884027,0.6282051282051282,0.01652892561983471,0.5373037655711218,0.6606741573033708,0.980561555075594,0.4575645756457565,0.0641025641025641,0.5007428982746381,0.6786516853932584,0.9914529914529915,0.4852941176470588,0.05333333333333334,0.5100268141444612
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7874720357941835,0.8738317757009346,0.7753846153846153,0.5531914893617021,0.734135960149084,0.8187919463087249,0.9170506912442397,0.7621951219512195,0.6363636363636364,0.7718698165196985,0.8680089485458613,0.9692982456140351,0.8172757475083057,0.6423357664233577,0.8096365865152327
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.7905405405405406,0.9557522123893806,0.7859237536656891,0.021052631578947368,0.587576199211339,0.8018018018018018,0.9694323144104804,0.783625730994152,0.0,0.5843526818015441,0.8445945945945946,1.0,0.7952522255192879,0.12658227848101267,0.6406115013334335
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.8618421052631579,0.962800875273523,0.8421052631578947,0.5606060606060606,0.7885040663458261,0.9210526315789473,0.9871794871794872,0.8787878787878788,0.8111111111111111,0.8923594923594923,0.8530701754385965,0.9914893617021276,0.7565543071161048,0.6285714285714286,0.7922050324632203
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.7299807116578754,0.8722455141100395,0.7067517959911178,0.30655195922836137,0.6285164231098396,0.7573848772152648,0.899600610170376,0.6886029782386067,0.33400067473733164,0.6407347543821048,0.746397108501536,0.9179381461231092,0.6036307133757106,0.3071441131436037,0.6095709908808079
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.0973732084145903,0.10309917332755875,0.12945750979017004,0.27074464635486706,0.10983115850071229,0.09077209155877948,0.08516797801509576,0.2645208998831977,0.33988557446517137,0.13304674613710102,0.10235627375046646,0.07611438604644435,0.2968821863183162,0.28470155918684587,0.13608691431641773
