Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S2,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,19,0.296875,45.0,0.703125,0.703125,2,,,64.0,,,,,
S2,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,64.0,1.0,1.0,1,,,64.0,,,,,
S2,RoTTA,61,,,,,,,,,,,,,,,,,,,,,,3,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2,,,64.0,,,,,
S2,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,10,0.15625,54.0,0.84375,0.84375,2,,,,64.0,1.0,0.542940616607666,,
S2,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,19,0.296875,45.0,0.703125,0.703125,2,,,,64.0,1.0,0.5312796831130981,,
S2,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,64.0,1.0,1.0,1,,,,64.0,1.0,0.5512969493865967,,
S2,NOTE,61,,,,,,,,,,,,,,,,,,,,,,3,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2,,,,64.0,0.0,,,
S2,DELTA,64,,,,,,,,,,,,,,,,,,,,,,0,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,0.27900663018226624,6.0
S2,DELTA,64,,,,,,,,,,,,,,,,,,,,,,1,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,0.23962686955928802,22.0
S2,DELTA,64,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,64.0,1.0,1.0,1,,,,,,,0.03384861350059509,53.0
S2,DELTA,61,,,,,,,,,,,,,,,,,,,,,,3,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2,,,,,,,0.046753641217947006,46.0
S3,DynaMixEMATent,64,0.2432834804058075,0.9631387591362,0.9631387591362,0.7198553085327148,0.4393011398535576,0.2717572324055824,0.28894162774085996,0.3821869525875472,61.6408805847168,0.19999999999999996,1.0,0.5745097398757935,0.2,0.0,1.0,39.0,0.609375,25.0,0.390625,0.609375,2.0,0,16,0.25,48.0,0.75,0.75,2,0.25,,,,,,,
S3,DynaMixEMATent,64,0.17706511914730072,0.6979233622550964,0.6979233622550964,0.5208582282066345,0.34456755623287183,0.4460554350905992,0.20937700867652892,0.5641822208381777,106.30797576904297,0.19999999999999996,1.0,0.5624790191650391,0.2,0.0,1.0,50.0,0.78125,14.0,0.21875,0.78125,2.0,1,27,0.421875,37.0,0.578125,0.578125,2,0.078125,,,,,,,
S3,DynaMixEMATent,64,0.16796977818012238,0.9700456857681274,0.9700456857681274,0.8020759224891663,0.19023921217033513,0.5187470820992266,0.2910137057304382,0.7316743444718766,168.39089965820312,0.19999999999999996,1.0,0.6595057249069214,0.2,0.0,1.0,33.0,0.515625,31.0,0.484375,0.515625,2.0,2,29,0.453125,35.0,0.546875,0.546875,2,0.046875,,,,,,,
S3,DynaMixEMATent,64,0.193075031042099,0.7596213817596436,0.7596213817596436,0.5665463805198669,0.14170778372199772,0.6304058017501093,0.22788641452789304,0.8164676980326012,217.0066680908203,0.19999999999999996,1.0,0.5712625980377197,0.2,0.0,1.0,31.0,0.484375,33.0,0.515625,0.515625,2.0,3,38,0.59375,26.0,0.40625,0.59375,2,0.09375,,,,,,,
S3,DynaMixEMATent,11,0.033078111708164215,0.7562379837036133,0.7562379837036133,0.7231598496437073,0.13296575444652547,0.6401628504423905,0.22687139511108398,0.8280159942269499,225.32528591156006,0.19999999999999996,1.0,0.6051410436630249,0.2,0.0,1.0,2.0,0.18181818181818182,9.0,0.8181818181818182,0.8181818181818182,2.0,4,0,0.0,11.0,1.0,1.0,1,0.5,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,27,0.421875,37.0,0.578125,0.578125,2,,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,29,0.453125,35.0,0.546875,0.546875,2,,,,,,,,
S3,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,,,,,,
S3,TEMA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,,,,,
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,0.099,,,,,,
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,1,27,0.421875,37.0,0.578125,0.578125,2,,0.09336,,,,,,
