Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_max_class_ratio,true_num_present_classes,true_class_1_count,true_class_1_ratio,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S10,DynaMixEMATent,,,,,,,,,,6,64,7,0.109375,0.890625,2,57.0,0.890625,0.00041834654984995723,0.0018188300309702754,0.0018188300309702754,0.001400483539327979,0.2841958843329583,0.7152584666577506,0.0005456490092910826,0.7156489598036677,160.96585562638938,0.19999999999999996,0.0,0.022825466468930244,0.2,0.0,1.0,62.0,0.96875,2.0,0.03125,0.96875,2.0,0.390625,,,,,,,
S10,DynaMixEMATent,,,,,,,,,,7,64,0,0.0,1.0,1,64.0,1.0,0.00035180815029889345,0.0020893325563520193,0.0020893325563520193,0.0017375244060531259,0.28387609828868626,0.7154971019444081,0.0006267997669056058,0.7159458566404674,161.0995729099959,0.19999999999999996,0.0,0.525722324848175,0.2,0.0,1.0,43.0,0.671875,21.0,0.328125,0.671875,2.0,0.5,,,,,,,
S10,DynaMixEMATent,,,,,,,,,,8,64,40,0.625,0.625,2,24.0,0.375,7.284351158887148e-05,0.00039428254240192473,0.00039428254240192473,0.00032143903081305325,0.28396455743029914,0.7159171578069803,0.00011828476272057742,0.7160018499159051,161.12480699270964,0.19999999999999996,0.0,0.005304306745529175,0.2,0.0,1.0,40.0,0.625,24.0,0.375,0.625,2.0,0.125,,,,,,,
S10,DynaMixEMATent,,,,,,,,,,9,40,40,1.0,1.0,1,,,2.9318507586140186e-06,2.0415262042661197e-05,2.0415262042661197e-05,1.748341128404718e-05,0.28399459888927087,0.7159992765321164,6.124578612798359e-06,0.7160036617528298,161.12562360319134,0.19999999999999996,0.0,0.0008090650662779808,0.2,0.0,1.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,
S10,TEMA,,,,,,,,,,0,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,1,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,2,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,3,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,4,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,5,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,6,64,7,0.109375,0.890625,2,57.0,0.890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,7,64,0,0.0,1.0,1,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,8,64,40,0.625,0.625,2,24.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,TEMA,,,,,,,,,,9,40,40,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,DUA,,,,,,,,,,0,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,
