Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S11,EMATent,0.6410532593727112,0.6410532593727112,0.9341801404953003,1,0.30768402218818663,0.5,0.19231597781181334,0.0,0.0,5,64,43,0.671875,21.0,0.328125,0.671875,2
S11,EMATent,0.48919519782066345,0.48919519782066345,0.9304158687591553,1,0.353241440653801,0.5,0.14675855934619902,0.0,0.0,6,64,51,0.796875,13.0,0.203125,0.796875,2
S11,EMATent,0.5947322845458984,0.5947322845458984,0.9566843509674072,1,0.3215803146362305,0.5,0.17841968536376954,0.0,0.0,7,64,52,0.8125,12.0,0.1875,0.8125,2
S11,EMATent,0.5075556039810181,0.5075556039810181,0.9542036056518555,1,0.3477333188056946,0.5,0.15226668119430542,0.0,0.0,8,64,52,0.8125,12.0,0.1875,0.8125,2
S11,EMATent,0.6601479649543762,0.6601479649543762,0.8918055891990662,1,0.30195561051368713,0.5,0.19804438948631287,0.0,0.0,9,29,22,0.7586206896551724,7.0,0.2413793103448276,0.7586206896551724,2
S13,EMATent,0.8205455541610718,0.8205455541610718,0.9353537559509277,1,0.25383633375167847,0.5,0.24616366624832153,0.0,0.0,0,64,44,0.6875,20.0,0.3125,0.6875,2
S13,EMATent,0.5958566665649414,0.5958566665649414,0.9756237864494324,1,0.3212430000305176,0.5,0.1787569999694824,0.0,0.0,1,64,53,0.828125,11.0,0.171875,0.828125,2
S13,EMATent,0.8439754247665405,0.8439754247665405,0.9557327032089233,1,0.24680737257003785,0.5,0.2531926274299621,0.0,0.0,2,64,51,0.796875,13.0,0.203125,0.796875,2
S13,EMATent,0.9187527894973755,0.9187527894973755,0.9853503108024597,1,0.22437416315078737,0.5,0.27562583684921266,0.0,0.0,3,64,54,0.84375,10.0,0.15625,0.84375,2
S13,EMATent,0.9118239879608154,0.9118239879608154,0.982531726360321,1,0.22645280361175538,0.5,0.2735471963882446,0.0,0.0,4,64,51,0.796875,13.0,0.203125,0.796875,2
S13,EMATent,0.8244037628173828,0.8244037628173828,0.9837566614151001,1,0.25267887115478516,0.5,0.24732112884521484,0.0,0.0,5,64,47,0.734375,17.0,0.265625,0.734375,2
S13,EMATent,0.7175091505050659,0.7175091505050659,0.9923712015151978,1,0.28474725484848024,0.5,0.21525274515151976,0.0,0.0,6,64,51,0.796875,13.0,0.203125,0.796875,2
