Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1
S10,0.6558441558441559,0.792156862745098,0.0,0.396078431372549,0.6607142857142857,0.7829698857736241,0.22304832713754646,0.5030091064555853,0.6590909090909091,0.7821576763485477,0.21641791044776118,0.49928779339815443,0.6298701298701299,0.7715430861723447,0.02564102564102564,0.39859205590668517,0.663961038961039,0.7968596663395485,0.028169014084507043,0.41251434021202776
S11,0.7768595041322314,0.8741845293569431,0.014598540145985401,0.44439153475146426,0.8710743801652893,0.9168443496801706,0.7132352941176471,0.8150398218989088,0.8710743801652893,0.9168443496801706,0.7132352941176471,0.8150398218989088,0.8760330578512396,0.9158249158249159,0.7648902821316614,0.8403575989782887,0.8082644628099174,0.8821138211382114,0.48672566371681414,0.6844197424275127
S13,0.8658940397350994,0.9131832797427653,0.7054545454545454,0.8093189125986553,0.7665562913907285,0.8388571428571429,0.5765765765765766,0.7077168597168597,0.7665562913907285,0.8388571428571429,0.5765765765765766,0.7077168597168597,0.7682119205298014,0.8300970873786407,0.6354166666666666,0.7327568770226537,0.8311258278145696,0.8856502242152466,0.6772151898734177,0.7814327070443321
S14,0.7164179104477612,0.82389289392379,0.2723404255319149,0.5481166597278524,0.7728026533996684,0.8472686733556298,0.5566343042071198,0.7019514887813748,0.7711442786069652,0.8463251670378619,0.551948051948052,0.699136609492957,0.7114427860696517,0.7728459530026109,0.6045454545454545,0.6886957037740327,0.7910447761194029,0.8609271523178808,0.58,0.7204635761589404
S15,0.7508250825082509,0.83745963401507,0.4664310954063604,0.6519453647107152,0.5478547854785478,0.6935123042505593,0.13836477987421383,0.41593854206238656,0.5478547854785478,0.6935123042505593,0.13836477987421383,0.41593854206238656,0.5643564356435643,0.6857142857142857,0.2903225806451613,0.4880184331797235,0.5742574257425742,0.7158590308370044,0.1513157894736842,0.4335874101553443
S16,0.6146179401993356,0.6704545454545454,0.536,0.6032272727272727,0.8970099667774086,0.9290617848970252,0.8121212121212121,0.8705914985091187,0.8970099667774086,0.9290617848970252,0.8121212121212121,0.8705914985091187,0.8504983388704319,0.8936170212765957,0.7486033519553073,0.8211101866159515,0.8438538205980066,0.8883610451306413,0.7403314917127072,0.8143462684216742
S17,0.9401993355481728,0.9617834394904459,0.8625954198473282,0.912189429668887,0.872093023255814,0.9080047789725209,0.7901907356948229,0.8490977573336719,0.872093023255814,0.9080047789725209,0.7901907356948229,0.8490977573336719,0.8156146179401993,0.8617683686176837,0.7231920199501247,0.7924801942839041,0.9036544850498339,0.9322429906542056,0.8333333333333334,0.8827881619937694
S2,0.7854671280276817,0.8798449612403101,0.0,0.43992248062015504,0.7231833910034602,0.8297872340425532,0.25925925925925924,0.5445232466509062,0.7231833910034602,0.8297872340425532,0.25925925925925924,0.5445232466509062,0.5899653979238755,0.6885676741130092,0.4,0.5442838370565046,0.7941176470588235,0.877948717948718,0.3425414364640884,0.6102450772064032
S3,0.7904599659284497,0.8816169393647738,0.08888888888888889,0.48525291412683136,0.8875638841567292,0.9253393665158371,0.7724137931034483,0.8488765798096427,0.8875638841567292,0.9253393665158371,0.7724137931034483,0.8488765798096427,0.8160136286201022,0.8669950738916257,0.7016574585635359,0.7843262662275807,0.9045996592844975,0.9385964912280702,0.7862595419847328,0.8624280166064016
S4,0.8708053691275168,0.9117983963344788,0.7586206896551724,0.8352095429948256,0.9379194630872483,0.9589345172031076,0.872852233676976,0.9158933754400418,0.9395973154362416,0.9600886917960089,0.8758620689655172,0.9179753803807631,0.9077181208053692,0.9377123442808607,0.8220064724919094,0.8798594083863851,0.9781879194630873,0.9860064585575888,0.9505703422053232,0.968288400381456
S5,0.9933554817275747,0.9957537154989384,0.9847328244274809,0.9902432699632097,0.7325581395348837,0.8307045215562566,0.36363636363636365,0.5971704425963101,0.7325581395348837,0.8307045215562566,0.36363636363636365,0.5971704425963101,0.8438538205980066,0.8912037037037037,0.7235294117647059,0.8073665577342048,0.8770764119601329,0.9166666666666666,0.7658227848101266,0.8412447257383966
S6,0.6755852842809364,0.7953586497890295,0.21774193548387097,0.5065502926364502,0.7357859531772575,0.8228699551569507,0.48026315789473684,0.6515665565258437,0.7374581939799331,0.8241881298992161,0.48184818481848185,0.6530181573588489,0.745819397993311,0.8085642317380353,0.6218905472636815,0.7152273895008584,0.7157190635451505,0.8135964912280702,0.4014084507042254,0.6075024709661478
S7,0.9078726968174204,0.9446122860020141,0.7263681592039801,0.8354902226029971,0.998324958123953,0.9989350372736954,0.996078431372549,0.9975067343231222,0.998324958123953,0.9989350372736954,0.996078431372549,0.9975067343231222,1.0,1.0,1.0,1.0,0.9865996649916248,0.9915433403805497,0.967741935483871,0.9796426379322103
S8,0.9019933554817275,0.9398572884811417,0.7354260089686099,0.8376416487248758,0.9767441860465116,0.9848156182212582,0.950354609929078,0.9675851140751681,0.978405315614618,0.9859154929577465,0.9537366548042705,0.9698260738810085,0.7740863787375415,0.83,0.6633663366336634,0.7466831683168317,0.9352159468438538,0.9565217391304348,0.8729641693811075,0.9147429542557712
S9,0.8425460636515912,0.8886255924170616,0.7314285714285714,0.8100270819228166,0.6716917922948074,0.7928118393234672,0.20967741935483872,0.5012446293391529,0.6716917922948074,0.7928118393234672,0.20967741935483872,0.5012446293391529,0.711892797319933,0.7966903073286052,0.5057471264367817,0.6512187168826935,0.7386934673366834,0.8304347826086956,0.4306569343065693,0.6305458584576324
Average,0.8059162208971937,0.8740388675904271,0.4733751402961806,0.6737070039433039,0.8034584769071063,0.8707144672719865,0.5809804331970925,0.7258474502345396,0.8035737749940192,0.8708355678272407,0.5807577824063341,0.7257966751167876,0.7736917885848771,0.8367429368695277,0.615387248979312,0.7260650929244199,0.8230914411719465,0.8848885745587689,0.6010037385023004,0.7429461565305346
Std,0.10664276843702143,0.07885968944731869,0.3330345084814092,0.1901162616956085,0.12452912117515029,0.08142368631970855,0.27912420907145546,0.1788084176931869,0.12489777209960176,0.08163664944063077,0.28019682201242996,0.1794569829322933,0.11569652052545894,0.08423421475483239,0.22748165958590041,0.15049687682037163,0.11191805528628125,0.07205493492180498,0.2769906440810234,0.1720075993861083
