Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S10,MIDynamicEMATent,,,,,,,,,,7,8,0,0.0,8,1.0,0,0.0,1.0,1,0.026435742154717445,0.4397442936897278,0.4133085608482361,0.897934644220985,0.09413463313259972,0.007930722646415233,0.0948871568563342,51.04417510330677,0.005287148430943488,0.0,0.4457054138183594,0.05,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.6666666666666667
S11,EMATent,0.14645294845104218,0.14645294845104218,0.9686616659164429,0.0,0.45606411546468734,0.5,0.04393588453531265,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S11,EMATent,0.20222258567810059,0.20222258567810059,0.9529796838760376,1.0,0.43933322429656985,0.5,0.060666775703430174,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S11,EMATent,0.9186703562736511,0.9186703562736511,0.609183669090271,1.0,0.22439889311790467,0.5,0.2756011068820953,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S11,EMATent,0.8507895469665527,0.8507895469665527,0.6367895603179932,1.0,0.24476313591003418,0.5,0.2552368640899658,0.0,0.0,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,
S11,EMATent,0.6819781064987183,0.6819781064987183,0.7419804334640503,1.0,0.2954065680503845,0.5,0.20459343194961546,0.0,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S11,EMATent,0.47257664799690247,0.47257664799690247,0.8389599919319153,1.0,0.35822700560092924,0.5,0.14177299439907073,0.0,0.0,5,64,0,0.0,52,0.8125,12,0.1875,0.8125,2,,,,,,,,,,,,,,,,,,,,,,,
S11,EMATent,0.36233755946159363,0.36233755946159363,0.8967939615249634,1.0,0.3912987321615219,0.5,0.10870126783847808,0.0,0.0,6,62,0,0.0,0,0.0,62,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S11,MIDynamicEMATent,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.016283195465803146,0.14645294845104218,0.13016976416110992,0.993091644677863,0.002023396682395996,0.004884958639740943,0.002033329412476914,1.0421245098114014,0.0032566390931606285,0.0,0.14188890159130096,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S11,MIDynamicEMATent,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.01744742877781391,0.16596712172031403,0.14851969480514526,0.990580342332496,0.0041854290341597385,0.005234228633344174,0.004207451798838635,2.1587599515914917,0.0034894857555627817,0.0,0.15484647452831268,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S11,MIDynamicEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.03969290480017662,0.43194079399108887,0.39224788546562195,0.9790649659227019,0.009027162637245088,0.011907871440052986,0.009135952383712787,4.699105858802795,0.007938580960035323,0.0,0.43918323516845703,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S11,MIDynamicEMATent,,,,,,,,,,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2,0.04567164182662964,0.7801593542098999,0.7344877123832703,0.971724335049065,0.014574172402946077,0.013701492547988891,0.014776634348354412,7.622090935707092,0.009134328365325926,0.0,0.838434100151062,0.05,1.0,1.0,60.0,0.9375,0.0,0.0,4.0,0.0625,0.9375,2.0,0.3541666666666667
S11,MIDynamicEMATent,,,,,,,,,,4,64,0,0.0,64,1.0,0,0.0,1.0,1,0.03797580674290657,0.8644134402275085,0.8264376521110535,0.969386377025583,0.01922088095154508,0.01139274202287197,0.01944238300543588,10.052542567253113,0.007595161348581313,0.0,0.9138935208320618,0.05,1.0,1.0,56.0,0.875,0.0,0.0,8.0,0.125,0.875,2.0,0.6666666666666667
S11,MIDynamicEMATent,,,,,,,,,,5,64,0,0.0,52,0.8125,12,0.1875,0.8125,2,0.06522506475448608,0.7841250896453857,0.7189000248908997,0.9535642210444227,0.02686825952923141,0.019567519426345825,0.027404497567757757,14.226946711540222,0.013045012950897213,1.0,0.8034230470657349,0.05,1.0,1.0,8.0,0.125,0.0,0.0,56.0,0.875,0.875,2.0,0.4791666666666667
S11,MIDynamicEMATent,,,,,,,,,,6,62,0,0.0,0,0.0,62,1.0,1.0,1,0.028472211211919785,0.5712972283363342,0.5428250432014465,0.9609689654348285,0.030489371201595575,0.008541663363575935,0.030752044816156787,15.992223806679249,0.005694442242383956,0.0,0.6119650602340698,0.05,1.0,1.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,1.0,0.6666666666666667
S13,EMATent,0.11999023705720901,0.11999023705720901,0.9754358530044556,0.0,0.4640029288828373,0.5,0.0359970711171627,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.0451284684240818,0.0451284684240818,0.9924033284187317,0.0,0.48646145947277547,0.5,0.01353854052722454,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.23266924917697906,0.23266924917697906,0.9746440649032593,1.0,0.4301992252469063,0.5,0.06980077475309372,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.9562434554100037,0.9562434554100037,0.8147724866867065,1.0,0.2131269633769989,0.5,0.28687303662300107,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.4027569890022278,0.4027569890022278,0.9645830392837524,1.0,0.3791729032993317,0.5,0.12082709670066832,0.0,0.0,4,64,0,0.0,8,0.125,56,0.875,0.875,2,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.5711360573768616,0.5711360573768616,0.9263198375701904,1.0,0.3286591827869415,0.5,0.17134081721305847,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.5922224521636963,0.5922224521636963,0.806748628616333,1.0,0.3223332643508911,0.5,0.17766673564910887,0.0,0.0,6,61,0,0.0,61,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S13,MIDynamicEMATent,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.031070267781615257,0.11999023705720901,0.08891996741294861,0.9868387991757679,0.003840120489747525,0.009321080334484576,0.00387625133988323,1.9884971380233765,0.00621405355632305,0.0,0.09531299024820328,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
