Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_F1_2,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_F1_2,EMATent_MacroF1,MIDynamicEMATent_Acc,MIDynamicEMATent_F1_0,MIDynamicEMATent_F1_1,MIDynamicEMATent_F1_2,MIDynamicEMATent_MacroF1
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.4934210526315789,0.5170068027210885,0.5185185185185185,0.3673469387755102,0.4676240866717057,0.4934210526315789,0.5170068027210885,0.5185185185185185,0.3673469387755102,0.4676240866717057,0.36403508771929827,0.35359116022099446,0.35435435435435436,0.39631336405529954,0.3680862928768828,0.6052631578947368,0.5476923076923077,0.5670886075949367,0.78125,0.6320103050957481,0.5482456140350878,0.8402948402948403,0.037383177570093455,0.5154639175257731,0.46438064513023564
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.36995515695067266,0.47641509433962265,0.3732394366197183,0.11956521739130435,0.3230732494502151,0.36995515695067266,0.47641509433962265,0.3732394366197183,0.11956521739130435,0.3230732494502151,0.38789237668161436,0.5873417721518988,0.14345991561181434,0.3076923076923077,0.34616466515200695,0.5336322869955157,0.8170426065162907,0.013333333333333334,0.4314868804664723,0.4206209401053654,0.6860986547085202,0.8405797101449275,0.0,0.7254901960784313,0.5220233020744529
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.43595505617977526,0.5283018867924528,0.46366782006920415,0.016129032258064516,0.3360329130399072,0.43595505617977526,0.5283018867924528,0.46366782006920415,0.016129032258064516,0.3360329130399072,0.47191011235955055,0.6480186480186481,0.41543026706231456,0.016129032258064516,0.3598593157796757,0.6067415730337079,0.9393258426966292,0.4332129963898917,0.011904761904761904,0.4614812003304276,0.5595505617977528,0.9626373626373627,0.24489795918367346,0.0,0.4025117739403454
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.40898876404494383,0.5324675324675324,0.3563636363636364,0.13071895424836602,0.33985004102651156,0.40898876404494383,0.5324675324675324,0.3563636363636364,0.13071895424836602,0.33985004102651156,0.4696629213483146,0.7015706806282722,0.3729903536977492,0.17258883248730963,0.4157166222711104,0.5573033707865168,0.7803617571059431,0.5444126074498568,0.025974025974025976,0.45024946350994194,0.6292134831460674,0.9417040358744395,0.4536082474226804,0.05228758169934641,0.4825332883321554
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.4697986577181208,0.5012406947890818,0.4280936454849498,0.46875,0.46602811342467726,0.4697986577181208,0.5012406947890818,0.4280936454849498,0.46875,0.46602811342467726,0.5570469798657718,0.5490196078431373,0.5808219178082191,0.5232558139534884,0.5510324465349483,0.7494407158836689,0.827930174563591,0.7247191011235955,0.583941605839416,0.7121969605088676,0.8993288590604027,0.9871244635193133,0.8662420382165605,0.631578947368421,0.8283151497014316
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.5112612612612613,0.6009615384615384,0.5706214689265536,0.01694915254237288,0.3961773866434883,0.5112612612612613,0.6009615384615384,0.5706214689265536,0.01694915254237288,0.3961773866434883,0.5608108108108109,0.6666666666666666,0.6263736263736264,0.0,0.431013431013431,0.9774774774774775,0.980561555075594,0.9816849816849816,0.9605263157894737,0.9742576175166832,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.4605263157894737,0.563894523326572,0.39057239057239057,0.21311475409836064,0.3891938893324411,0.4605263157894737,0.563894523326572,0.39057239057239057,0.21311475409836064,0.3891938893324411,0.5614035087719298,0.7210884353741497,0.4918032786885246,0.26506024096385544,0.49265065167550987,0.6973684210526315,0.8267326732673267,0.6708074534161491,0.46236559139784944,0.6533019060271085,0.7785087719298246,0.9871794871794872,0.5752212389380531,0.5412844036697247,0.701228376595755
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5094339622641509,0.6009615384615384,0.44537815126050423,0.3917525773195876,0.4793640890138768,0.5070754716981132,0.5995203836930456,0.4388185654008439,0.3917525773195876,0.47669717547115903,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737,0.660377358490566,0.9298245614035088,0.032,0.4943820224719101,0.48540219462513967,0.5283018867924528,0.7032967032967034,0.0,0.0,0.23443223443223446
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.5150812064965197,0.6347826086956522,0.4163568773234201,0.3007518796992481,0.45063045523944006,0.5150812064965197,0.6347826086956522,0.4163568773234201,0.3007518796992481,0.45063045523944006,0.5939675174013921,0.7505070993914807,0.5,0.13675213675213677,0.4624197453812058,0.7842227378190255,0.9402061855670103,0.7284768211920529,0.0,0.5562276689196878,0.6635730858468677,0.8,0.5345622119815668,0.0,0.44485407066052235
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.5092165898617511,0.6179540709812108,0.5089605734767025,0.03636363636363636,0.3877594269405166,0.5092165898617511,0.6179540709812108,0.5089605734767025,0.03636363636363636,0.3877594269405166,0.5944700460829493,0.6497695852534562,0.7076923076923077,0.03669724770642202,0.4647197135507286,0.576036866359447,0.6855524079320113,0.6180048661800487,0.038461538461538464,0.4473396041911995,0.6290322580645161,0.7724867724867724,0.6426735218508998,0.039603960396039604,0.48492141824457063
