Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_F1_2,EMATent_MacroF1,MIEMATentGateOnly_Acc,MIEMATentGateOnly_F1_0,MIEMATentGateOnly_F1_1,MIEMATentGateOnly_F1_2,MIEMATentGateOnly_MacroF1,MIEMATentGateAware_Acc,MIEMATentGateAware_F1_0,MIEMATentGateAware_F1_1,MIEMATentGateAware_F1_2,MIEMATentGateAware_MacroF1,MIDynamicEMATent_Acc,MIDynamicEMATent_F1_0,MIDynamicEMATent_F1_1,MIDynamicEMATent_F1_2,MIDynamicEMATent_MacroF1,MIDynamicRelaxedAnchor_Acc,MIDynamicRelaxedAnchor_F1_0,MIDynamicRelaxedAnchor_F1_1,MIDynamicRelaxedAnchor_F1_2,MIDynamicRelaxedAnchor_MacroF1
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6052631578947368,0.5476923076923077,0.5670886075949367,0.78125,0.6320103050957481,0.5899122807017544,0.6436781609195402,0.47674418604651164,0.6818181818181818,0.6007468429280779,0.5460526315789473,0.8345679012345679,0.04608294930875576,0.5172413793103449,0.4659640766178896,0.5482456140350878,0.8402948402948403,0.037383177570093455,0.5154639175257731,0.46438064513023564,0.5570175438596491,0.6888888888888889,0.3536977491961415,0.6224066390041494,0.5549977590297266
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.5336322869955157,0.8170426065162907,0.013333333333333334,0.4314868804664723,0.4206209401053654,0.5291479820627802,0.8110831234256927,0.013888888888888888,0.42165242165242167,0.41554147798900104,0.6816143497757847,0.8440366972477065,0.0,0.7014218009478673,0.5151528327318579,0.6860986547085202,0.8405797101449275,0.0,0.7254901960784313,0.5220233020744529,0.6524663677130045,0.9175475687103594,0.0,0.5285714285714286,0.48203966576059604
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6067415730337079,0.9393258426966292,0.4332129963898917,0.011904761904761904,0.4614812003304276,0.550561797752809,0.9174311926605505,0.32432432432432434,0.03076923076923077,0.4241749159180352,0.5640449438202247,0.960352422907489,0.26506024096385544,0.0,0.40847088795711484,0.5595505617977528,0.9626373626373627,0.24489795918367346,0.0,0.4025117739403454,0.5707865168539326,0.9206349206349206,0.3805970149253731,0.0,0.4337439785200979
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.5573033707865168,0.7803617571059431,0.5444126074498568,0.025974025974025976,0.45024946350994194,0.47191011235955055,0.6778711484593838,0.4731182795698925,0.012422360248447204,0.38780392942590786,0.6224719101123596,0.9393258426966292,0.45051194539249145,0.02631578947368421,0.47205119252093497,0.6292134831460674,0.9417040358744395,0.4536082474226804,0.05228758169934641,0.4825332883321554,0.5707865168539326,0.8626506024096385,0.47058823529411764,0.03550295857988166,0.4562472654278793
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7494407158836689,0.827930174563591,0.7247191011235955,0.583941605839416,0.7121969605088676,0.7628635346756152,0.8366336633663366,0.7308781869688386,0.6277372262773723,0.7317496922041825,0.8970917225950783,0.9848812095032398,0.8598726114649682,0.6495726495726496,0.8314421568469524,0.8993288590604027,0.9871244635193133,0.8662420382165605,0.631578947368421,0.8283151497014316,0.7897091722595079,0.8836104513064132,0.750733137829912,0.5909090909090909,0.7417508933484721
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.9774774774774775,0.980561555075594,0.9816849816849816,0.9605263157894737,0.9742576175166832,0.9572072072072072,0.980561555075594,0.9436619718309859,0.9078014184397163,0.944008315115432,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.8581081081081081,0.9957446808510638,0.8145896656534954,0.29213483146067415,0.7008230593217445
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.6973684210526315,0.8267326732673267,0.6708074534161491,0.46236559139784944,0.6533019060271085,0.6513157894736842,0.803030303030303,0.5510204081632653,0.5135135135135135,0.6225214082356939,0.7807017543859649,0.9871794871794872,0.5814977973568282,0.543778801843318,0.7041520287932111,0.7785087719298246,0.9871794871794872,0.5752212389380531,0.5412844036697247,0.701228376595755,0.7894736842105263,0.9828326180257511,0.6153846153846154,0.5566037735849056,0.718273668998424
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.660377358490566,0.9298245614035088,0.032,0.4943820224719101,0.48540219462513967,0.6202830188679245,0.8113207547169812,0.0,0.49230769230769234,0.43454281567489117,0.5283018867924528,0.7044025157232704,0.0,0.0,0.23480083857442346,0.5283018867924528,0.7032967032967034,0.0,0.0,0.23443223443223446,0.5613207547169812,0.7465753424657534,0.0,0.28368794326241137,0.34342109524272163
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7842227378190255,0.9402061855670103,0.7284768211920529,0.0,0.5562276689196878,0.802784222737819,0.9702127659574468,0.7444794952681388,0.0,0.5715640870751951,0.6728538283062645,0.8128342245989305,0.5486725663716814,0.0,0.453835596990204,0.6635730858468677,0.8,0.5345622119815668,0.0,0.44485407066052235,0.7563805104408353,0.9101796407185628,0.6877192982456141,0.0,0.5326329796547257
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.576036866359447,0.6855524079320113,0.6180048661800487,0.038461538461538464,0.4473396041911995,0.5806451612903226,0.6929577464788732,0.630272952853598,0.03636363636363636,0.4531981118987025,0.6290322580645161,0.7724867724867724,0.6426735218508998,0.039603960396039604,0.48492141824457063,0.6290322580645161,0.7724867724867724,0.6426735218508998,0.039603960396039604,0.48492141824457063,0.6082949308755761,0.73224043715847,0.6414141414141414,0.05660377358490566,0.47675278405250565
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.8668171557562077,0.9356984478935698,0.8864468864468864,0.6419753086419753,0.8213735476608104,0.8465011286681715,0.8990825688073395,0.9042145593869731,0.6455026455026455,0.8162665912323194,0.8306997742663657,0.9409448818897638,0.7757009345794392,0.5609756097560976,0.7592071420751002,0.8058690744920993,0.93359375,0.7254901960784313,0.5176470588235295,0.725577001633987,0.8848758465011287,0.9831932773109243,0.8117154811715481,0.7134502923976608,0.836119683626711
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.7052154195011338,0.8986175115207373,0.627906976744186,0.3684210526315789,0.6316485136321675,0.673469387755102,0.9036697247706422,0.5431034482758621,0.34579439252336447,0.5975225218566229,0.6439909297052154,0.9655172413793104,0.21978021978021978,0.3389830508474576,0.5080935040023292,0.6485260770975056,0.9634408602150538,0.14634146341463414,0.3952569169960474,0.5016797468752451,0.691609977324263,0.9517543859649122,0.46788990825688076,0.3557692307692308,0.5918045083303413
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.925,0.948,0.9718875502008032,0.7480916030534351,0.8893263844180795,0.9795454545454545,0.9875,0.9881422924901185,0.9387755102040817,0.9714726008980668,0.7840909090909091,0.8681318681318682,0.9012875536480687,0.0594059405940594,0.6096084541246655,0.7659090909090909,0.8681318681318682,0.8622222222222222,0.05504587155963303,0.5951333206379078,0.8477272727272728,0.8926553672316384,0.959349593495935,0.34951456310679613,0.7338398412781232
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.5769230769230769,0.6015831134564644,0.7810650887573964,0.10778443113772455,0.4968108777838618,0.5226244343891403,0.5364431486880467,0.7394957983193278,0.07608695652173914,0.45067530117637117,0.5927601809954751,0.625,0.7613636363636364,0.15853658536585366,0.5149667405764966,0.5972850678733032,0.6229508196721312,0.7549295774647887,0.19631901840490798,0.5247331385139427,0.5678733031674208,0.6,0.764367816091954,0.11363636363636363,0.49266805990943924
