Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S10,EMATent,0.109647236764431,0.109647236764431,0.9781075119972229,0.0,0.4671058289706707,0.5,0.032894171029329296,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.853682279586792,0.853682279586792,0.6456230282783508,1.0,0.24389531612396242,0.5,0.2561046838760376,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8682008981704712,0.8682008981704712,0.6177782416343689,1.0,0.23953973054885866,0.5,0.26046026945114137,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8450646996498108,0.8450646996498108,0.775323748588562,1.0,0.24648059010505677,0.5,0.2535194098949432,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.160710409283638,0.160710409283638,0.9632365703582764,0.0,0.4517868772149086,0.5,0.0482131227850914,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6526212096214294,0.6526212096214294,0.7504882216453552,1.0,0.3042136371135712,0.5,0.19578636288642884,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6692977547645569,0.6692977547645569,0.6491234302520752,1.0,0.2992106735706329,0.5,0.20078932642936706,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6557409763336182,0.6557409763336182,0.6518597602844238,1.0,0.30327770709991453,0.5,0.19672229290008544,0.0,0.0,7,8,0,0.0,8,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,MIEMATentGateOnly,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.021838359534740448,0.021838359534740448,0.109647236764431,0.08780887722969055,0.49344849213957787,0.5,0.006551507860422134,,0.0,0.19999999999999996,0.0,0.10422702878713608,0.05,0.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S10,MIEMATentGateOnly,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.0708380714058876,0.0708380714058876,0.6197370886802673,0.5488989949226379,0.4787485785782337,0.5,0.02125142142176628,,0.0,0.19999999999999996,1.0,0.9117136001586914,0.05,0.0,0.0,43.0,0.671875,19.0,0.296875,2.0,0.03125,0.671875,3.0,0.6666666666666667
S10,MIEMATentGateOnly,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.12464246153831482,0.12464246153831482,0.8520018458366394,0.727359414100647,0.46260726153850557,0.5,0.03739273846149444,,0.0,0.19999999999999996,1.0,0.9042980670928955,0.05,0.0,0.0,5.0,0.078125,56.0,0.875,3.0,0.046875,0.875,3.0,0.6666666666666667
S10,MIEMATentGateOnly,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.4422810971736908,0.4422810971736908,0.9917665719985962,0.549485445022583,0.36731567084789274,0.5,0.13268432915210723,,0.0,0.19999999999999996,1.0,0.5667471885681152,0.05,0.0,0.0,0.0,0.0,42.0,0.65625,22.0,0.34375,0.65625,2.0,0.3541666666666667
S10,MIEMATentGateOnly,,,,,,,,,,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,0.029025809839367867,0.029025809839367867,0.18664368987083435,0.15761788189411163,0.49129225704818963,0.5,0.008707742951810359,,0.0,0.19999999999999996,0.0,0.12909609079360962,0.05,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,0.5260416666666667
S10,MIEMATentGateOnly,,,,,,,,,,5,64,0,0.0,64,1.0,0,0.0,1.0,1,0.05845310539007187,0.05845310539007187,0.48088347911834717,0.4224303960800171,0.48246406838297845,0.5,0.01753593161702156,,0.0,0.19999999999999996,1.0,0.5945033431053162,0.05,0.0,0.0,0.0,0.0,37.0,0.578125,27.0,0.421875,0.578125,2.0,0.6666666666666667
S10,MIEMATentGateOnly,,,,,,,,,,6,64,0,0.0,64,1.0,0,0.0,1.0,1,0.047356054186820984,0.047356054186820984,0.4312104880809784,0.3838544487953186,0.4857931837439537,0.5,0.014206816256046294,,0.0,0.19999999999999996,0.0,0.6756720542907715,0.05,0.0,0.0,0.0,0.0,41.0,0.640625,23.0,0.359375,0.640625,2.0,0.6666666666666667
S10,MIEMATentGateOnly,,,,,,,,,,7,8,0,0.0,8,1.0,0,0.0,1.0,1,0.026484055444598198,0.026484055444598198,0.4399966895580292,0.41351261734962463,0.49205478336662056,0.5,0.00794521663337946,,0.0,0.19999999999999996,0.0,0.7307246327400208,0.05,0.0,0.0,0.0,0.0,4.0,0.5,4.0,0.5,0.5,2.0,0.6666666666666667
S10,MIEMATentGateAware,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.021838359534740448,0.021838359534740448,0.109647236764431,0.08780887722969055,0.49344849213957787,0.5,0.006551507860422134,,0.0,0.004367671906948089,0.0,0.10422702878713608,0.05,1.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S10,MIEMATentGateAware,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.0708380714058876,0.0708380714058876,0.6197370886802673,0.5488989949226379,0.4787485785782337,0.5,0.02125142142176628,,0.0,0.014167614281177517,1.0,0.6784893274307251,0.05,1.0,0.0,59.0,0.921875,5.0,0.078125,0.0,0.0,0.921875,2.0,0.6666666666666667
