Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.07053769379854202,0.07053769379854202,0.9871724843978882,0,0.47883869186043737,0.5,0.021161308139562605,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.8428304195404053,0.8428304195404053,0.6584426760673523,1,0.24715087413787842,0.5,0.25284912586212155,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.8477675318717957,0.8477675318717957,0.6229248046875,1,0.24566974043846132,0.5,0.2543302595615387,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.816869854927063,0.816869854927063,0.7993335127830505,1,0.2549390435218811,0.5,0.24506095647811887,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.07112619280815125,0.07112619280815125,0.9860373735427856,0,0.47866214215755465,0.5,0.021337857842445372,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.6383016109466553,0.6383016109466553,0.745200514793396,1,0.3085095167160034,0.5,0.19149048328399657,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.6514419317245483,0.6514419317245483,0.607550859451294,1,0.3045674204826355,0.5,0.1954325795173645,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnlyLR1e3,0.6622956991195679,0.6622956991195679,0.5791540145874023,1,0.3013112902641296,0.5,0.19868870973587036,0.0,0.0,7,8,0,0.0,8,1.0,0,0.0,1.0,1
S11,EmaTentGridS20E50B30M080,0.13463884592056274,0.13463884592056274,0.9718119502067566,0,0.4596083462238312,0.5,0.04039165377616882,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S11,EmaTentGridS20E50B30M080,0.1859898418188095,0.1859898418188095,0.9576624631881714,0,0.4442030474543571,0.5,0.055796952545642854,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S11,EmaTentGridS20E50B30M080,0.9100537300109863,0.9100537300109863,0.6228170990943909,1,0.2269838809967041,0.5,0.27301611900329587,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
