Subject,BestMethod,BestBaseline,Source_MacroF1,Norm_MacroF1,Tent_MacroF1,OFTTA_MacroF1,EMATent_MacroF1,EmaTentCaseS00E50B50M070_MacroF1,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_majority_ratio,single_class_batches,default_ema_mean_raw_gate,default_ema_mean_effective_batch_weight
S18,Source,Source,0.7254859744094488,0.5802795031055901,0.5802795031055901,0.5721476510067114,0.6119565217391305,0.5823885109599396,-0.11352945267031833,-0.14309746344950924,0.6662326388888888,0,0.6830228120088577,0.2049068436026573
S19,Source,Source,0.6791870610768249,0.5732052578361981,0.5732052578361981,0.6100673881968552,0.5495585495585495,0.5473921240050272,-0.12962851151827537,-0.13179493707179768,0.7456597222222222,0,0.7591797709465027,0.22775393128395074
S20,EmaTentCaseS00E50B50M070,Norm,0.4657497303128372,0.5629620253164558,0.5629620253164558,0.4919486454139919,0.5291740938799763,0.567572156196944,-0.03378793143647951,0.004610130880488228,0.721875,1,0.8574493288993835,0.257234798669815
S21,Norm,Norm,0.5519823212130904,0.6013986013986015,0.6013986013986015,0.5372515856236786,0.5795507815115921,0.5706337951347223,-0.021847819887009345,-0.03076480626387912,0.81875,1,0.9814608216285705,0.29443824648857114
S22,Norm,Norm,0.2897727272727273,0.6457326892109501,0.6457326892109501,0.6080709714306793,0.4982667396460499,0.5568265435815105,-0.14746594956490017,-0.08890614562943955,0.5867456896551724,0,0.9522951245307922,0.2856885373592376
S23,Norm,Norm,0.4999150382327952,0.6392788796880868,0.6392788796880868,0.4710053283021997,0.4047796545187331,0.490566037735849,-0.23449922516935373,-0.14871284195223783,0.6509650735294118,0,0.9102069437503815,0.27306208312511443
S24,Source,Source,0.5075634583172272,0.3602556044416509,0.3602556044416509,0.3314479638009049,0.2787405418598975,0.2400655252589304,-0.22882291645732966,-0.2674979330582967,0.83203125,1,0.8885585069656372,0.26656755208969113
S25,EMATent,Norm,0.3395068493150685,0.5267966611242673,0.5267966611242673,0.4970829732065687,0.554835053093067,0.4976132849267177,0.02803839196879976,-0.02918337619754957,0.5882959905660378,0,0.8670920133590698,0.2601276040077209
S26,Source,Source,0.7492433557173934,0.6888839285714285,0.6888839285714285,0.6697847606938516,0.5741603496929121,0.6983557417759739,-0.17508300602448135,-0.050887613941419496,0.6776595744680851,0,0.8735454440116882,0.26206363320350645
S27,OFTTA,OFTTA,0.3457107408720312,0.5988126855178878,0.5988126855178878,0.6540948275862069,0.4877659574468085,0.5327327091037847,-0.16632887013939834,-0.12136211848242218,0.7916666666666666,1,0.8567024966080984,0.2570107489824295
S28,OFTTA,OFTTA,0.2648083623693379,0.5906319290465631,0.5906319290465631,0.6135531135531136,0.4273235260577033,0.516793893129771,-0.1862295874954103,-0.09675922042334262,0.6486430921052632,0,0.6783968843519688,0.2035190653055906
S29,EmaTentCaseS00E50B50M070,Norm,0.6591846083371506,0.7575686389663779,0.7575686389663779,0.7463496036712558,0.8088918380889184,0.827071538857437,0.051323199122540464,0.06950289989105907,0.671875,0,0.925749142964681,0.2777247428894043
S30,EMATent,OFTTA,0.3061835872487517,0.5310051736881005,0.5310051736881005,0.5676284628135266,0.5995103578154426,0.5947520263772497,0.03188189500191596,0.02712356356372303,0.8246150362318841,1,0.7201558823386828,0.21604676470160478
