target,feature,pearson_r,pearson_p,spearman_r,spearman_p
EMATent_gain_vs_best_baseline,full_single_class_batches,0.3911639265085437,0.03256122091163714,0.35509503476120446,0.05415748874741281
EMATent_gain_vs_best_baseline,best_ema_mean_raw_gate,0.2054484779245052,0.2760909374888305,0.25917686318131256,0.1666599346659977
EMATent_gain_vs_best_baseline,best_ema_mean_effective_batch_weight,0.2054484779245053,0.27609093748882996,0.25917686318131256,0.1666599346659977
EMATent_gain_vs_best_baseline,std_majority_ratio,0.22835690413559298,0.2248501380541446,0.24315906562847608,0.1953958342512728
EMATent_gain_vs_best_baseline,default_ema_mean_raw_gate,0.17389340457921187,0.358089834465143,0.22091212458286985,0.24074183075197952
EMATent_gain_vs_best_baseline,default_ema_mean_effective_batch_weight,0.17389340457921176,0.35808983446514364,0.22091212458286985,0.24074183075197952
EMATent_gain_vs_best_baseline,Source_MacroF1,0.10416606799017956,0.583834881024819,0.18309232480533927,0.33282198137460356
EMATent_gain_vs_best_baseline,max_majority_ratio,0.1356222387377416,0.47486771358432794,0.1725070034522998,0.361994405348628
EMATent_gain_vs_best_baseline,single_class_batches,0.14954092090519405,0.430278065395899,0.15154766583689483,0.4240449288831136
EMATent_gain_vs_best_baseline,num_windows,0.1537077956053515,0.4173915202298778,0.14306374546197712,0.4507359568765086
EMATent_gain_vs_best_baseline,num_batches,0.0866726411382416,0.6488125358413168,0.1306474692008962,0.49136601883905023
EMATent_gain_vs_best_baseline,mean_abs_batch_label1_change,0.017986567385615437,0.9248408252991965,0.027808676307007785,0.8840238060189678
EMATent_gain_vs_best_baseline,mean_majority_ratio,-0.015298867355197254,0.9360469562147311,-0.004449883218101932,0.9813811171074913
EMATent_gain_vs_best_baseline,batch_label1_drift,0.02367708803096359,0.9011637220806092,-0.00845477811439367,0.9646320431684484
EMATent_gain_vs_best_baseline,default_ema_mean_confidence,-0.07480781328737873,0.694408036753329,-0.10166852057842046,0.5929347347453279
