BestEMA_beats_all_baselines,Source_MacroF1,mean_majority_ratio,single_class_batches,mean_abs_batch_label1_change,default_ema_mean_raw_gate,default_ema_mean_effective_batch_weight,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_best_baseline
0,0.419123504809267,0.6932246960822196,0.5,0.28187982827731645,0.7201934377324257,0.21605803131972767,-0.12699145688225258,-0.09460006968269284
1,0.37489469528654,0.7245590672348485,0.875,0.3134380918560606,0.6951757545466535,0.20855272636399602,0.022349551203196122,0.07326016886014047
