Subject,BestMethod,BestBaseline,Source_MacroF1,Norm_MacroF1,Tent_MacroF1,OFTTA_MacroF1,EMATent_MacroF1,EmaTentCaseS00E50B50M070_MacroF1,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_majority_ratio,single_class_batches,default_ema_mean_raw_gate,default_ema_mean_effective_batch_weight
S11,EmaTentCaseS00E50B50M070,OFTTA,0.5630954630854577,0.553015477673012,0.553015477673012,0.5666137370312444,0.5938461538461539,0.5999822214320636,0.02723241681490951,0.03336848440081919,0.5889204545454545,0,0.7525412261486053,0.22576236784458162
S12,OFTTA,OFTTA,0.5186383317573284,0.5679794213893818,0.5679794213893818,0.5963541666666667,0.5392438070404172,0.5926823318969022,-0.05711035962624955,-0.003671834769764515,0.6060267857142857,0,0.8224878758192062,0.24674636274576184
S13,Norm,Norm,0.6290592567793774,0.7385696308724832,0.7385696308724832,0.7184834960894348,0.6702380952380953,0.6861105115475934,-0.06833153563438787,-0.05245911932488978,0.7625,1,0.894591999053955,0.26837759971618647
S14,OFTTA,OFTTA,0.4658622769973283,0.473075583420411,0.473075583420411,0.6048455010688606,0.5391483516483516,0.5656849252224975,-0.06569714942050897,-0.03916057584636312,0.7184495192307692,0,0.856821283698082,0.25704638510942457
S15,EMATent,Tent,0.5389997941963367,0.5951313763375474,0.5984313725490196,0.5273745861981156,0.6268093572065583,0.583665318554528,0.028377984657538713,-0.014766053994491601,0.55625,0,0.8549359440803528,0.25648078322410583
S16,OFTTA,OFTTA,0.3461538461538461,0.6058183160095947,0.6058183160095947,0.6363337172947178,0.5116792929292929,0.4320441523424334,-0.12465442436542484,-0.2042895649522844,0.7561961206896552,0,0.884515106678009,0.26535453200340264
S17,OFTTA,OFTTA,0.3222748815165877,0.5558951911673005,0.5558951911673005,0.6911792084000447,0.4589891041162227,0.5978578502696028,-0.23219010428382197,-0.09332135813044184,0.73125,1,0.7016626000404358,0.21049878001213068
S18,OFTTA,OFTTA,0.5886070686070686,0.6861538461538461,0.6861538461538461,0.7490157480314961,0.513662677851103,0.5203205766586049,-0.2353530701803931,-0.2286951713728912,0.6315104166666666,0,0.6751574277877808,0.20254722833633423
S19,Source,Source,0.5695634153080962,0.4779220779220778,0.4779220779220778,0.4975124378109453,0.5607284768211921,0.5452488687782806,-0.008834938486904087,-0.024314546529815573,0.6987847222222222,0,0.6530817523598671,0.1959245257079601
S20,EmaTentCaseS00E50B50M070,Tent,0.3010240963855422,0.4583901432234661,0.4617617617617617,0.3849670263788969,0.5660382101558572,0.6011275546159267,0.1042764483940955,0.139365792854165,0.734375,1,0.8323004186153412,0.24969012558460232
S21,EmaTentCaseS00E50B50M070,OFTTA,0.3214052262742654,0.5263157894736843,0.5263157894736843,0.5276910555278854,0.3425347677774862,0.5729580296556924,-0.18515628775039922,0.045266974127807,0.690625,0,0.9305387139320374,0.27916161417961116
S22,Norm,Norm,0.3131868131868132,0.6185064935064934,0.6185064935064934,0.5199110572063876,0.5084418011342401,0.583973374295955,-0.11006469237225336,-0.03453311921053848,0.6212284482758621,0,0.8438388407230377,0.25315165221691127
S23,OFTTA,OFTTA,0.2650187734668335,0.7226411178749308,0.7226411178749308,0.7239084564194125,0.4360902255639097,0.6638768756675363,-0.2878182308555028,-0.0600315807518762,0.6861213235294118,0,0.9156845211982727,0.2747053563594818
S24,Source,Source,0.5654411764705882,0.5373080397470642,0.5373080397470642,0.50219731927049,0.4461867794599334,0.5350783093756705,-0.11925439701065482,-0.030362867094917756,0.73046875,1,0.9200925230979919,0.27602775692939757
S25,Norm,Norm,0.3059490084985836,0.5945945945945945,0.5945945945945945,0.4475609085409448,0.314064558629776,0.464336917562724,-0.2805300359648185,-0.13025767703187052,0.6126916273584906,0,0.5537417382001877,0.16612252146005624
S26,Norm,Norm,0.3726708074534161,0.5785719849120425,0.5785719849120425,0.5609106207928197,0.5559991933857633,0.541874609219576,-0.022572791526279223,-0.03669737569246656,0.7773271276595745,1,0.294508595764637,0.08835257872939106
S27,Norm,Norm,0.2888160226869904,0.5674699265739729,0.5674699265739729,0.5448233372776436,0.4985158568973598,0.5513975155279504,-0.0689540696766131,-0.016072411046022528,0.6927083333333334,1,0.7206995983918508,0.21620987951755521
S28,Tent,Tent,0.282312925170068,0.6718202288924484,0.6761395348837209,0.6646734006734007,0.3756164924048135,0.4880481667864845,-0.30052304247890743,-0.18809136809723642,0.75,1,0.7795804142951965,0.23387412428855892
S29,EMATent,Norm,0.4461802084820791,0.4842490842490842,0.4842490842490842,0.4230769230769231,0.5341341401312045,0.4676473163470799,0.04988505588212033,-0.016601767902004294,0.609375,0,0.8485209147135416,0.2545562744140624
S30,EMATent,OFTTA,0.3858113293351903,0.5623809199782254,0.5623809199782254,0.5982342657342657,0.6911897106109325,0.6137123745819397,0.09295544487666674,0.015478108847673977,0.7395833333333334,1,0.66938117146492,0.20081435143947599
