target,feature,pearson_r,pearson_p,spearman_r,spearman_p
EMATent_gain_vs_best_baseline,num_batches,0.30693134183221094,0.09898475253929742,0.2994312053060088,0.10794610308513929
EMATent_gain_vs_best_baseline,Source_MacroF1,0.322869688284344,0.08181720660876425,0.2987764182424916,0.10875633786120091
EMATent_gain_vs_best_baseline,num_windows,0.2768074087809824,0.1386531691806569,0.294804763199253,0.11376859484830236
EMATent_gain_vs_best_baseline,default_ema_mean_confidence,0.027210746732667844,0.8865013298978506,0.18309232480533927,0.33282198137460356
EMATent_gain_vs_best_baseline,mean_abs_batch_label1_change,0.13004391577892985,0.49338722705191457,0.1764182424916574,0.35104370148324815
EMATent_gain_vs_best_baseline,std_majority_ratio,0.09407425074400969,0.6209739770551723,0.17552836484983317,0.3535175674001745
EMATent_gain_vs_best_baseline,single_class_batches,0.14699061211319248,0.43827159085932244,0.15640238971682083,0.4091740452164793
EMATent_gain_vs_best_baseline,max_majority_ratio,-0.040821337987194804,0.8304097185390494,0.028536807775454986,0.8810082393491154
EMATent_gain_vs_best_baseline,full_single_class_batches,-0.12009761695019165,0.5272919739247066,0.019255709562623336,0.9195540143117282
EMATent_gain_vs_best_baseline,mean_majority_ratio,-0.07444752485825144,0.6958100799635526,0.016019579585166952,0.9330407461175284
EMATent_gain_vs_best_baseline,default_ema_mean_raw_gate,0.14871659328467407,0.43285299275345607,-0.07630700778642936,0.6885846533599633
EMATent_gain_vs_best_baseline,default_ema_mean_effective_batch_weight,0.14871659328467424,0.43285299275345607,-0.07630700778642936,0.6885846533599633
EMATent_gain_vs_best_baseline,best_ema_mean_raw_gate,0.16504560540070098,0.38343790001711164,-0.11857619577308119,0.5325753200749617
EMATent_gain_vs_best_baseline,best_ema_mean_effective_batch_weight,0.16504560540070098,0.38343790001711164,-0.11857619577308119,0.5325753200749617
EMATent_gain_vs_best_baseline,batch_label1_drift,-0.19537581988816277,0.30082764923048616,-0.24944370889029197,0.18373836960630505
EMATent_gain_vs_best_baseline,Tent_gain_vs_source,-0.6515641255772613,9.61376473605351e-05,-0.5501668520578421,0.0016338322647943754
