Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7665094339622641,0.8851674641148325,0.641860465116279,0.6604651162790698,0.7291643485033937,0.7169811320754716,0.9252336448598131,0.4,0.576,0.6337445482866043
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7053364269141531,0.8531468531468531,0.6953846153846154,0.14814814814814814,0.5655598722265388,0.728538283062645,0.9205607476635514,0.7051671732522796,0.01904761904761905,0.54825851332115
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.663594470046083,0.7483870967741936,0.7972027972027972,0.0,0.5151966313256636,0.6866359447004609,0.7633262260127932,0.8067796610169492,0.0,0.5233686290099141
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.7787810383747178,0.8255528255528255,0.8295819935691319,0.5714285714285714,0.7421877968501761,0.837471783295711,0.861904761904762,0.8928571428571429,0.6989247311827957,0.8178955453149003
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.7210884353741497,0.8433179723502304,0.6192468619246861,0.583732057416268,0.6820989638970616,0.764172335600907,0.8837209302325582,0.6861924686192469,0.6103286384976526,0.7267473457831525
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.6977272727272728,0.756,0.8666666666666667,0.01818181818181818,0.546949494949495,0.7659090909090909,0.8107074569789675,0.9185185185185185,0.022988505747126436,0.5840714937482041
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.3914027149321267,0.593103448275862,0.3776824034334764,0.0,0.3235952839031128,0.5316742081447964,0.6695464362850972,0.6986899563318777,0.0,0.45607879753899166
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.592255125284738,0.7892156862745098,0.5963855421686747,0.0,0.46186707614772815,0.6309794988610479,0.7819548872180451,0.6836158192090396,0.0,0.4885235688090282
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.5592105263157895,0.592964824120603,0.585635359116022,0.40789473684210525,0.5288316400262435,0.5986842105263158,0.717391304347826,0.41904761904761906,0.6550218340611353,0.5971535858188601
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6031390134529148,0.8258706467661692,0.47653429602888087,0.3474178403755869,0.5499409277235457,0.6031390134529148,0.8598574821852731,0.3217391304347826,0.42323651452282157,0.5349443757142924
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.5842696629213483,0.8333333333333334,0.48951048951048953,0.16304347826086957,0.49529576703489747,0.5910112359550562,0.8841607565011821,0.4460431654676259,0.14814814814814814,0.4927840233723187
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.6022471910112359,0.848780487804878,0.5501618122977346,0.10526315789473684,0.5014018193324499,0.6,0.851581508515815,0.5089605734767025,0.21,0.5235140273308392
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7337807606263982,0.7552447552447552,0.7936507936507936,0.5466666666666666,0.6985207385207385,0.738255033557047,0.7924528301886793,0.7523510971786834,0.5562913907284768,0.7003651060319465
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.7342342342342343,0.8723897911832946,0.7570621468926554,0.07766990291262135,0.5690406136628571,0.75,0.9149425287356322,0.7635327635327636,0.0,0.5594917640894653
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.8114035087719298,0.8899297423887588,0.8235294117647058,0.5802469135802469,0.7645686892445704,0.7192982456140351,0.9053117782909931,0.5622119815668203,0.5419847328244275,0.6698361642274137
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.6629986543299571,0.7941603284887401,0.6600063769818407,0.2806772271991139,0.578281310889898,0.6841833343837,0.8361768853280661,0.6377138047006702,0.2974648076506802,0.5904518325598056
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.10507620932124911,0.09017483104731748,0.14413698477544418,0.24635679823670847,0.11810757099349163,0.08320586402929771,0.07516281734974051,0.17840185338313544,0.27614279147966453,0.09778717736518516
