Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_F1_2,EMATent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7570754716981132,0.9223529411764706,0.580952380952381,0.6009389671361502,0.701414763088334,0.5400943396226415,0.7236842105263158,0.0,0.1565217391304348,0.29340198321891686,0.7264150943396226,0.9422632794457275,0.39263803680981596,0.5714285714285714,0.6354432958947049
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7587006960556845,0.9280742459396751,0.7607361963190185,0.05714285714285714,0.5819844331338503,0.740139211136891,0.9047619047619048,0.6431095406360424,0.0,0.5159571484659824,0.7540603248259861,0.9270588235294117,0.7687687687687688,0.0,0.5652758640993935
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.6889400921658986,0.8049792531120332,0.8192771084337349,0.043795620437956206,0.5560173273279081,0.7603686635944701,0.8784648187633263,0.8,0.08080808080808081,0.5864242998571357,0.7511520737327189,0.8329979879275654,0.8981132075471698,0.0,0.5770370651582452
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.835214446952596,0.8986175115207373,0.8797250859106529,0.5838509316770186,0.7873978430361364,0.9051918735891648,0.9854469854469855,0.8438818565400844,0.7619047619047619,0.8637445346306105,0.9232505643340858,0.9448123620309051,0.9662921348314607,0.7951807228915663,0.9020950732513108
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.8027210884353742,0.9312638580931264,0.717948717948718,0.6091370558375635,0.7527832106264692,0.7006802721088435,0.9519650655021834,0.3431952662721893,0.48627450980392156,0.5938116138594315,0.8140589569160998,0.9356984478935698,0.7433628318584071,0.624390243902439,0.767817174551472
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8,0.8517110266159695,0.921875,0.20408163265306123,0.6592225530896769,0.8113636363636364,0.8761552680221811,0.9333333333333333,0.16161616161616163,0.6570349209905587,0.8227272727272728,0.8633879781420765,0.9881422924901185,0.0,0.6171767568773984
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.4502262443438914,0.6045454545454545,0.5196850393700787,0.0,0.3747434979718444,0.746606334841629,0.7952755905511811,0.9692307692307692,0.034482758620689655,0.5996630394675467,0.7330316742081447,0.7630522088353414,0.9337979094076655,0.0,0.5656167060810023
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.7061503416856492,0.89749430523918,0.7151898734177216,0.0,0.5375613928856339,0.7995444191343963,0.9743589743589743,0.754601226993865,0.0,0.5763200671176131,0.6947608200455581,0.8564593301435407,0.7659574468085106,0.0,0.5408055923173505
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6359649122807017,0.6648199445983379,0.554016620498615,0.7368421052631579,0.6518928901200369,0.5964912280701754,0.8345679012345679,0.23333333333333334,0.5617977528089888,0.5432329957922967,0.6864035087719298,0.6815642458100558,0.6186666666666667,0.8379888268156425,0.712739913097455
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6860986547085202,0.8761904761904762,0.5693430656934306,0.4444444444444444,0.6299926621094504,0.6748878923766816,0.926530612244898,0.0,0.5627376425855514,0.49642275161014976,0.5964125560538116,0.8946135831381733,0.011299435028248588,0.5138888888888888,0.4732673023517702
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6696629213483146,0.9440715883668904,0.5309090909090909,0.16666666666666666,0.5472157819808826,0.5955056179775281,0.9671772428884027,0.34108527131782945,0.0,0.4360875047354107,0.6561797752808989,0.9978768577494692,0.3598326359832636,0.15555555555555556,0.504421683096096
