Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S11,EmaTentGridS20E50B30M080BnOnly,0.12615375220775604,0.12615375220775604,0.9739769101142883,0,0.4621538743376732,0.5,0.03784612566232681,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S11,EmaTentGridS20E50B30M080BnOnly,0.9049050211906433,0.9049050211906433,0.6244515180587769,1,0.22852849364280703,0.5,0.27147150635719297,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S11,EmaTentGridS20E50B30M080BnOnly,0.8301162123680115,0.8301162123680115,0.6442537903785706,1,0.25096513628959655,0.5,0.24903486371040343,0.0,0.0,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2
S11,EmaTentGridS20E50B30M080BnOnly,0.6410598158836365,0.6410598158836365,0.7664761543273926,1,0.30768205523490905,0.5,0.19231794476509093,0.0,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S11,EmaTentGridS20E50B30M080BnOnly,0.42065390944480896,0.42065390944480896,0.8643995523452759,1,0.37380382716655736,0.5,0.12619617283344267,0.0,0.0,5,64,0,0.0,52,0.8125,12,0.1875,0.8125,2
S11,EmaTentGridS20E50B30M080BnOnly,0.3020569682121277,0.3020569682121277,0.9192528128623962,1,0.4093829095363617,0.5,0.0906170904636383,0.0,0.0,6,62,0,0.0,0,0.0,62,1.0,1.0,1
S13,EmaTentGridS20E50B30M080,0.14917540550231934,0.14917540550231934,0.9675061702728271,0,0.4552473783493042,0.5,0.0447526216506958,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S13,EmaTentGridS20E50B30M080,0.044038765132427216,0.044038765132427216,0.9926313161849976,0,0.48678837046027185,0.5,0.013211629539728164,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S13,EmaTentGridS20E50B30M080,0.24675291776657104,0.24675291776657104,0.9763444662094116,1,0.4259741246700287,0.5,0.0740258753299713,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S13,EmaTentGridS20E50B30M080,0.9629420042037964,0.9629420042037964,0.804561972618103,1,0.2111173987388611,0.5,0.2888826012611389,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2
S13,EmaTentGridS20E50B30M080,0.38039153814315796,0.38039153814315796,0.9660074710845947,1,0.3858825385570526,0.5,0.11411746144294738,0.0,0.0,4,64,0,0.0,8,0.125,56,0.875,0.875,2
S13,EmaTentGridS20E50B30M080,0.5872181057929993,0.5872181057929993,0.9074563980102539,1,0.3238345682621002,0.5,0.17616543173789978,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1
S13,EmaTentGridS20E50B30M080,0.6179198622703552,0.6179198622703552,0.7811553478240967,1,0.31462404131889343,0.5,0.18537595868110657,0.0,0.0,6,61,0,0.0,61,1.0,0,0.0,1.0,1
