target,x_metric,n,pearson_r,spearman_rho
Tent_delta_vs_source,Source_MacroF1,15,-0.6582910901735806,-0.532142857142857
OFTTA_delta_vs_source,Source_MacroF1,15,-0.451073224097244,-0.35357142857142854
