Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S1,NOTE,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5619849562644958,,
S1,NOTE,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.59944087266922,,
S1,NOTE,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5154715776443481,,
S1,NOTE,,,,,,,,,,4,10,10,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.0,,,
S1,DELTA,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
S1,DELTA,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1678004264831543,5.0
S1,DELTA,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08341612666845322,38.0
S1,DELTA,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11864031106233597,37.0
S1,DELTA,,,,,,,,,,4,10,10,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11048352718353271,10.0
S2,EMATent,0.10897458344697952,0.10897458344697952,0.9855583310127258,0.0,0.46730762496590617,0.5,0.032692375034093855,0.0,0.0,0,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.16327305138111115,0.16327305138111115,0.9760135412216187,0.0,0.45101808458566667,0.5,0.04898191541433334,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.16327469050884247,0.16327469050884247,0.9760132431983948,0.0,0.45101759284734727,0.5,0.048982407152652736,0.0,0.0,2,64,0,0.0,64.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.2407347410917282,0.2407347410917282,0.9603392481803894,1.0,0.42777957767248154,0.5,0.07222042232751846,0.0,0.0,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,0,64,10,0.15625,54.0,0.84375,0.84375,2,0.03944659233093262,0.10897458344697952,0.10897458344697952,0.0695279911160469,0.9160118270021351,0.05129579796377107,0.032692375034093855,0.05302945685513338,6.9743733406066895,0.19999999999999996,0.0,0.07199269533157349,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.34375,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,1,64,19,0.296875,45.0,0.703125,0.703125,2,0.014833842404186726,0.03981006518006325,0.03981006518006325,0.024976223707199097,0.9172206310902536,0.07083634935572734,0.011943019554018974,0.07169257518301608,9.522217512130737,0.19999999999999996,0.0,0.03129015490412712,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.203125,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,2,64,0,0.0,64.0,1.0,1.0,1,0.004096360877156258,0.011523783206939697,0.011523783206939697,0.007427422795444727,0.9197831524512287,0.07675971258668941,0.003457134962081909,0.07702600187074615,10.259739637374878,0.19999999999999996,0.0,0.013405958190560341,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.5,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2,0.0051236809231340885,0.013800268992781639,0.013800268992781639,0.008676588535308838,0.9131276620451007,0.08273225725706486,0.0041400806978344916,0.08307619942676103,11.101556045934558,0.19999999999999996,0.0,0.028902817517518997,0.2,0.0,1.0,61.0,1.0,0.0,0.0,1.0,1.0,0.12295081967213117,,,,,,,
S2,TEMA,,,,,,,,,,0,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,TEMA,,,,,,,,,,1,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,TEMA,,,,,,,,,,2,64,0,0.0,64.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
