Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S2,EMATent,0.023137446492910385,0.023137446492910385,0.9965370297431946,0,0.4930587660521269,0.5,0.006941233947873116,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATent,0.05417606979608536,0.05417606979608536,0.9905073046684265,0,0.48374717906117437,0.5,0.016252820938825605,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATent,0.09425277262926102,0.09425277262926102,0.9813370704650879,0,0.4717241682112217,0.5,0.028275831788778304,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATent,0.6277035474777222,0.6277035474777222,0.8698462247848511,1,0.3116889357566833,0.5,0.18831106424331664,0.0,0.0,3,64,37,0.578125,27,0.421875,0,0.0,0.578125,2
S2,EMATent,0.6780999302864075,0.6780999302864075,0.7464786171913147,1,0.29657002091407775,0.5,0.20342997908592222,0.0,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S2,EMATent,0.6456447839736938,0.6456447839736938,0.8560023307800293,1,0.30630656480789187,0.5,0.19369343519210816,0.0,0.0,5,64,0,0.0,32,0.5,32,0.5,0.5,2
S2,EMATent,0.6814496517181396,0.6814496517181396,0.7173000574111938,1,0.2955651044845581,0.5,0.2044348955154419,0.0,0.0,6,40,0,0.0,0,0.0,40,1.0,1.0,1
S2,EMATentProbe025,0.035337574779987335,0.035337574779987335,0.9943066835403442,0,0.4893987275660038,0.5,0.0106012724339962,0.25,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe025,0.057400621473789215,0.057400621473789215,0.989835262298584,0,0.48277981355786326,0.5,0.017220186442136763,0.25,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe025,0.1034839078783989,0.1034839078783989,0.9791191816329956,0,0.46895482763648033,0.5,0.03104517236351967,0.25,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe025,0.6643580198287964,0.6643580198287964,0.8471533060073853,1,0.30069259405136106,0.5,0.1993074059486389,0.25,0.0,3,64,37,0.578125,27,0.421875,0,0.0,0.578125,2
S2,EMATentProbe025,0.6807644367218018,0.6807644367218018,0.7576874494552612,1,0.2957706689834595,0.5,0.20422933101654053,0.25,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S2,EMATentProbe025,0.5750508904457092,0.5750508904457092,0.8332671523094177,1,0.3274847328662872,0.5,0.17251526713371276,0.25,0.0,5,64,0,0.0,32,0.5,32,0.5,0.5,2
S2,EMATentProbe025,0.6515544652938843,0.6515544652938843,0.7537019848823547,1,0.3045336604118347,0.5,0.19546633958816528,0.25,0.0,6,40,0,0.0,0,0.0,40,1.0,1.0,1
S2,EMATentProbe050,0.0710090845823288,0.0710090845823288,0.986799418926239,0,0.47869727462530137,0.5,0.021302725374698638,0.5,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe050,0.06253251433372498,0.06253251433372498,0.9887502193450928,0,0.4812402456998825,0.5,0.018759754300117493,0.5,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe050,0.1185256764292717,0.1185256764292717,0.975394606590271,0,0.4644422970712185,0.5,0.03555770292878151,0.5,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe050,0.7032492160797119,0.7032492160797119,0.8549901843070984,1,0.2890252351760864,0.5,0.21097476482391356,0.5,0.0,3,64,37,0.578125,27,0.421875,0,0.0,0.578125,2
S2,EMATentProbe050,0.631740927696228,0.631740927696228,0.7869412899017334,1,0.3104777216911316,0.5,0.1895222783088684,0.5,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S2,EMATentProbe050,0.5403043031692505,0.5403043031692505,0.8212992548942566,1,0.3379087090492249,0.5,0.16209129095077515,0.5,0.0,5,64,0,0.0,32,0.5,32,0.5,0.5,2
S2,EMATentProbe050,0.6057747602462769,0.6057747602462769,0.7825188636779785,1,0.31826757192611693,0.5,0.18173242807388304,0.5,0.0,6,40,0,0.0,0,0.0,40,1.0,1.0,1
S2,EMATentProbe100,0.2985754609107971,0.2985754609107971,0.9499526619911194,1,0.41042736172676086,0.5,0.08957263827323914,1.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe100,0.08345422893762589,0.08345422893762589,0.9841230511665344,0,0.4749637313187122,0.5,0.025036268681287766,1.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe100,0.18930575251579285,0.18930575251579285,0.9561040997505188,0,0.44320827424526216,0.5,0.05679172575473785,1.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentProbe100,0.7481617331504822,0.7481617331504822,0.9033388495445251,1,0.27555148005485536,0.5,0.22444851994514464,1.0,0.0,3,64,37,0.578125,27,0.421875,0,0.0,0.578125,2
S2,EMATentProbe100,0.5475211143493652,0.5475211143493652,0.83072429895401,1,0.33574366569519043,0.5,0.16425633430480957,1.0,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S2,EMATentProbe100,0.7211634516716003,0.7211634516716003,0.8240309953689575,1,0.2836509644985199,0.5,0.2163490355014801,1.0,0.0,5,64,0,0.0,32,0.5,32,0.5,0.5,2
S2,EMATentProbe100,0.5893974900245667,0.5893974900245667,0.8057247400283813,1,0.32318075299263,0.5,0.17681924700736998,1.0,0.0,6,40,0,0.0,0,0.0,40,1.0,1.0,1
S2,EMATentMinGate025,0.023137446492910385,0.2673530848696828,0.9965370297431946,1,0.4197940745390952,0.5,0.08020592546090484,0.0,0.25,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentMinGate025,0.05352254584431648,0.29014190938323736,0.9906458258628845,1,0.4129574271850288,0.5,0.0870425728149712,0.0,0.25,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentMinGate025,0.09329290688037872,0.31996968016028404,0.9815773367881775,1,0.4040090959519148,0.5,0.0959909040480852,0.0,0.25,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentMinGate025,0.6264176964759827,0.719813272356987,0.8697676658630371,1,0.2840560182929039,0.5,0.21594398170709608,0.0,0.25,3,64,37,0.578125,27,0.421875,0,0.0,0.578125,2
S2,EMATentMinGate025,0.6739684343338013,0.755476325750351,0.7474099397659302,1,0.27335710227489474,0.5,0.22664289772510526,0.0,0.25,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S2,EMATentMinGate025,0.6491519212722778,0.7368639409542084,0.858022153377533,1,0.27894081771373747,0.5,0.2210591822862625,0.0,0.25,5,64,0,0.0,32,0.5,32,0.5,0.5,2
S2,EMATentMinGate025,0.6873381733894348,0.7655036300420761,0.7127830982208252,1,0.2703489109873772,0.5,0.22965108901262282,0.0,0.25,6,40,0,0.0,0,0.0,40,1.0,1.0,1
S2,EMATentMinGate050,0.023137446492910385,0.5115687232464552,0.9965370297431946,1,0.34652938302606345,0.5,0.15347061697393655,0.0,0.5,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentMinGate050,0.053098905831575394,0.5265494529157877,0.9907363653182983,1,0.3420351641252637,0.5,0.1579648358747363,0.0,0.5,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentMinGate050,0.09313230961561203,0.546566154807806,0.9816257953643799,1,0.3360301535576582,0.5,0.1639698464423418,0.0,0.5,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S2,EMATentMinGate050,0.6251994371414185,0.8125997185707092,0.8694796562194824,1,0.25622008442878724,0.5,0.24377991557121276,0.0,0.5,3,64,37,0.578125,27,0.421875,0,0.0,0.578125,2
S2,EMATentMinGate050,0.6699576377868652,0.8349788188934326,0.7488390207290649,1,0.24950635433197021,0.5,0.2504936456680298,0.0,0.5,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S2,EMATentMinGate050,0.652206301689148,0.826103150844574,0.8598373532295227,1,0.2521690547466278,0.5,0.24783094525337218,0.0,0.5,5,64,0,0.0,32,0.5,32,0.5,0.5,2
S2,EMATentMinGate050,0.6910799741744995,0.8455399870872498,0.7112531065940857,1,0.2463380038738251,0.5,0.2536619961261749,0.0,0.5,6,40,0,0.0,0,0.0,40,1.0,1.0,1
S3,EMATent,0.08264516294002533,0.08264516294002533,0.9843663573265076,0,0.4752064511179924,0.5,0.024793548882007597,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S3,EMATent,0.0506594143807888,0.0506594143807888,0.9910949468612671,0,0.48480217568576334,0.5,0.01519782431423664,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S3,EMATent,0.13685202598571777,0.13685202598571777,0.9704316854476929,0,0.4589443922042847,0.5,0.04105560779571533,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S3,EMATent,0.6418731808662415,0.6418731808662415,0.9714098572731018,1,0.30743804574012756,0.5,0.19256195425987244,0.0,0.0,3,64,36,0.5625,28,0.4375,0,0.0,0.5625,2
S3,EMATent,0.08428406715393066,0.08428406715393066,0.9832876920700073,0,0.4747147798538208,0.5,0.025285220146179198,0.0,0.0,4,64,0,0.0,64,1.0,0,0.0,1.0,1
S3,EMATent,0.6197125911712646,0.6197125911712646,0.8175292015075684,1,0.3140862226486206,0.5,0.1859137773513794,0.0,0.0,5,64,0,0.0,36,0.5625,28,0.4375,0.5625,2
S3,EMATent,0.49483487010002136,0.49483487010002136,0.8454035520553589,1,0.35154953896999364,0.5,0.1484504610300064,0.0,0.0,6,47,0,0.0,0,0.0,47,1.0,1.0,1
