Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S1,EmaTentGridS20E50B30M075,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentGridS20E50B30M075,0.9808760285377502,0.9808760285377502,0.6216474771499634,1,0.20573719143867494,0.5,0.2942628085613251,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS20E50B30M075,0.7852017283439636,0.7852017283439636,0.7802162170410156,1,0.2644394814968109,0.5,0.23556051850318907,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentGridS20E50B30M075,0.9818060994148254,0.9818060994148254,0.7127703428268433,1,0.20545817017555237,0.5,0.2945418298244476,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentGridS20E50B30M075,0.8652995824813843,0.8652995824813843,0.7126300930976868,1,0.24041012525558472,0.5,0.25958987474441525,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentCaseS20E50B30M060,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentCaseS20E50B30M060,0.9966652393341064,0.9966652393341064,0.6095116138458252,1,0.20100042819976807,0.5,0.2989995718002319,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentCaseS20E50B30M060,0.7340260148048401,0.7340260148048401,0.8113880753517151,1,0.27979219555854795,0.5,0.22020780444145202,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentCaseS20E50B30M060,0.9048294425010681,0.9048294425010681,0.8074088096618652,1,0.22855116724967958,0.5,0.27144883275032045,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentCaseS20E50B30M060,0.8146696090698242,0.8146696090698242,0.7478489875793457,1,0.25559911727905277,0.5,0.24440088272094726,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentCaseS20E50B30M065,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentCaseS20E50B30M065,0.9926429390907288,0.9926429390907288,0.6123170852661133,1,0.20220711827278137,0.5,0.29779288172721863,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentCaseS20E50B30M065,0.7416618466377258,0.7416618466377258,0.8036279678344727,1,0.27750144600868226,0.5,0.22249855399131774,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentCaseS20E50B30M065,0.9181632399559021,0.9181632399559021,0.7971257567405701,1,0.22455102801322938,0.5,0.2754489719867706,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentCaseS20E50B30M065,0.7997927665710449,0.7997927665710449,0.7571226358413696,1,0.26006217002868653,0.5,0.23993782997131347,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentCaseS20E50B30M070,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentCaseS20E50B30M070,0.9873544573783875,0.9873544573783875,0.6165502071380615,1,0.20379366278648378,0.5,0.29620633721351625,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentCaseS20E50B30M070,0.7575559020042419,0.7575559020042419,0.7945969700813293,1,0.2727332293987274,0.5,0.22726677060127257,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EmaTentCaseS20E50B30M070,0.950248658657074,0.950248658657074,0.7631776928901672,1,0.21492540240287783,0.5,0.28507459759712217,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EmaTentCaseS20E50B30M070,0.8094824552536011,0.8094824552536011,0.7511298060417175,1,0.2571552634239197,0.5,0.2428447365760803,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S1,EmaTentCaseS10E50B40M070,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.1077007532119751,0.5,0.3922992467880249,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EmaTentCaseS10E50B40M070,0.9844396710395813,0.9844396710395813,0.6201697587966919,1,0.10622413158416749,0.5,0.39377586841583256,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
