target,x_metric,n,pearson_r,spearman_rho
Tent_delta_vs_source,Source_MacroF1,15,-0.6747483944824693,-0.5928571428571427
OFTTA_delta_vs_source,Source_MacroF1,15,-0.7337365506350727,-0.6357142857142856
