Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S1,NOTE,,,,,,,,,,1,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5810626745223999,,
S1,NOTE,,,,,,,,,,2,64,41,0.640625,23.0,0.359375,0.640625,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5844516158103943,,
S1,NOTE,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5902474522590637,,
S1,NOTE,,,,,,,,,,4,10,0,0.0,10.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.0,,,
S1,DELTA,,,,,,,,,,0,64,47,0.734375,17.0,0.265625,0.734375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23621894419193268,1.0
S1,DELTA,,,,,,,,,,1,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07925969362258911,17.0
S1,DELTA,,,,,,,,,,2,64,41,0.640625,23.0,0.359375,0.640625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10092607885599136,56.0
S1,DELTA,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08376405388116837,49.0
S1,DELTA,,,,,,,,,,4,10,0,0.0,10.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19280457496643066,4.0
S2,EMATent,0.9914031624794006,0.9914031624794006,0.6842595338821411,1.0,0.2025790512561798,0.5,0.2974209487438202,0.0,0.0,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.993725061416626,0.993725061416626,0.6426578760147095,1.0,0.2018824815750122,0.5,0.2981175184249878,0.0,0.0,1,64,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.978816032409668,0.978816032409668,0.6848114728927612,1.0,0.20635519027709961,0.5,0.29364480972290036,0.0,0.0,2,64,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.9899023771286011,0.9899023771286011,0.7088375091552734,1.0,0.2030292868614197,0.5,0.2969707131385803,0.0,0.0,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,0.14638321101665497,0.9914031624794006,0.9914031624794006,0.8450199961662292,0.42797138767302084,0.27460766358315897,0.2974209487438202,0.39085660623124585,63.44980239868164,0.19999999999999996,1.0,0.5789000988006592,0.2,0.0,1.0,28.0,0.4375,36.0,0.5625,0.5625,2.0,0.28125,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,1,64,37,0.578125,27.0,0.421875,0.578125,2,0.08228045701980591,0.99559485912323,0.99559485912323,0.9133144021034241,0.25968450759519524,0.44163703466783577,0.298678457736969,0.6297211878630695,127.16787338256836,0.19999999999999996,1.0,0.5799933671951294,0.2,0.0,1.0,32.0,0.5,32.0,0.5,0.5,2.0,0.078125,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,2,64,54,0.84375,10.0,0.15625,0.84375,2,0.1222175806760788,0.9572819471359253,0.9572819471359253,0.8350643515586853,0.16354407383329844,0.5492713420259239,0.2871845841407776,0.7705660256573384,188.43391799926758,0.19999999999999996,1.0,0.5561937689781189,0.2,0.0,1.0,57.0,0.890625,7.0,0.109375,0.890625,2.0,0.34375,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,0.14481927454471588,0.9954744577407837,0.9954744577407837,0.8506551384925842,0.10013028560737566,0.6012273770703892,0.2986423373222351,0.8572336328014427,249.15785992145538,0.19999999999999996,1.0,0.49052944779396057,0.2,0.0,1.0,31.0,0.5081967213114754,30.0,0.4918032786885246,0.5081967213114754,2.0,0.139344262295082,,,,,,,
S2,TEMA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,TEMA,,,,,,,,,,1,64,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,TEMA,,,,,,,,,,2,64,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,TEMA,,,,,,,,,,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,DUA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,
S2,DUA,,,,,,,,,,1,64,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,,,,,,,,,,,,,,,,0.09336,,,,,,
S2,DUA,,,,,,,,,,2,64,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,0.0880584,,,,,,
S2,DUA,,,,,,,,,,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,,,,,,,,,,,,,,,,,0.083074896,,,,,,
S2,RoTTA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,
S2,RoTTA,,,,,,,,,,1,64,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S2,RoTTA,,,,,,,,,,2,64,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S2,RoTTA,,,,,,,,,,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S2,NOTE,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5733658075332642,,
S2,NOTE,,,,,,,,,,1,64,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5723223090171814,,
S2,NOTE,,,,,,,,,,2,64,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.6609739065170288,,
S2,NOTE,,,,,,,,,,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.0,,,
S2,DELTA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25197112560272217,4.0
S2,DELTA,,,,,,,,,,1,64,37,0.578125,27.0,0.421875,0.578125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2274141162633896,10.0
S2,DELTA,,,,,,,,,,2,64,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15911592543125153,47.0
S2,DELTA,,,,,,,,,,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23496873676776886,43.0
S3,EMATent,0.5883578062057495,0.5883578062057495,0.8604081869125366,1.0,0.32349265813827516,0.5,0.17650734186172484,0.0,0.0,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.4773707687854767,0.4773707687854767,0.8994777202606201,1.0,0.356788769364357,0.5,0.143211230635643,0.0,0.0,1,64,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.7590852379798889,0.7590852379798889,0.7926199436187744,1.0,0.27227442860603335,0.5,0.22772557139396665,0.0,0.0,2,64,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.8749520182609558,0.8749520182609558,0.8184739947319031,1.0,0.23751439452171327,0.5,0.26248560547828675,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,EMATent,0.7153105735778809,0.7153105735778809,0.803284227848053,1.0,0.28540682792663574,0.5,0.21459317207336426,0.0,0.0,4,11,11,1.0,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,DynaMixEMATent,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,0.08957604318857193,0.5883578062057495,0.5883578062057495,0.4987817704677582,0.6136199306565773,0.20987272748169783,0.17650734186172484,0.2548568289074624,37.65489959716797,0.19999999999999996,1.0,0.5636284351348877,0.2,0.0,1.0,7.0,0.109375,57.0,0.890625,0.890625,2.0,0.28125,,,,,,,
S3,DynaMixEMATent,,,,,,,,,,1,64,6,0.09375,58.0,0.90625,0.90625,2,0.07465583831071854,0.4309764802455902,0.4309764802455902,0.35632064938545227,0.5230298025663908,0.34767725335993216,0.12929294407367706,0.39930450889713676,65.23739433288574,0.19999999999999996,1.0,0.39542096853256226,0.2,0.0,1.0,2.0,0.03125,62.0,0.96875,0.96875,2.0,0.40625,,,,,,,
S3,DynaMixEMATent,,,,,,,,,,2,64,43,0.671875,21.0,0.328125,0.671875,2,0.09702104330062866,0.5451962947845459,0.5451962947845459,0.44817525148391724,0.38256203714243375,0.45387907442220243,0.16355888843536376,0.5426312362542558,100.12995719909668,0.19999999999999996,1.0,0.6161667108535767,0.2,0.0,1.0,12.0,0.1875,52.0,0.8125,0.8125,2.0,0.171875,,,,,,,
S3,DynaMixEMATent,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,0.04936134070158005,0.40519240498542786,0.40519240498542786,0.3558310866355896,0.3280902450054888,0.5503520334988828,0.12155772149562835,0.6265090455754333,126.06227111816406,0.19999999999999996,1.0,0.5468113422393799,0.2,0.0,1.0,26.0,0.40625,38.0,0.59375,0.59375,2.0,0.0625,,,,,,,
S3,DynaMixEMATent,,,,,,,,,,4,11,11,1.0,,,1.0,1,0.0906759575009346,0.4629049003124237,0.4629049003124237,0.3722289204597473,0.3090803854348066,0.5520481444714662,0.1388714700937271,0.6410751999257909,131.15422502160072,0.19999999999999996,1.0,0.6723895072937012,0.2,0.0,1.0,3.0,0.2727272727272727,8.0,0.7272727272727273,0.7272727272727273,2.0,0.0,,,,,,,
S3,TEMA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,TEMA,,,,,,,,,,1,64,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,TEMA,,,,,,,,,,2,64,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,TEMA,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,TEMA,,,,,,,,,,4,11,11,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,DUA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,
S3,DUA,,,,,,,,,,1,64,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,,,,,,,,,,,,,,,,0.09336,,,,,,
S3,DUA,,,,,,,,,,2,64,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,0.0880584,,,,,,
S3,DUA,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,0.083074896,,,,,,
S3,DUA,,,,,,,,,,4,11,11,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,0.07839040223999999,,,,,,
S3,RoTTA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,
S3,RoTTA,,,,,,,,,,1,64,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S3,RoTTA,,,,,,,,,,2,64,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S3,RoTTA,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S3,RoTTA,,,,,,,,,,4,11,11,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S3,NOTE,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.6166884899139404,,
S3,NOTE,,,,,,,,,,1,64,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5908539295196533,,
S3,NOTE,,,,,,,,,,2,64,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5721480846405029,,
S3,NOTE,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.6338247060775757,,
S3,NOTE,,,,,,,,,,4,11,11,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.0,,,
S3,DELTA,,,,,,,,,,0,64,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17341546714305878,4.0
S3,DELTA,,,,,,,,,,1,64,6,0.09375,58.0,0.90625,0.90625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1275421380996704,53.0
S3,DELTA,,,,,,,,,,2,64,43,0.671875,21.0,0.328125,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2559453248977661,24.0
S3,DELTA,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18976296484470367,29.0
S3,DELTA,,,,,,,,,,4,11,11,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2746007740497589,2.0
S4,EMATent,0.9810284376144409,0.9810284376144409,0.7433178424835205,1.0,0.20569146871566774,0.5,0.29430853128433226,0.0,0.0,0,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.6542725563049316,0.6542725563049316,0.8544729351997375,1.0,0.30371823310852053,0.5,0.1962817668914795,0.0,0.0,1,64,20,0.3125,44.0,0.6875,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.8507832884788513,0.8507832884788513,0.7236484289169312,1.0,0.2447650134563446,0.5,0.2552349865436554,0.0,0.0,2,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.9660083055496216,0.9660083055496216,0.7617323398590088,1.0,0.21019750833511353,0.5,0.2898024916648865,0.0,0.0,3,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.911170244216919,0.911170244216919,0.7157402634620667,1.0,0.22664892673492432,0.5,0.2733510732650757,0.0,0.0,4,11,0,0.0,11.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,DynaMixEMATent,,,,,,,,,,0,64,35,0.546875,29.0,0.453125,0.546875,2,0.2341674566268921,0.9810284376144409,0.9810284376144409,0.7468609809875488,0.4321029672752166,0.2735885014404511,0.29430853128433226,0.38768854884751835,62.78582000732422,0.19999999999999996,1.0,0.5518625974655151,0.2,0.0,1.0,4.0,0.0625,60.0,0.9375,0.9375,2.0,0.046875,,,,,,,
S4,DynaMixEMATent,,,,,,,,,,1,64,20,0.3125,44.0,0.6875,0.6875,2,0.14099429547786713,0.5992379784584045,0.5992379784584045,0.4582436978816986,0.37220689973200216,0.4480217067304765,0.17977139353752136,0.5462156564652457,101.13705062866211,0.19999999999999996,1.0,0.5623102784156799,0.2,0.0,1.0,11.0,0.171875,53.0,0.828125,0.828125,2.0,0.1875,,,,,,,
S4,DynaMixEMATent,,,,,,,,,,2,64,35,0.546875,29.0,0.453125,0.546875,2,0.04547346010804176,0.5594545006752014,0.5594545006752014,0.51398104429245,0.28547905319874955,0.5466845965986901,0.1678363502025604,0.6569436152753858,136.942138671875,0.19999999999999996,1.0,0.626324474811554,0.2,0.0,1.0,36.0,0.5625,28.0,0.4375,0.5625,2.0,0.046875,,,,,,,
S4,DynaMixEMATent,,,,,,,,,,3,64,10,0.15625,54.0,0.84375,0.84375,2,0.3376304507255554,0.9099583029747009,0.9099583029747009,0.5723278522491455,0.15823860846335086,0.5687739006442388,0.27298749089241026,0.7823440360639884,195.17947006225586,0.19999999999999996,1.0,0.4980774521827698,0.2,0.0,1.0,28.0,0.4375,36.0,0.5625,0.5625,2.0,0.34375,,,,,,,
S4,DynaMixEMATent,,,,,,,,,,4,11,0,0.0,11.0,1.0,1.0,1,0.1762678623199463,0.9912173748016357,0.9912173748016357,0.8149495124816895,0.14044485185142724,0.5621899357080822,0.2973652124404907,0.8001168539644327,206.08286118507385,0.19999999999999996,1.0,0.5362685322761536,0.2,0.0,1.0,9.0,0.8181818181818182,2.0,0.18181818181818182,0.8181818181818182,2.0,0.5,,,,,,,
S4,TEMA,,,,,,,,,,0,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,TEMA,,,,,,,,,,1,64,20,0.3125,44.0,0.6875,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,TEMA,,,,,,,,,,2,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,TEMA,,,,,,,,,,3,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,TEMA,,,,,,,,,,4,11,0,0.0,11.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,DUA,,,,,,,,,,0,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,
S4,DUA,,,,,,,,,,1,64,20,0.3125,44.0,0.6875,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,0.09336,,,,,,
S4,DUA,,,,,,,,,,2,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,0.0880584,,,,,,
S4,DUA,,,,,,,,,,3,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,0.083074896,,,,,,
S4,DUA,,,,,,,,,,4,11,0,0.0,11.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,0.07839040223999999,,,,,,
S4,RoTTA,,,,,,,,,,0,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,
S4,RoTTA,,,,,,,,,,1,64,20,0.3125,44.0,0.6875,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S4,RoTTA,,,,,,,,,,2,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S4,RoTTA,,,,,,,,,,3,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
