Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_MacroF1
S1,0.49624060150375937,0.6298342541436464,0.21176470588235294,0.42079948001299966,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.6165413533834586,0.6458333333333334,0.5819672131147541,0.6139002732240437,0.631578947368421,0.6666666666666666,0.5882352941176471,0.6274509803921569,0.5263157894736842,0.5714285714285714,0.47058823529411764,0.5210084033613445,0.518796992481203,0.5675675675675675,0.4576271186440678,0.5125973431058177,0.6541353383458647,0.7195121951219512,0.5490196078431373,0.6342659014825442,0.6541353383458647,0.7195121951219512,0.5490196078431373,0.6342659014825442,0.47368421052631576,0.375,0.5454545454545454,0.4602272727272727
S2,0.6007905138339921,0.6576271186440678,0.5213270142180095,0.5894770664310387,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.7628458498023716,0.8235294117647058,0.6385542168674698,0.7310418143160878,0.7272727272727273,0.7795527156549521,0.6424870466321243,0.7110198811435382,0.7193675889328063,0.7717041800643086,0.6358974358974359,0.7038008079808722,0.6126482213438735,0.668918918918919,0.5333333333333333,0.6011261261261261,0.5968379446640316,0.6482758620689655,0.5277777777777778,0.5880268199233716,0.6047430830039525,0.673202614379085,0.5,0.5866013071895425,0.6047430830039525,0.673202614379085,0.5,0.5866013071895425,0.48221343873517786,0.4018264840182648,0.5435540069686411,0.47269024549345295
S3,0.45318352059925093,0.0,0.6237113402061856,0.3118556701030928,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6404494382022472,0.673469387755102,0.6,0.636734693877551,0.5468164794007491,0.41545893719806765,0.6299694189602446,0.5227141780791561,0.5205992509363296,0.3469387755102041,0.621301775147929,0.48412027532906654,0.4756554307116105,0.07894736842105263,0.6335078534031413,0.356227610912097,0.47191011235955055,0.06622516556291391,0.6318537859007833,0.3490394757318486,0.6479400749063671,0.6824324324324325,0.6050420168067226,0.6437372246195776,0.6479400749063671,0.6824324324324325,0.6050420168067226,0.6437372246195776,0.6104868913857678,0.49019607843137253,0.6848484848484848,0.5875222816399287
S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3146067415730337,0.3487544483985765,0.2766798418972332,0.31271714514790483,0.5955056179775281,0.46,0.6766467065868264,0.5683233532934132,0.5955056179775281,0.425531914893617,0.6878612716763006,0.5566965932849588,0.6179775280898876,0.32,0.734375,0.5271875,0.6067415730337079,0.3225806451612903,0.7229551451187335,0.5227678951400119,0.31835205992509363,0.272,0.3591549295774648,0.3155774647887324,0.31835205992509363,0.272,0.3591549295774648,0.3155774647887324,0.45692883895131087,0.4444444444444444,0.46886446886446886,0.45665445665445664
S5,0.6564625850340136,0.7262872628726287,0.5388127853881278,0.6325500241303783,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.7312925170068028,0.7584097859327217,0.6973180076628352,0.7278638967977784,0.6428571428571429,0.6808510638297872,0.5945945945945946,0.6377228292121909,0.6224489795918368,0.6563467492260062,0.5811320754716981,0.6187394123488521,0.6564625850340136,0.7138810198300283,0.5702127659574469,0.6420468928937375,0.6598639455782312,0.7159090909090909,0.576271186440678,0.6460901386748845,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6258503401360545,0.6099290780141844,0.6405228758169934,0.6252259769155889
S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.421259842519685,0.4280155642023346,0.41434262948207173,0.42117909684220317,0.5,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,0.3333333333333333,0.42913385826771655,0.49122807017543857,0.34977578475336324,0.4205019274644009,0.42913385826771655,0.49122807017543857,0.34977578475336324,0.4205019274644009,0.4645669291338583,0.4645669291338583,0.4645669291338583,0.4645669291338583
S7,0.7086956521739131,0.8295165394402035,0.0,0.41475826972010177,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.49130434782608695,0.6422018348623854,0.12030075187969924,0.3812512933710423,0.5173913043478261,0.6605504587155964,0.16541353383458646,0.4129819962750914,0.6652173913043479,0.7957559681697612,0.07228915662650602,0.43402256239813364,0.6695652173913044,0.8020833333333334,0.0,0.4010416666666667,0.691304347826087,0.8174807197943444,0.0,0.4087403598971722,0.3,0.42704626334519574,0.1005586592178771,0.2638024612815364,0.3,0.42704626334519574,0.1005586592178771,0.2638024612815364,0.39565217391304347,0.44176706827309237,0.3412322274881517,0.391499647880622
S8,0.43014705882352944,0.5481049562682215,0.22885572139303484,0.38848033883062816,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.4117647058823529,0.48717948717948717,0.3103448275862069,0.39876215738284704,0.4117647058823529,0.4838709677419355,0.3162393162393162,0.40005514199062586,0.4227941176470588,0.5285285285285285,0.2559241706161137,0.3922263495723211,0.41911764705882354,0.5269461077844312,0.24761904761904763,0.3872825777017394,0.5220588235294118,0.5833333333333334,0.4396551724137931,0.5114942528735632,0.5220588235294118,0.5833333333333334,0.4396551724137931,0.5114942528735632,0.4117647058823529,0.4482758620689655,0.3700787401574803,0.4091773011132229
S9,0.31007751937984496,0.011111111111111112,0.47023809523809523,0.24067460317460318,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.4689922480620155,0.44081632653061226,0.4944649446494465,0.4676406355900294,0.4806201550387597,0.45528455284552843,0.5037037037037037,0.479494128274616,0.3178294573643411,0.011235955056179775,0.47928994082840237,0.2452629479422911,0.313953488372093,0.0111731843575419,0.47477744807121663,0.24297531621437926,0.5852713178294574,0.672782874617737,0.43386243386243384,0.5533226542400854,0.5852713178294574,0.672782874617737,0.43386243386243384,0.5533226542400854,0.6007751937984496,0.677115987460815,0.47715736040609136,0.5771366739334531
S10,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.46830985915492956,0.5746478873239437,0.29107981220657275,0.4328638497652582,0.323943661971831,0.16521739130434782,0.4319526627218935,0.2985850270131206,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.49295774647887325,0.5838150289017341,0.35135135135135137,0.4675831901265427,0.49295774647887325,0.5838150289017341,0.35135135135135137,0.4675831901265427,0.36971830985915494,0.42443729903536975,0.3035019455252918,0.3639696222803308
