Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MeanF1
S2,0.78719723183391,0.8809293320425944,0.0,0.4404646660212972,0.5190311418685121,0.6737089201877934,0.08552631578947369,0.3796176179886335,0.5519031141868512,0.6294706723891274,0.43326039387308535,0.5313655331311063
S3,0.8841567291311755,0.9287211740041929,0.6909090909090909,0.8098151324566418,0.8943781942078365,0.9279069767441861,0.802547770700637,0.8652273737224115,0.8824531516183987,0.9187279151943463,0.7876923076923077,0.853210111443327
S4,0.8137583892617449,0.8657799274486094,0.6958904109589041,0.7808351692037567,0.9412751677852349,0.9612403100775194,0.8788927335640139,0.9200665218207666,0.9312080536912751,0.9542920847268673,0.8610169491525423,0.9076545169397048
S5,0.9983388704318937,0.9989417989417989,0.9961389961389961,0.9975403975403976,0.8538205980066446,0.8974358974358975,0.7456647398843931,0.8215503186601453,0.8023255813953488,0.8561064087061668,0.6843501326259946,0.7702282706660808
S6,0.677257525083612,0.7904451682953312,0.29818181818181816,0.5443134932385747,0.7006688963210702,0.7866507747318237,0.49859943977591037,0.642625107253867,0.7107023411371237,0.7923169267707083,0.5234159779614325,0.6578664523660704
S7,0.8676716917922948,0.9223205506391348,0.5536723163841808,0.7379964335116578,0.983249581239531,0.9892241379310345,0.9624060150375939,0.9758150764843142,0.9966499162479062,0.9978632478632479,0.9922480620155039,0.9950556549393759
S8,0.946843853820598,0.9646017699115044,0.8933333333333333,0.9289675516224188,0.8870431893687708,0.9216589861751152,0.7976190476190477,0.8596390168970814,0.8621262458471761,0.902696365767878,0.7635327635327636,0.8331145646503209
S9,0.8693467336683417,0.9095127610208816,0.7650602409638554,0.8372865009923685,0.8140703517587939,0.8701754385964913,0.672566371681416,0.7713709051389537,0.8207705192629816,0.8730723606168446,0.6951566951566952,0.7841145278867698
S10,0.762987012987013,0.8655616942909761,0.0,0.43278084714548803,0.5844155844155844,0.7192982456140351,0.2,0.45964912280701753,0.4496753246753247,0.6169491525423729,0.023054755043227664,0.3200019537928003
S11,0.775206611570248,0.8733705772811918,0.0,0.4366852886405959,0.824793388429752,0.8767441860465116,0.6971428571428572,0.7869435215946844,0.7652892561983471,0.8400900900900901,0.5590062111801242,0.6995481506351071
S13,0.7350993377483444,0.8294243070362474,0.4074074074074074,0.6184158572218273,0.847682119205298,0.8947368421052632,0.7245508982035929,0.809643870154428,0.7665562913907285,0.8244084682440846,0.6518518518518519,0.7381301600479683
S14,0.6849087893864013,0.7506561679790026,0.5720720720720721,0.6613641200255373,0.7877280265339967,0.8561797752808988,0.5949367088607594,0.7255582420708291,0.7396351575456053,0.8078335373317014,0.596401028277635,0.7021172828046682
S15,0.7079207920792079,0.7680209698558322,0.6057906458797327,0.6869058078677825,0.6798679867986799,0.7538071065989848,0.5424528301886793,0.648129968393832,0.7095709570957096,0.772020725388601,0.6,0.6860103626943005
S16,0.6146179401993356,0.6704545454545454,0.536,0.6032272727272727,0.8986710963455149,0.9302857142857143,0.8145896656534954,0.8724376899696049,0.8554817275747508,0.8975265017667845,0.7549295774647887,0.8262280396157866
S17,0.7475083056478405,0.8552380952380952,0.012987012987012988,0.4341125541125541,0.7956810631229236,0.8445006321112516,0.7021791767554479,0.7733399044333498,0.7375415282392026,0.791005291005291,0.6473214285714286,0.7191633597883598
Average,0.7915213209761308,0.8582652559626625,0.468496223014427,0.6633807394885447,0.800825092360543,0.8602369295948347,0.6479783047238212,0.754107617159328,0.7721259444071153,0.831625316560274,0.6382158756266255,0.7349205960934497
Std,0.10222720749913396,0.08329843758403736,0.3253820665701533,0.17896847420279677,0.1253313759499754,0.08744755452642458,0.23106925680181897,0.15811075728767543,0.13384188548811488,0.10210134604577478,0.21219178040477948,0.15441351401265857
