Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,MIEMATentGateOnly_Acc,MIEMATentGateOnly_F1_0,MIEMATentGateOnly_F1_1,MIEMATentGateOnly_MacroF1,MIDynamicFixedEMARelaxed_Acc,MIDynamicFixedEMARelaxed_F1_0,MIDynamicFixedEMARelaxed_F1_1,MIDynamicFixedEMARelaxed_MacroF1
S1,0.4924812030075188,0.6260387811634349,0.21052631578947367,0.4182825484764543,0.6541353383458647,0.7125,0.5660377358490566,0.6392688679245283,0.6541353383458647,0.7125,0.5660377358490566,0.6392688679245283,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.6278195488721805,0.6621160409556314,0.5857740585774058,0.6239450497665187,0.5375939849624061,0.5913621262458472,0.4675324675324675,0.5294472968891574,0.556390977443609,0.6013513513513513,0.5,0.5506756756756757
S2,0.5968379446640316,0.6506849315068494,0.5233644859813084,0.5870247087440789,0.6403162055335968,0.7092651757188498,0.5284974093264249,0.6188812925226373,0.6403162055335968,0.7092651757188498,0.5284974093264249,0.6188812925226373,0.7549407114624506,0.8187134502923976,0.6219512195121951,0.7203323349022963,0.7193675889328063,0.7801857585139319,0.6120218579234973,0.6961038082187145,0.6837944664031621,0.7468354430379747,0.5789473684210527,0.6628914057295137,0.6996047430830039,0.7639751552795031,0.5869565217391305,0.6754658385093169
S3,0.45318352059925093,0.0,0.6237113402061856,0.3118556701030928,0.6479400749063671,0.6866666666666666,0.5982905982905983,0.6424786324786325,0.6479400749063671,0.6866666666666666,0.5982905982905983,0.6424786324786325,0.6367041198501873,0.6711864406779661,0.5941422594142259,0.632664350046096,0.5243445692883895,0.3804878048780488,0.6139817629179332,0.497234783897991,0.4794007490636704,0.2057142857142857,0.6128133704735376,0.40926382809391165,0.49812734082397003,0.25555555555555554,0.6214689265536724,0.43851224105461395
S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.3408239700374532,0.296,0.38028169014084506,0.3381408450704225,0.33707865168539325,0.2948207171314741,0.3745583038869258,0.33468951050919993,0.31835205992509363,0.3546099290780142,0.2777777777777778,0.31619385342789597,0.5842696629213483,0.463768115942029,0.6605504587155964,0.5621592873288127,0.6179775280898876,0.37037037037037035,0.7258064516129032,0.5480884109916369,0.6104868913857678,0.36585365853658536,0.7189189189189189,0.5423862887277522
S5,0.6496598639455783,0.7223719676549866,0.5253456221198156,0.623858794887401,0.6972789115646258,0.6983050847457627,0.6962457337883959,0.6972754092670793,0.6972789115646258,0.6983050847457627,0.6962457337883959,0.6972754092670793,0.7346938775510204,0.7621951219512195,0.7,0.7310975609756097,0.6462585034013606,0.6867469879518072,0.59375,0.6402484939759037,0.6598639455782312,0.7023809523809523,0.6031746031746031,0.6527777777777777,0.6666666666666666,0.7083333333333334,0.6111111111111112,0.6597222222222223
S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.44881889763779526,0.49640287769784175,0.391304347826087,0.44385361276196433,0.44881889763779526,0.49640287769784175,0.391304347826087,0.44385361276196433,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.41732283464566927,0.4351145038167939,0.3983739837398374,0.41674424377831565,0.47244094488188976,0.30927835051546393,0.5732484076433121,0.441263379079388,0.5039370078740157,0.045454545454545456,0.6648936170212766,0.355174081237911
S7,0.7086956521739131,0.8295165394402035,0.0,0.41475826972010177,0.3217391304347826,0.45454545454545453,0.10344827586206896,0.27899686520376177,0.3217391304347826,0.45454545454545453,0.10344827586206896,0.27899686520376177,0.49130434782608695,0.6422018348623854,0.12030075187969924,0.3812512933710423,0.5,0.6483180428134556,0.13533834586466165,0.39182819433905863,0.6304347826086957,0.7605633802816901,0.19047619047619047,0.4755197853789403,0.5782608695652174,0.7204610951008645,0.1415929203539823,0.4310270077274234
S8,0.43014705882352944,0.5481049562682215,0.22885572139303484,0.38848033883062816,0.5441176470588235,0.5947712418300654,0.4789915966386555,0.5368814192343604,0.5441176470588235,0.5947712418300654,0.4789915966386555,0.5368814192343604,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.43014705882352944,0.5079365079365079,0.3231441048034934,0.41554030637000067,0.40441176470588236,0.4807692307692308,0.3017241379310345,0.39124668435013266,0.4375,0.5142857142857142,0.3318777292576419,0.4230817217716781
S9,0.3178294573643411,0.03296703296703297,0.47305389221556887,0.25301046259130094,0.624031007751938,0.7015384615384616,0.49214659685863876,0.5968425291985502,0.627906976744186,0.7037037037037037,0.5,0.6018518518518519,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.47674418604651164,0.43983402489626555,0.509090909090909,0.4744624669935873,0.3682170542635659,0.22009569377990432,0.46905537459283386,0.3445755341863691,0.3643410852713178,0.24770642201834864,0.44966442953020136,0.34868542577427497
S10,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.47183098591549294,0.576271186440678,0.29906542056074764,0.43766830350071284,0.47183098591549294,0.576271186440678,0.29906542056074764,0.43766830350071284,0.46830985915492956,0.5746478873239437,0.29107981220657275,0.4328638497652582,0.323943661971831,0.16521739130434782,0.4319526627218935,0.2985850270131206,0.3626760563380282,0.09950248756218906,0.5068119891008175,0.30315723833150326,0.3873239436619718,0.1792452830188679,0.5112359550561798,0.34524061903752384
S11,0.41333333333333333,0.5849056603773585,0.0,0.29245283018867924,0.5733333333333334,0.5460992907801419,0.5974842767295597,0.5717917837548507,0.5733333333333334,0.5460992907801419,0.5974842767295597,0.5717917837548507,0.54,0.5576923076923077,0.5208333333333334,0.5392628205128205,0.53,0.5087108013937283,0.549520766773163,0.5291157840834456,0.41,0.5305039787798409,0.2062780269058296,0.36839100284283527,0.37333333333333335,0.45664739884393063,0.25984251968503935,0.35824495926448496
S12,0.5080645161290323,0.6737967914438503,0.0,0.33689839572192515,0.8064516129032258,0.8095238095238095,0.8032786885245902,0.8064012490241999,0.8064516129032258,0.8095238095238095,0.8032786885245902,0.8064012490241999,0.6733870967741935,0.7254237288135593,0.5970149253731343,0.6612193270933469,0.6653225806451613,0.7087719298245614,0.6066350710900474,0.6577035004573044,0.5725806451612904,0.6845238095238095,0.3375,0.5110119047619048,0.5564516129032258,0.6783625730994152,0.2857142857142857,0.48203842940685043
S13,0.7653429602888087,0.8266666666666667,0.6368715083798883,0.7317690875232774,0.5667870036101083,0.6774193548387096,0.34065934065934067,0.5090393477490252,0.5667870036101083,0.6774193548387096,0.34065934065934067,0.5090393477490252,0.51985559566787,0.6210826210826211,0.3448275862068966,0.48295510364475885,0.6534296028880866,0.7142857142857143,0.5596330275229358,0.6369593709043251,0.631768953068592,0.68125,0.5641025641025641,0.6226762820512821,0.631768953068592,0.6890243902439024,0.5486725663716814,0.6188484783077919
