target,x_metric,n,pearson_r,spearman_rho
Tent_delta_vs_source,Source_MacroF1,15,-0.9316214176319844,-0.8999999999999999
OFTTA_delta_vs_source,Source_MacroF1,15,-0.9042493734493895,-0.9214285714285713
