Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1
S1,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.29699248120300753,0.24899598393574296,0.3392226148409894,0.29410929938836616,0.37969924812030076,0.5103857566765578,0.15384615384615385,0.33211595526135584,0.462406015037594,0.5994397759103641,0.18285714285714286,0.3911484593837535,0.4398496240601504,0.5826330532212886,0.14857142857142858,0.36560224089635857
S2,0.2648221343873518,0.41875,0.0,0.209375,0.7075098814229249,0.6145833333333334,0.7643312101910829,0.6894572717622081,0.6284584980237155,0.5648148148148148,0.6758620689655173,0.6203384418901661,0.26877470355731226,0.4200626959247649,0.0106951871657754,0.21537894154527015,0.26877470355731226,0.4200626959247649,0.0106951871657754,0.21537894154527015
S3,0.4756554307116105,0.5953757225433526,0.2553191489361702,0.4253474357397614,0.651685393258427,0.5829596412556054,0.7009646302250804,0.6419621357403429,0.5917602996254682,0.551440329218107,0.6254295532646048,0.5884349412413559,0.5168539325842697,0.5132075471698113,0.5204460966542751,0.5168268219120432,0.5543071161048689,0.5509433962264151,0.5576208178438662,0.5542821070351407
S4,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.5131086142322098,0.4090909090909091,0.5859872611464968,0.49753908511870293,0.4232209737827715,0.4726027397260274,0.36363636363636365,0.4181195516811955,0.6367041198501873,0.41916167664670656,0.7356948228882834,0.577428249767495,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473
S5,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.5918367346938775,0.5588235294117647,0.620253164556962,0.5895383469843634,0.47619047619047616,0.5304878048780488,0.4076923076923077,0.46909005628517825,0.5816326530612245,0.6515580736543909,0.4765957446808511,0.564076909167621,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308
S6,0.4094488188976378,0.32432432432432434,0.4755244755244755,0.39992439992439993,0.46062992125984253,0.4944649446494465,0.4219409282700422,0.45820293645974436,0.4645669291338583,0.5853658536585366,0.24444444444444444,0.4149051490514905,0.531496062992126,0.5641025641025641,0.49361702127659574,0.5288597926895799,0.515748031496063,0.555956678700361,0.4675324675324675,0.5117445731164143
S7,0.5565217391304348,0.7102272727272727,0.05555555555555555,0.38289141414141414,0.44782608695652176,0.4730290456431535,0.4200913242009132,0.44656018492203337,0.43043478260869567,0.47808764940239046,0.37320574162679426,0.42564669551459233,0.4434782608695652,0.564625850340136,0.2289156626506024,0.3967707564953692,0.5260869565217391,0.6784660766961652,0.09917355371900827,0.38881981520758674
S8,0.5073529411764706,0.541095890410959,0.46825396825396826,0.5046749293324636,0.6654411764705882,0.6160337552742616,0.7035830618892508,0.6598084085817562,0.7242647058823529,0.6724890829694323,0.7619047619047619,0.7171969224370971,0.5441176470588235,0.5664335664335665,0.5193798449612403,0.5429067056974034,0.5404411764705882,0.5644599303135889,0.5136186770428015,0.5390393036781952
S9,0.5387596899224806,0.4663677130044843,0.5938566552901023,0.5301121841472933,0.5348837209302325,0.5121951219512195,0.5555555555555556,0.5338753387533876,0.5232558139534884,0.5714285714285714,0.462882096069869,0.5171553337492202,0.5348837209302325,0.6296296296296297,0.375,0.5023148148148149,0.5465116279069767,0.6355140186915887,0.4,0.5177570093457944
S10,0.5387323943661971,0.700228832951945,0.0,0.3501144164759725,0.4295774647887324,0.4873417721518987,0.35714285714285715,0.42224231464737794,0.426056338028169,0.5459610027855153,0.22009569377990432,0.3830283482827098,0.39436619718309857,0.5401069518716578,0.1134020618556701,0.326754506863664,0.4225352112676056,0.5638297872340425,0.14583333333333334,0.35483156028368795
S11,0.56,0.5686274509803921,0.5510204081632653,0.5598239295718287,0.55,0.5631067961165048,0.5360824742268041,0.5495946351716545,0.5933333333333334,0.6789473684210526,0.44545454545454544,0.562200956937799,0.6,0.5522388059701493,0.6385542168674698,0.5953965114188096,0.6,0.5862068965517241,0.6129032258064516,0.5995550611790879
S12,0.5241935483870968,0.44339622641509435,0.5845070422535211,0.5139516343343078,0.5887096774193549,0.5677966101694916,0.6076923076923076,0.5877444589308995,0.6008064516129032,0.5857740585774058,0.6147859922178989,0.6002800253976524,0.5685483870967742,0.5407725321888412,0.5931558935361216,0.5669642128624814,0.5403225806451613,0.5327868852459017,0.5476190476190477,0.5402029664324747
