Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S1,EMATent,0.5035423040390015,0.5035423040390015,0.9178054928779602,1.0,0.34893730878829954,0.5,0.15106269121170043,0.0,0.0,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.6465452909469604,0.6465452909469604,0.8381739258766174,1.0,0.30603641271591187,0.5,0.19396358728408813,0.0,0.0,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.5178763270378113,0.5178763270378113,0.8877271413803101,1.0,0.3446371018886566,0.5,0.15536289811134338,0.0,0.0,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.777193009853363,0.777193009853363,0.7734205722808838,1.0,0.2668420970439911,0.5,0.2331579029560089,0.0,0.0,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.9687234163284302,0.9687234163284302,0.6486836671829224,1.0,0.20938297510147097,0.5,0.29061702489852903,0.0,0.0,4,10,10,1.0,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,0.18731997907161713,0.5035423040390015,0.5035423040390015,0.31622231006622314,0.6599830747191311,0.18895423406916842,0.15106269121170043,0.22257737068814365,32.226707458496094,0.19999999999999996,1.0,0.5053263902664185,0.2,0.0,1.0,57.0,0.890625,7.0,0.109375,0.890625,2.0,0.125
S1,DynaMixEMATent,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,0.11099844425916672,0.45572394132614136,0.45572394132614136,0.34472548961639404,0.5343810863040798,0.32890173129807787,0.1367171823978424,0.3809895489541084,61.39303970336914,0.19999999999999996,1.0,0.5673770904541016,0.2,0.0,1.0,54.0,0.84375,10.0,0.15625,0.84375,2.0,0.125
S1,DynaMixEMATent,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,0.11198228597640991,0.3236618936061859,0.3236618936061859,0.2116795927286148,0.4753965613541117,0.4275048705640325,0.09709856808185577,0.4734790038551955,82.10740089416504,0.19999999999999996,1.0,0.4525928497314453,0.2,0.0,1.0,58.0,0.90625,6.0,0.09375,0.90625,2.0,0.203125
S1,DynaMixEMATent,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,0.07883089035749435,0.32766035199165344,0.32766035199165344,0.24882946908473969,0.4030214256610243,0.49868046874147964,0.09829810559749604,0.5530436076902345,103.07766342163086,0.19999999999999996,1.0,0.5557980537414551,0.2,0.0,1.0,45.0,0.703125,19.0,0.296875,0.703125,2.0,0.1875
S1,DynaMixEMATent,,,,,,,,,,4,10,10,1.0,,,1.0,1,0.07961352169513702,0.47036266326904297,0.47036266326904297,0.39074912667274475,0.3700362329345917,0.48885496808469536,0.14110879898071288,0.5691698407255167,107.78129005432129,0.19999999999999996,1.0,0.6476063132286072,0.2,0.0,1.0,6.0,0.6,4.0,0.4,0.6,2.0,0.0
S2,EMATent,0.16797539591789246,0.16797539591789246,0.9759016633033752,0.0,0.4496073812246323,0.5,0.050392618775367735,0.0,0.0,0,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.18345874547958374,0.18345874547958374,0.9721565842628479,0.0,0.4449623763561249,0.5,0.05503762364387512,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.24749872088432312,0.24749872088432312,0.9588591456413269,1.0,0.4257503837347031,0.5,0.07424961626529693,0.0,0.0,2,64,0,0.0,64.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,
S2,EMATent,0.25819459557533264,0.25819459557533264,0.9564822316169739,1.0,0.42254162132740025,0.5,0.07745837867259979,0.0,0.0,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2,,,,,,,,,,,,,,,,,,,,,,
S2,DynaMixEMATent,,,,,,,,,,0,64,10,0.15625,54.0,0.84375,0.84375,2,0.07097818702459335,0.16797539591789246,0.16797539591789246,0.0969972014427185,0.8731094482787747,0.07649793294585759,0.050392618775367735,0.080557432954243,10.750425338745117,0.19999999999999996,0.0,0.12406811118125916,0.2,0.0,1.0,63.0,0.984375,1.0,0.015625,0.984375,2.0,0.34375
S2,DynaMixEMATent,,,,,,,,,,1,64,19,0.296875,45.0,0.703125,0.703125,2,0.021233906969428062,0.05959958955645561,0.05959958955645561,0.0383656807243824,0.8764907343550681,0.10562938877799527,0.01787987686693668,0.10755241267333648,14.564799070358276,0.19999999999999996,0.0,0.07281362265348434,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.203125
